X,Y
0,0.4688
1,0.4688
2,0.4688
3,0.4688
4,0.4688
5,0.4688
6,0.4688
7,0.4688
8,0.4688
9,0.4688
10,0.4688
11,0.5625
12,0.3750
13,0.5625
14,0.7812
15,1.3125
16,-0.3750
17,-0.8750
18,0.2500
19,-0.0625
20,0.4688
21,-0.0312
22,0.6250
23,0.4375
24,0.5938
25,-0.2812
26,0.3750
27,-0.2188
28,0.8438
29,0.6562
30,1.2188
31,0.9062
32,0.8750
33,0.8125
34,1.7812
35,0.2812
36,1.0625
37,0.7812
38,0.3125
39,0.2500
40,0.2812
41,-0.5312
42,0.5312
43,0.0000
44,0.4688
45,1.1875
46,1.1562
47,1.8750
48,0.6562
49,-0.0312
50,-0.0938
51,-0.7188
52,0.6250
53,0.8750
54,0.7188
55,-1.0312
56,-0.4688
57,-0.0312
58,0.3750
59,0.7500
60,0.2188
61,-0.5938
62,-0.4688
63,0.6562
64,-0.0938
65,-0.4062
66,0.0938
67,0.3438
68,0.2500
69,-0.3125
70,0.2188
71,0.2500
72,-0.5312
73,-0.2812
74,0.7188
75,-0.3438
76,0.8750
77,-0.0312
78,0.4375
79,0.2188
80,0.5312
81,1.8125
82,1.0000
83,0.8438
84,0.0000
85,-0.3438
86,-0.3750
87,0.2188
88,0.6562
89,-0.7812
90,0.2812
91,1.1875
92,1.0625
93,0.1875
94,1.0312
95,0.9062
96,0.2188
97,1.2500
98,0.1562
99,0.5000
100,-0.3750
101,1.0938
102,0.9062
103,0.5000
104,0.0938
105,0.2812
106,0.0625
107,0.0312
108,0.2812
109,0.0312
110,-0.6875
111,0.7188
112,0.4375
113,0.4062
114,0.1875
115,0.5000
116,1.5312
117,0.5000
118,0.6875
119,-0.1562
120,1.0938
121,0.3125
122,-0.0625
123,-0.9062
124,0.5938
125,0.7500
126,0.8750
127,0.7812
128,1.0000
129,0.5000
130,0.2812
131,0.6562
132,1.1562
133,0.4375
134,-0.6875
135,-0.1875
136,-0.5000
137,-0.5000
138,0.6875
139,-0.4062
140,0.5312
141,-0.2188
142,0.4375
143,0.2500
144,0.2812
145,-0.0312
146,-1.0625
147,0.3438
148,-0.3750
149,1.1250
150,0.5938
151,-0.0938
152,-0.5625
153,0.9688
154,0.3125
155,0.8438
156,0.3750
157,0.2812
158,0.5625
159,-0.4375
160,0.4062
161,0.4688
162,0.0312
163,0.0000
164,0.6875
165,0.3125
166,-0.2812
167,0.6562
168,-0.4688
169,0.1250
170,-0.8125
171,0.7500
172,0.3750
173,-0.2500
174,0.3438
175,0.0625
176,-0.1562
177,-0.1250
178,0.1250
179,0.3438
180,0.6875
181,0.3750
182,0.0938
183,0.4062
184,0.6562
185,0.8750
186,0.9062
187,0.8750
188,0.3125
189,-0.3125
190,1.2500
191,1.2188
192,0.4062
193,0.7500
194,-0.5938
195,0.0938
196,-0.0938
197,1.2812
198,0.4375
199,0.3125
200,0.4062
201,0.4062
202,0.1562
203,0.6562
204,0.1562
205,0.0938
206,-0.1562
207,0.3750
208,0.3750
209,0.0938
210,0.4688
211,-0.1562
212,0.3750
213,1.2500
214,0.9375
215,-0.4062
216,0.9375
217,-0.3125
218,0.6250
219,0.5312
220,0.7500
221,1.0312
222,0.8750
223,1.0625
224,0.0938
225,-0.1875
226,0.1562
227,-0.4062
228,0.5000
229,1.0312
230,-0.0312
231,-0.1562
232,0.6875
233,1.0938
234,1.0938
235,0.5625
236,-0.1875
237,-0.5312
238,0.3125
239,-0.1250
240,0.1562
241,0.8438
242,0.3125
243,0.0312
244,0.8750
245,-0.5625
246,0.6250
247,0.1562
248,-0.1875
249,0.9062
250,0.0000
251,-0.1250
252,-0.0938
253,1.0312
254,0.7188
255,0.8125
256,0.0625
257,-0.0312
258,0.9375
259,-0.0312
260,0.6562
261,0.3750
262,-0.2188
263,0.8438
264,0.9062
265,1.2812
266,0.4375
267,1.1875
268,1.3438
269,0.5312
270,0.4062
271,1.5312
272,-0.4375
273,-0.0312
274,1.7812
275,0.6250
276,0.5000
277,-0.1250
278,-0.2500
279,0.5000
280,0.4375
281,1.3438
282,0.5938
283,0.9062
284,0.9688
285,-0.3438
286,0.5000
287,0.0000
288,1.0938
289,1.0312
290,1.1250
291,0.8750
292,0.0938
293,1.1875
294,0.5625
295,0.4688
296,0.2188
297,-0.3750
298,0.4062
299,-0.8125
300,0.3125
301,-0.0938
302,-0.0625
303,0.5625
304,0.6562
305,0.0938
306,0.0312
307,0.4375
308,-0.1250
309,0.6875
310,0.0312
311,0.3438
312,-0.3438
313,-0.1875
314,-0.1562
315,-0.6875
316,-0.3438
317,0.2188
318,0.7188
319,0.4688
320,0.8125
321,0.6875
322,-0.5312
323,-0.0625
324,0.0000
325,1.0000
326,-0.2812
327,-1.1250
328,-0.5312
329,0.0625
330,-0.5625
331,0.6250
332,0.2188
333,-0.1562
334,0.1250
335,0.1562
336,-0.0625
337,0.5000
338,0.9688
339,-0.3125
340,-0.5625
341,-0.2188
342,0.2188
343,-0.5000
344,-0.3125
345,-0.0312
346,-0.0625
347,1.1562
348,0.3438
349,1.1250
350,1.0312
351,0.5000
352,0.1250
353,-0.5938
354,0.6250
355,-0.2812
356,0.2188
357,0.2812
358,0.2812
359,0.6875
360,0.0000
361,0.2812
362,-0.4062
363,0.2812
364,-0.3438
365,0.3750
366,0.0938
367,0.8750
368,1.5000
369,-0.5000
370,0.8438
371,-0.6562
372,0.7812
373,0.7812
374,-0.1562
375,0.4688
376,-0.1562
377,0.6875
378,-0.4688
379,0.8125
380,-0.2812
381,0.1562
382,0.8125
383,-0.1250
384,0.3125
385,0.1250
386,0.4062
387,-0.4688
388,0.3750
389,-0.1562
390,0.6562
391,1.0625
392,-0.0938
393,-0.0312
394,0.9688
395,1.0938
396,-0.1562
397,-0.4062
398,0.2188
399,-0.5312
400,-0.2188
401,0.4375
402,0.8438
403,0.6250
404,0.1875
405,1.2188
406,1.0625
407,0.6250
408,0.4688
409,0.3125
410,0.9375
411,-0.1875
412,0.7188
413,0.0938
414,-0.5625
415,-0.3125
416,1.0000
417,0.1250
418,-0.3438
419,-0.3438
420,-0.6250
421,0.0000
422,1.4688
423,0.1562
424,0.0625
425,-0.2188
426,-0.2812
427,0.4062
428,0.5000
429,0.2500
430,-0.2812
431,0.7500
432,-0.3125
433,0.2188
434,1.0938
435,0.3750
436,0.5625
437,0.3125
438,-0.1562
439,0.2812
440,1.5625
441,0.5625
442,0.0312
443,0.2812
444,0.3125
445,1.3125
446,0.9062
447,0.4688
448,0.3438
449,0.2500
450,-0.3125
451,0.2500
452,0.3438
453,0.2812
454,-0.6250
455,0.5312
456,-0.1562
457,-0.3125
458,0.0000
459,0.5938
460,0.1250
461,0.2812
462,0.5312
463,-0.3750
464,0.4062
465,0.6562
466,1.5312
467,0.6875
468,0.5625
469,1.0625
470,0.5000
471,0.5625
472,0.5312
473,0.3125
474,-0.0312
475,-0.2812
476,0.0312
477,1.2812
478,1.1562
