X,Y
0,-0.3750
1,-0.3750
2,-0.3750
3,-0.3750
4,-0.3750
5,-0.3750
6,-0.3750
7,-0.3750
8,-0.3750
9,-0.3750
10,-0.3750
11,-0.7812
12,0.0312
13,0.8125
14,-0.8750
15,0.0000
16,0.5938
17,-1.0312
18,0.8438
19,-0.5312
20,-0.8125
21,-0.9688
22,-0.6562
23,0.3438
24,-0.5312
25,0.1250
26,-0.4375
27,0.1875
28,-0.2500
29,0.0625
30,0.1562
31,-0.1562
32,-0.4375
33,-0.1562
34,-0.5938
35,0.7500
36,0.8750
37,0.5625
38,0.7812
39,1.0000
40,0.4062
41,0.3438
42,0.1250
43,0.1562
44,0.2500
45,-0.3125
46,-0.4375
47,-0.5625
48,-0.5312
49,-0.2812
50,-0.4688
51,-0.8125
52,0.3125
53,-1.0000
54,-0.8125
55,-0.3438
56,0.0625
57,-0.1250
58,0.9688
59,-0.0625
60,-1.1562
61,0.0000
62,-0.3750
63,-1.2812
64,-0.6875
65,-0.3125
66,-0.8125
67,-0.8750
68,0.5312
69,-0.3750
70,-1.2188
71,-0.0625
72,0.0000
73,-1.3750
74,-0.0625
75,0.2500
76,0.3125
77,-0.6562
78,-0.0312
79,0.4062
80,-0.2500
81,0.1250
82,-1.0625
83,0.4062
84,0.3125
85,-0.7812
86,0.1875
87,-0.8125
88,-0.2500
89,-0.9688
90,-0.2188
91,0.3125
92,-0.1875
93,0.6250
94,-0.8438
95,-0.2188
96,-1.0000
97,-0.5625
98,-1.1250
99,-1.0625
100,-0.1250
101,-0.5625
102,-0.3750
103,-0.6562
104,-0.2188
105,0.2812
106,-0.5000
107,-0.5312
108,-0.2188
109,0.6250
110,0.1875
111,-0.0312
112,0.0625
113,0.4062
114,-0.5312
115,-0.2188
116,-0.3750
117,-0.5625
118,-0.4375
119,-1.0625
120,0.1250
121,-0.6562
122,-0.1875
123,-1.0312
124,-0.0938
125,-0.0938
126,-0.0312
127,-0.5938
128,-0.5938
129,0.1250
130,0.5938
131,0.4062
132,-0.8438
133,-0.6875
134,-0.4375
135,-0.3438
136,0.2500
137,0.0938
138,0.0938
139,-0.4688
140,-0.5000
141,-1.1250
142,-0.4062
143,0.0938
144,0.3750
145,-0.2500
146,-0.9062
147,-0.3438
148,0.5938
149,-0.0312
150,-0.5312
151,0.2812
152,0.4062
153,0.2812
154,0.3438
155,0.6875
156,0.0625
157,0.3438
158,-0.6562
159,0.2812
160,-0.1562
161,-0.7500
162,-0.0312
163,-0.8438
164,-0.1875
165,-0.1250
166,-0.8750
167,0.5312
168,-0.2188
169,0.4375
170,-0.1250
171,-0.7812
172,-0.2188
173,-0.5000
174,-0.6562
175,-0.0938
176,-0.7500
177,0.0000
178,-1.4688
179,-0.7500
180,0.6875
181,0.9688
182,-0.0625
183,-0.9062
184,-0.4688
185,0.0000
186,0.2500
187,-0.6562
188,-0.6250
189,-0.0938
190,-0.5625
191,-0.4062
192,-0.5938
193,-0.4062
194,-1.0938
195,0.3438
196,0.0312
197,0.5938
198,0.9375
199,0.3125
200,0.1875
201,-0.1875
202,0.5000
203,0.1562
204,-0.8750
205,-0.8438
206,0.0625
207,-1.2812
208,-0.0625
209,0.2500
210,0.0625
211,-0.1875
212,-0.1250
213,-0.1562
214,-0.0625
215,0.1562
216,-0.8438
217,-0.4375
218,0.7500
219,-0.4062
220,0.2500
221,-1.2188
222,-0.4062
223,0.0000
224,-0.6875
225,-0.8438
226,0.0312
227,-0.5000
228,-0.3125
229,-0.7500
230,1.1875
231,-0.0625
232,-0.0625
233,0.5312
234,0.8750
235,-0.5312
236,-0.9062
237,-0.6250
238,-0.7812
239,-0.4375
240,-0.4062
241,-1.1250
242,-0.7500
243,0.5938
244,-0.1875
245,-0.8438
246,-0.5000
247,-0.6562
248,0.4688
249,0.5312
250,-0.9375
251,-0.8125
252,0.0000
253,-0.7188
254,0.4062
255,0.9062
256,-0.2500
257,0.0000
258,0.5000
259,-0.3125
260,-0.5000
261,-0.6562
262,-0.5625
263,-0.4688
264,-0.0312
265,-0.0312
266,0.0000
267,0.9062
268,-0.5938
269,-0.8750
270,0.6250
271,0.9375
272,-0.0938
273,0.3125
274,-0.4375
275,-0.0312
276,-0.5312
277,-0.7812
278,0.3438
279,-0.2812
280,-0.9375
281,0.0625
282,-1.1562
283,-1.0938
284,-0.2188
285,-0.3750
286,-0.6875
287,-0.2812
288,0.4375
289,-0.1562
290,-0.4375
291,0.1562
292,0.8750
293,0.5312
294,0.1562
295,0.6250
296,-1.2500
297,-1.4375
298,0.2188
299,-0.7812
300,0.1875
301,-0.1250
302,-0.3750
303,0.0938
304,-0.1875
305,-1.2812
306,-0.0625
307,-0.0625
308,-1.2500
309,-0.1250
310,-0.9688
311,-0.3125
312,0.5000
313,0.1562
314,-0.5625
315,0.0312
316,-0.7500
317,0.2500
318,0.0312
319,-1.4062
320,-0.1875
321,-0.2500
322,0.3125
323,-0.2500
324,0.0625
325,-0.0625
326,-0.6875
327,0.1875
328,-0.2812
329,0.4062
330,0.0312
331,0.4688
332,-1.0312
333,0.2188
334,-0.5312
335,0.0625
336,-0.5000
337,-0.3438
338,-0.8125
339,-0.3438
340,-0.0938
341,-1.2500
342,-0.4062
343,0.4062
344,-0.7188
345,0.1250
346,-0.1250
347,0.6562
348,-0.5312
349,0.6875
350,-0.5312
351,-0.8438
352,-0.5000
353,-0.2188
354,0.6562
355,-0.2812
356,0.4375
357,-0.7500
358,-0.2500
359,0.0000
360,0.0625
361,-0.5312
362,-0.5625
363,0.0625
364,-0.5000
365,-0.6562
366,-0.3438
367,-0.3125
368,-0.0938
369,-0.7188
370,0.4062
371,-0.8125
372,-0.1562
373,-0.5000
374,-0.9688
375,0.4062
376,-1.1250
377,0.0000
378,-1.9375
379,-0.6562
380,1.0000
381,0.2500
382,0.7500
383,0.1250
384,0.0938
385,-0.3438
386,-1.0938
387,0.5312
388,-1.1562
389,0.2188
390,-1.3125
391,0.0625
392,-0.2188
393,-0.6875
394,-0.0312
395,-0.3438
396,-0.0938
397,-1.5312
398,0.1250
399,1.4688
400,0.2188
401,-0.6875
402,-0.6875
403,-0.1875
404,-0.0625
405,0.2188
406,-0.6250
407,-0.0625
408,-0.4375
409,-0.5000
410,0.6562
411,0.0938
412,0.5000
413,0.0312
414,0.9375
415,-0.2188
416,-0.0312
417,0.0938
418,0.8750
419,-0.5625
420,0.0938
421,0.7188
422,-0.0938
423,-0.7812
424,0.0000
425,-1.0625
426,0.5312
427,-0.3750
428,-0.2188
429,0.8125
430,-0.0312
431,0.0625
432,-0.9375
433,0.2500
434,-0.2812
435,0.4688
436,-0.3750
437,-1.0312
438,-0.3750
439,0.1250
440,0.1562
441,0.3125
442,-0.5625
443,-0.8125
444,-0.0312
445,-0.2500
446,0.1875
447,0.9688
448,0.3125
449,0.4062
450,-0.5000
451,0.2500
452,0.0000
453,-0.4375
454,-1.1562
455,0.0000
456,-0.0625
457,-1.7812
458,-1.0000
459,-0.3438
460,-0.5312
461,0.0625
462,0.2500
463,-0.9375
464,-1.0312
465,0.1562
466,-0.7812
467,-0.5312
468,-1.4062
469,-0.1875
470,-0.2812
471,-0.4688
472,-0.8438
473,0.2812
474,0.4062
475,0.3125
476,-0.7812
477,0.4062
478,-0.0938
479,-0.5312
480,-0.5938
481,0.2500
482,0.4375
483,0.5000
484,-0.3750
485,-0.2188
486,-0.3438
487,-0.0938
488,0.7812
489,0.4375
490,-0.4688
491,-0.1562
492,0.4688
493,-0.2812
494,0.5625
495,-0.5000
496,0.1250
497,0.9688
498,0.8125
499,-0.7188
500,-0.0938
501,0.2188
502,-1.8125
503,0.1562
504,0.7188
505,0.0312
506,-0.7188
507,-0.0938
508,0.2812
509,-0.8750
510,0.1562
