X,Y
0,0.500
1,0.500
2,0.500
3,0.500
4,0.500
5,0.500
6,0.500
7,0.500
8,0.500
9,0.500
10,0.500
11,0.844
12,0.156
13,0.281
14,1.094
15,0.844
16,-0.062
17,0.781
18,-0.844
19,0.312
20,0.594
21,0.625
22,0.031
23,0.062
24,0.031
25,-0.125
26,0.188
27,-0.125
28,-0.094
29,0.688
30,1.625
31,0.938
32,0.312
33,0.938
34,0.812
35,1.000
36,0.250
37,0.312
38,0.031
39,0.500
40,1.500
41,0.188
42,0.344
43,0.469
44,0.094
45,0.250
46,-0.719
47,-0.688
48,0.844
49,-0.188
50,-0.406
51,0.375
52,0.062
53,0.219
54,-0.250
55,0.906
56,0.594
57,1.062
58,0.000
59,-0.438
60,-0.219
61,-0.344
62,0.656
63,0.188
64,-0.188
65,0.094
66,0.688
67,-0.062
68,0.594
69,-0.094
70,-0.125
71,0.500
72,0.312
73,0.688
74,0.656
75,0.188
76,0.906
77,1.500
78,-0.156
79,0.094
80,0.562
81,0.438
82,-0.312
83,0.531
84,0.281
85,0.500
86,0.594
87,-0.375
88,0.594
89,-0.250
90,0.625
91,0.094
92,0.188
93,1.031
94,-0.094
95,-0.219
96,0.438
97,-0.500
98,0.125
99,-0.625
100,0.094
101,0.000
102,0.969
103,0.812
104,1.125
105,0.625
106,-0.156
107,0.312
108,0.094
109,-0.750
110,0.688
111,1.094
112,0.125
113,0.000
114,1.062
115,1.281
116,-0.219
117,0.844
118,0.812
119,-0.031
120,-0.656
121,0.938
122,1.344
123,0.781
124,0.438
125,0.312
126,2.094
127,0.812
128,0.188
129,0.906
130,0.438
131,0.656
132,0.594
133,0.188
134,0.188
135,0.594
136,-0.594
137,0.344
138,0.219
139,-0.938
140,0.375
141,-0.094
142,0.750
143,-0.750
144,0.094
145,0.562
146,-0.156
147,0.344
148,-0.094
149,-0.094
150,-0.062
151,0.156
152,0.938
153,1.000
154,0.781
155,1.125
156,-0.094
157,0.250
158,0.500
159,-0.281
160,0.406
161,-0.094
162,0.188
163,0.781
164,1.125
165,-0.156
166,0.438
167,1.562
168,-0.281
169,-0.250
170,-0.438
171,0.719
172,0.719
173,0.969
174,0.250
175,0.000
176,0.906
177,-0.531
178,0.250
179,0.344
180,0.031
181,0.250
182,-0.688
183,-0.094
184,0.250
185,0.156
186,-0.094
187,0.406
188,-0.312
189,-0.375
190,0.031
191,0.344
192,0.469
193,1.000
194,0.438
195,-0.688
196,-0.062
197,-0.500
198,-0.281
199,0.438
200,-0.750
201,0.562
202,0.562
203,0.562
204,-0.031
205,0.156
206,0.312
207,0.719
208,0.781
209,0.094
210,0.312
211,0.781
212,0.156
213,0.875
214,0.656
215,-0.469
216,0.375
217,0.656
218,-0.125
219,-0.062
220,-0.719
221,-0.125
222,0.688
223,0.906
224,0.781
225,0.312
226,0.562
227,-0.219
228,0.562
229,-0.344
230,-0.719
231,0.750
232,0.344
233,0.531
234,-0.469
235,-0.625
236,-0.469
237,0.875
238,-1.062
239,-0.312
240,0.656
241,0.156
242,0.156
243,0.438
244,0.438
245,-0.188
246,0.312
247,0.500
248,-0.125
249,0.531
250,0.125
251,0.344
252,0.812
253,-0.281
254,0.000
255,-0.594
256,-0.094
257,0.375
258,1.656
259,2.156
260,-0.062
261,1.219
262,-0.562
263,-0.656
264,0.688
265,0.531
266,-1.531
267,0.188
268,-0.031
269,0.156
270,0.125
271,0.625
272,0.438
273,0.156
274,1.062
275,-0.094
276,0.938
277,1.281
278,0.469
279,-0.188
280,-0.219
281,-1.000
282,-0.625
283,0.125
284,-0.031
285,-0.250
286,1.062
287,0.281
288,0.281
289,0.625
290,0.312
291,-0.188
292,0.781
293,0.562
294,-0.062
295,0.312
296,-0.594
297,-0.938
298,-0.094
299,-0.156
300,0.781
301,0.406
302,-0.062
303,0.250
304,0.344
305,0.156
306,0.031
307,0.031
308,-1.094
309,0.156
310,0.219
311,0.812
312,-0.156
313,0.188
314,-0.312
315,0.219
316,0.750
317,1.656
318,1.625
319,0.375
320,0.031
321,-0.031
322,0.062
323,-0.031
324,0.000
325,0.312
326,1.438
327,0.844
328,1.000
329,0.969
330,-0.094
331,0.312
332,1.312
333,1.094
334,0.531
335,0.438
336,0.094
337,0.031
338,0.531
339,0.188
340,-0.125
341,0.312
342,0.094
343,1.438
344,0.844
345,0.438
346,0.250
347,-0.312
348,0.281
349,0.156
350,0.906
351,0.094
352,0.062
353,0.438
354,0.438
355,0.375
356,0.562
357,-0.656
358,0.719
359,-0.188
360,1.000
361,1.281
362,1.625
363,0.500
364,0.438
365,1.031
366,0.719
367,1.438
368,0.688
369,0.312
370,0.844
371,0.344
372,0.250
373,0.312
374,0.438
375,-0.688
376,0.844
377,-0.750
378,0.031
379,1.156
380,0.969
381,0.219
382,0.625
383,0.375
384,-0.156
385,1.594
386,-0.594
387,0.969
388,0.656
389,0.750
390,0.688
391,-0.219
392,0.406
393,1.031
394,0.312
395,0.281
396,0.719
397,0.688
398,-0.781
399,-0.625
400,1.719
401,1.531
402,-0.062
403,-0.219
404,0.188
405,1.500
406,0.531
407,0.531
408,-0.219
409,0.000
410,0.156
411,1.250
412,1.875
413,1.125
414,0.344
415,0.375
416,0.188
417,0.844
418,1.281
419,0.562
420,-0.625
421,-0.125
422,0.219
423,1.812
424,1.094
425,0.719
426,-0.375
427,0.438
428,1.344
429,0.469
430,-0.094
431,0.906
432,0.062
433,0.438
434,0.812
435,-0.219
436,0.938
437,0.812
438,-0.281
439,-0.125
440,0.750
441,0.531
442,-0.531
443,-0.188
444,1.469
445,0.094
446,-0.500
447,0.000
448,0.281
449,0.250
450,0.156
451,1.906
452,1.000
453,0.250
454,0.188
455,0.531
456,0.500
457,-0.156
458,0.438
459,-0.062
460,-0.250
461,-0.125
462,0.125
463,-0.438
464,0.531
465,0.188
466,0.781
467,0.875
468,0.250
469,0.156
470,-0.750
471,-0.188
472,-0.312
473,1.125
474,1.031
475,0.656
476,1.000
477,1.094
478,0.781
479,1.094
480,-0.062
481,-0.312
482,0.562
483,-0.219
484,1.062
485,-0.188
486,0.031
487,-0.750
488,0.625
489,1.156
490,1.531
491,-0.344
492,0.188
493,1.062
494,0.344
495,0.250
496,1.312
497,0.219
498,0.719
499,-0.125
500,0.781
501,0.938
502,0.406
503,0.875
504,0.031
505,1.031
506,0.438
507,0.406
508,0.219
509,0.156
510,-0.156
511,1.156
512,0.531
513,0.906
514,0.844
515,1.312
516,0.844
517,0.812
518,0.188
519,1.000
520,1.062
521,0.438
522,0.750
523,0.062
524,0.812
525,1.062
526,0.250
527,0.531
528,1.219
529,0.250
530,0.125
531,-0.375
532,0.281
533,0.562
534,0.500
535,-0.094
536,-0.125
537,-0.062
538,1.375
539,0.938
540,0.875
541,0.844
542,1.250
543,0.625
544,0.750
545,0.500
546,1.844
547,0.844
548,0.906
549,1.562
550,0.500
551,1.312
552,-0.469
553,0.750
554,0.219
555,0.625
556,-0.094
557,0.594
558,0.281
559,0.188
560,0.625
561,1.219
562,0.719
563,0.500
564,1.062
565,0.750
566,0.312
567,0.406
568,0.125
569,1.781
570,0.406
571,0.312
572,-0.438
573,0.031
574,0.969
575,0.312
576,-0.438
577,-0.250
578,0.188
579,0.125
580,-0.562
581,0.688
582,-0.156
583,1.312
584,-0.156
585,-0.312
586,0.094
587,-0.438
588,-0.094
589,0.250
590,0.344
591,-0.562
592,1.906
593,1.344
594,0.812
595,0.594
596,0.125
597,0.375
598,-0.438
599,0.031
600,0.469
601,-0.062
602,-0.344
603,0.594
604,-0.031
605,-0.125
606,-0.500
607,0.500
608,0.031
609,-0.031
610,0.781
611,0.062
612,0.438
613,0.250
614,0.031
615,0.250
616,0.250
617,-0.500
618,0.312
619,-0.625
620,0.344
621,-0.750
622,-0.469
623,0.375
624,-0.344
625,0.500
626,0.625
627,0.750
628,1.000
629,1.562
630,1.156
631,2.281
632,1.188
633,0.250
634,0.250
635,0.812
636,0.531
637,0.438
638,-0.406
639,-0.094
640,0.781
641,0.156
642,0.031
643,0.781
644,0.406
645,1.000
646,0.812
647,1.344
648,0.688
649,1.594
650,2.094
651,1.375
652,1.000
653,1.219
654,1.094
655,1.000
656,0.625
657,0.594
658,0.406
659,1.500
660,-0.312
661,-0.531
662,0.438
663,0.875
664,0.719
665,0.500
666,0.438
667,0.406
668,-0.531
669,0.781
670,0.625
671,0.312
672,0.438
673,0.656
674,1.938
675,0.094
676,0.500
677,-0.438
678,-0.719
679,0.594
680,1.219
681,0.312
682,-0.562
683,0.688
684,0.625
685,1.125
686,0.688
687,1.156
688,0.219
689,0.375
690,1.562
691,0.500
692,1.062
693,0.031
694,-0.094
695,0.938
696,-0.062
697,1.250
698,0.625
699,1.375
700,0.500
701,0.875
702,0.375
703,0.469
704,-0.062
705,1.375
706,0.062
707,0.406
708,0.062
709,-0.062
710,-0.250
711,0.844
712,0.031
713,0.062
714,0.719
715,-0.438
716,0.750
717,-0.219
718,0.500
719,1.125
720,-0.562
721,1.250
722,1.250
723,0.031
724,-0.125
725,0.344
726,0.750
727,1.625
728,1.062
729,0.625
730,0.156
731,0.844
732,-0.125
733,-0.281
734,0.688
735,1.281
736,1.062
737,1.750
738,1.281
739,0.531
740,0.281
741,1.188
742,0.375
743,0.938
744,0.906
745,0.469
746,-0.281
747,0.281
748,0.188
749,0.688
750,0.219
751,1.344
752,1.375
753,1.219
754,1.062
755,0.938
756,1.250
757,1.062
758,1.562
759,-0.562
760,0.625
761,-0.531
762,-0.250
763,0.969
764,0.344
765,1.125
766,0.812
767,0.969
768,0.156
769,0.625
770,0.625
771,1.156
772,0.344
773,1.594
774,0.062
775,1.219
776,0.250
777,0.625
778,0.750
779,-0.438
780,-0.406
781,0.656
782,0.938
783,0.750
784,-0.250
785,-0.531
786,0.125
787,0.438
788,1.531
789,-0.688
790,1.000
791,0.219
792,0.625
793,2.062
794,0.906
795,0.531
796,0.875
797,0.062
798,-0.125
799,-0.781
800,0.875
801,0.812
802,0.031
803,0.781
804,-0.375
805,-0.094
806,1.094
807,0.531
808,-0.125
809,1.031
810,0.500
811,0.812
812,-0.031
813,1.438
814,1.094
815,0.344
816,1.062
817,0.219
818,0.562
819,0.219
820,0.188
821,0.562
822,0.781
823,0.094
824,1.312
825,0.688
826,0.438
827,0.281
828,0.125
829,0.344
830,-0.562
831,0.969
832,0.656
833,0.500
834,0.812
835,0.406
836,0.906
837,-0.156
838,-0.844
839,0.281
840,-0.625
841,0.281
842,-0.406
843,0.125
844,0.969
845,0.281
846,1.250
847,1.062
848,0.906
849,1.844
850,1.156
851,0.500
852,0.406
853,1.094
854,-0.344
855,0.812
856,1.219
857,0.469
858,0.844
859,0.812
860,0.625
861,-0.312
862,0.438
863,0.031
864,0.656
865,0.406
866,0.906
867,1.031
868,1.781
869,1.094
870,1.844
871,0.500
872,0.656
873,0.156
874,-1.125
875,0.656
876,-0.094
877,-0.906
878,0.250
879,1.156
880,0.500
881,-0.344
882,1.656
883,1.000
884,0.312
885,0.062
886,-0.156
887,0.188
888,0.938
889,1.938
890,0.281
891,1.625
892,-0.625
893,0.875
894,0.531
895,0.156
896,-0.500
897,-0.375
898,0.969
899,0.281
900,1.656
901,0.562
902,0.938
903,1.250
904,0.625
905,0.000
906,0.000
907,0.375
908,0.438
909,0.438
910,0.125
911,1.250
912,0.812
913,-0.188
914,-0.125
915,0.188
916,0.469
917,1.031
918,1.188
919,1.969
920,0.938
921,-0.312
922,0.750
923,2.125
924,2.156
925,1.281
926,1.281
927,1.688
928,0.031
929,-0.469
930,0.344
931,1.156
932,0.469
933,1.000
934,1.312
935,0.906
936,0.562
937,-0.031
938,0.938
939,-0.438
940,0.969
941,0.750
942,1.719
943,3.531
944,1.969
945,0.812
946,1.719
947,0.781
948,0.562
949,1.219
950,0.719
951,0.969
952,2.125
953,1.062
954,0.656
955,0.906
956,1.062
957,0.781
958,0.906
959,0.750
960,0.656
961,0.188
962,0.719
963,1.938
964,2.000
965,0.969
966,1.219
967,0.062
968,0.469
969,-0.125
970,0.750
971,1.094
972,0.344
973,-0.031
974,2.188
975,-0.219
976,2.188
977,0.844
978,0.750
979,-0.188
980,2.188
981,1.125
982,0.906
983,0.844
984,0.969
985,1.156
986,1.219
987,1.906
988,1.344
989,1.062
990,1.625
991,1.531
992,1.406
993,0.094
994,1.094
995,0.781
996,1.656
997,0.656
998,0.844
999,1.281
1000,0.531
1001,0.938
1002,1.344
1003,0.531
1004,1.312
1005,0.438
1006,1.094
1007,1.531
1008,1.875
1009,1.844
1010,0.594
1011,1.062
1012,1.812
1013,0.625
1014,1.500
1015,0.531
1016,1.031
1017,1.375
1018,0.719
1019,1.594
1020,0.875
1021,1.438
1022,0.812
1023,0.875
1024,0.750
1025,0.250
1026,-0.281
1027,0.375
1028,0.406
1029,0.750
1030,0.875
1031,1.344
1032,0.562
1033,1.250
1034,0.750
1035,0.938
1036,0.844
1037,0.969
1038,0.344
1039,0.719
1040,-0.031
1041,-0.406
1042,1.906
1043,1.406
1044,0.219
1045,0.000
1046,0.812
1047,0.594
1048,0.812
1049,0.062
1050,1.500
1051,0.906
1052,0.344
1053,0.406
1054,0.281
1055,0.844
1056,0.250
1057,-0.562
1058,0.406
1059,-0.500
1060,0.375
1061,1.125
1062,1.219
1063,1.125
