X,Y
0,0.000
1,0.000
2,0.000
3,0.000
4,0.000
5,0.000
6,0.000
7,0.000
8,0.000
9,0.000
10,0.000
11,0.562
12,-0.625
13,-0.312
14,0.812
15,-0.188
16,0.469
17,0.375
18,-0.344
19,0.281
20,0.125
21,-0.438
22,0.906
23,0.594
24,0.094
25,-0.125
26,-0.344
27,-0.250
28,0.938
29,0.500
30,0.688
31,0.219
32,0.688
33,0.812
34,0.188
35,0.062
36,-0.312
37,0.781
38,-0.375
39,0.625
40,-0.281
41,0.562
42,-0.250
43,0.656
44,0.562
45,-0.656
46,-0.188
47,0.031
48,0.562
49,0.562
50,-0.562
51,0.750
52,0.250
53,0.969
54,0.062
55,0.906
56,1.188
57,0.062
58,0.156
59,0.719
60,0.125
61,1.188
62,0.562
63,0.344
64,-0.750
65,1.062
66,0.531
67,-0.156
68,0.375
69,0.781
70,0.562
71,0.344
72,0.156
73,-0.562
74,0.250
75,0.125
76,-0.281
77,-0.094
78,0.688
79,0.031
80,0.781
81,0.469
82,1.000
83,0.719
84,0.656
85,0.688
86,0.656
87,0.406
88,0.500
89,0.312
90,-0.062
91,-0.531
92,0.844
93,0.625
94,-0.094
95,0.250
96,0.062
97,-0.438
98,-0.062
99,0.750
100,-0.250
101,0.156
102,1.094
103,0.438
104,0.875
105,-0.438
106,0.188
107,0.375
108,0.719
109,0.188
110,-0.188
111,-0.250
112,0.094
113,0.594
114,0.062
115,-0.312
116,1.125
117,0.656
118,-0.219
119,-0.406
120,-0.062
121,-0.438
122,0.156
123,1.500
124,1.469
125,0.219
126,0.688
127,0.344
128,0.312
129,0.625
130,-0.688
131,-0.344
132,0.062
133,-0.531
134,0.281
135,-0.031
136,0.281
137,0.344
138,-0.188
139,-0.062
140,-0.406
141,-0.031
142,-0.531
143,0.594
144,0.781
145,-0.344
146,-0.938
147,0.531
148,0.312
149,0.062
150,-0.438
151,-0.094
152,0.062
153,-0.438
154,-0.594
155,-0.062
156,0.781
157,0.344
158,0.656
159,0.406
160,-0.219
161,1.344
162,0.938
163,0.750
164,0.625
165,0.594
166,0.219
167,-0.094
168,0.938
169,-0.875
170,0.250
171,0.844
172,-0.688
173,0.250
174,1.125
175,1.000
176,-0.219
177,-0.250
178,-0.344
179,-0.594
180,0.406
181,-0.312
182,-0.031
183,-0.188
184,-0.219
185,0.219
186,1.031
187,0.062
188,-0.250
189,0.031
190,1.562
191,1.156
192,-0.062
193,-0.750
194,0.562
195,-0.281
196,1.031
197,0.531
198,1.906
199,0.125
200,-0.281
201,0.375
202,0.594
203,0.844
204,1.125
205,-0.500
206,1.094
207,-0.062
208,0.688
209,-0.625
210,0.656
211,0.125
212,0.938
213,0.281
214,0.906
215,0.219
216,-0.281
217,-1.188
218,-0.312
219,-0.531
220,-0.531
221,-0.969
222,0.094
223,1.594
224,0.375
225,-1.250
226,0.656
227,-0.406
228,-0.656
229,-0.188
230,-0.125
231,-0.875
232,0.375
233,-0.188
234,-0.281
235,-0.062
236,0.156
237,-0.719
238,0.219
239,0.375
240,0.781
241,1.000
242,-0.969
243,-0.656
244,0.312
245,0.719
246,-0.719
247,-0.250
248,0.000
249,0.625
250,0.375
251,0.875
252,0.188
253,1.250
254,-1.250
255,0.375
256,-0.469
257,-0.688
258,0.469
259,0.625
260,-0.469
261,0.844
262,0.438
263,-0.156
264,0.125
265,0.844
266,0.719
267,-0.219
268,-0.062
269,0.188
270,-0.562
271,1.000
272,0.219
273,-0.406
274,-0.281
275,-0.062
276,0.562
277,-0.062
278,0.719
279,0.594
280,-0.781
281,-0.031
282,-0.344
283,0.406
284,0.188
285,0.531
286,-0.469
287,0.781
288,-0.219
289,0.156
290,1.125
291,-0.219
292,0.062
293,0.406
294,-0.594
295,0.094
296,0.000
297,1.281
298,-0.344
299,-0.500
300,0.938
301,0.312
302,0.188
303,0.438
304,0.312
305,-0.969
306,0.562
307,0.844
308,0.031
309,-0.188
310,-0.594
311,-0.125
312,0.406
313,-0.375
314,-0.844
315,-0.438
316,0.219
317,0.219
318,0.062
319,1.062
320,-0.344
321,-0.312
322,0.750
323,0.719
324,-0.312
325,-0.406
326,0.188
327,0.281
328,0.750
329,-0.438
330,0.156
331,0.250
332,0.281
333,-0.219
334,-0.062
335,-0.750
336,0.000
337,0.188
338,-0.094
339,0.188
340,0.344
341,-0.438
342,0.844
343,0.219
344,-0.281
345,-0.156
346,0.188
347,0.594
348,0.406
349,0.219
350,0.031
351,0.562
352,0.906
353,-0.969
354,0.562
355,0.594
356,-1.156
357,0.281
358,0.219
359,0.188
360,-0.531
361,-0.062
362,0.188
363,0.219
364,0.969
365,0.656
366,0.562
367,-0.312
368,-0.312
369,0.906
370,0.344
371,-0.125
372,0.031
373,0.062
374,0.344
375,0.812
376,0.000
377,0.219
378,-0.531
379,0.406
380,0.250
381,1.312
382,0.406
383,0.594
384,0.031
385,0.875
386,0.500
387,0.625
388,-0.406
389,0.844
390,-0.938
391,-0.375
392,-0.438
393,0.062
394,-0.062
395,0.594
396,0.219
397,-0.062
398,-0.031
399,-0.594
400,0.406
401,-0.656
402,-0.062
403,0.125
404,0.000
405,0.781
406,0.375
407,-0.906
408,-0.688
409,1.156
410,-0.531
411,0.062
412,0.281
413,0.531
414,0.875
415,0.688
416,1.125
417,0.906
418,1.000
419,2.188
420,1.344
421,0.281
422,0.375
423,0.562
424,-0.562
425,0.219
426,0.625
427,-0.562
428,0.656
429,1.031
430,0.438
431,0.781
432,-0.188
433,-0.250
434,0.344
435,0.125
436,0.531
437,0.688
438,0.406
439,-0.125
440,1.219
441,-0.406
442,-0.188
443,0.281
444,0.938
445,-0.031
446,-0.188
447,-0.500
448,0.781
449,0.438
450,0.344
451,0.875
452,-0.188
453,-0.719
454,0.438
455,0.188
456,0.500
457,-0.906
458,1.312
459,0.750
460,0.500
461,0.344
462,0.094
463,0.062
464,0.250
465,-0.562
466,0.250
467,-0.625
468,1.875
469,-0.594
470,-0.125
471,-0.500
472,0.031
473,0.188
474,1.000
475,0.125
476,-0.188
477,0.562
478,0.250
479,0.375
480,-0.094
481,0.438
482,0.344
483,-0.562
484,0.438
485,0.438
486,0.094
487,0.719
488,0.656
489,-0.750
490,0.969
491,0.375
492,0.500
493,-0.094
494,-0.188
495,-0.094
496,-0.500
497,0.625
498,0.844
499,0.938
500,0.594
501,-0.312
502,-0.219
503,-0.469
504,0.969
505,0.938
506,0.875
507,0.969
508,1.219
509,0.875
510,0.438
511,0.469
512,0.625
513,0.812
514,-0.031
515,-0.312
516,-0.469
517,0.781
518,0.312
519,0.719
520,0.312
521,-0.156
522,-0.312
523,0.250
524,0.094
525,-0.031
526,0.531
527,0.625
528,0.719
529,0.500
530,0.781
531,0.562
532,0.625
533,-0.125
534,0.500
535,0.344
536,1.562
537,0.125
538,0.625
539,-0.594
540,-0.125
541,0.188
542,1.062
543,0.219
544,0.188
545,0.844
546,0.875
547,1.031
548,-0.125
549,1.219
550,-0.062
551,0.656
552,0.344
553,0.500
554,0.906
555,1.375
556,0.469
557,0.875
558,0.438
559,0.406
560,0.594
561,0.312
562,0.938
563,-0.375
564,0.031
565,0.312
566,-0.062
567,1.062
568,0.469
569,0.312
570,-0.344
571,-0.188
572,0.562
573,1.781
574,0.094
575,-0.219
576,-0.281
577,-0.469
578,0.188
579,0.906
580,0.031
581,0.594
582,-0.719
583,0.375
584,-0.719
585,0.281
586,0.438
587,0.188
588,-0.125
589,0.469
590,0.312
591,-1.344
592,0.344
593,1.375
594,-0.594
595,0.656
596,1.688
597,-0.281
598,0.969
599,0.438
600,-0.188
601,0.094
602,0.500
603,0.656
604,-0.250
605,0.000
606,-0.375
607,0.906
608,-0.812
609,-1.156
610,0.594
611,-0.219
612,-0.469
613,0.562
614,-0.188
615,0.156
616,-0.031
617,-0.125
618,0.250
619,0.469
620,0.188
621,0.125
622,-0.406
623,-0.125
624,0.844
625,0.719
626,-0.844
627,0.156
628,-0.094
629,1.156
630,-0.031
631,0.500
632,0.219
633,0.375
634,0.781
635,0.562
636,0.094
637,0.344
638,0.000
639,-0.344
640,-0.375
641,0.562
642,1.000
643,1.125
644,0.656
645,0.781
646,0.594
647,0.406
648,0.250
649,0.438
650,0.500
651,0.750
652,0.344
653,-0.188
654,-0.344
655,0.188
656,0.312
657,-0.062
658,0.469
659,-0.656
660,0.656
661,-0.344
662,1.031
663,0.000
664,-0.438
665,-0.750
666,0.844
667,0.750
668,-0.062
669,0.531
670,0.250
671,0.344
672,0.188
673,0.094
