X,Y
0.000,0.000
0.523,0.000
1.046,0.000
1.568,0.000
2.091,0.000
2.614,0.000
3.137,0.000
3.659,0.000
4.182,0.000
4.705,0.000
5.228,0.000
5.750,0.000
6.273,0.000
6.796,0.000
7.319,0.000
7.841,0.000
8.364,0.000
8.887,0.000
9.410,0.000
9.933,0.000
10.455,0.000
10.978,0.000
11.501,0.000
12.024,0.000
12.546,0.000
13.069,0.000
13.592,0.000
14.115,0.000
14.637,0.000
15.160,0.000
15.683,0.000
16.206,0.000
16.728,0.000
17.251,0.000
17.774,0.000
18.297,0.000
18.820,0.000
19.342,0.000
19.865,0.000
20.388,0.000
20.911,0.000
21.433,0.000
21.956,0.000
22.479,0.000
23.002,0.000
23.524,0.000
24.047,0.000
24.570,0.000
25.093,0.000
25.615,0.000
26.138,0.000
26.661,0.000
27.184,0.000
27.707,0.000
28.229,0.000
28.752,0.000
29.275,0.000
29.798,0.000
30.320,0.000
30.843,0.000
31.366,0.000
31.889,0.000
32.411,0.000
32.934,0.000
33.457,0.000
33.980,0.000
34.502,0.000
35.025,0.000
35.548,0.000
36.071,0.000
36.594,0.000
37.116,0.000
37.639,0.000
38.162,0.000
38.685,0.000
39.207,0.000
39.730,0.000
40.253,0.000
40.776,0.000
41.298,0.000
41.821,0.000
42.344,0.000
42.867,0.000
43.390,0.000
43.912,0.000
44.435,0.000
44.958,0.000
45.481,0.000
46.003,0.000
46.526,0.000
47.049,0.000
47.572,0.000
48.094,0.000
48.617,0.000
49.140,0.000
49.663,0.000
50.185,0.000
50.708,0.000
51.231,0.000
51.754,0.000
52.277,0.000
52.799,0.000
53.322,0.000
53.845,0.000
54.368,0.000
54.890,0.000
55.413,0.000
55.936,0.000
56.459,0.000
56.981,0.000
57.504,0.000
58.027,0.000
58.550,0.000
59.072,0.000
59.595,0.000
60.118,0.000
60.641,0.000
61.164,0.000
61.686,0.000
62.209,0.000
62.732,0.000
63.255,0.000
63.777,0.000
64.300,0.000
64.823,0.000
65.346,0.000
65.868,0.000
66.391,0.000
66.914,0.000
67.437,0.000
67.959,0.000
68.482,0.000
69.005,0.000
69.528,0.000
70.051,0.000
70.573,0.000
71.096,0.000
71.619,0.000
72.142,0.000
72.664,0.000
73.187,0.000
73.710,0.000
74.233,0.000
74.755,0.000
75.278,0.000
75.801,0.000
76.324,0.000
76.846,0.000
77.369,0.000
77.892,0.000
78.415,0.000
78.938,0.000
79.460,0.000
79.983,0.000
80.506,0.000
81.029,0.000
81.551,0.000
82.074,0.000
82.597,0.000
83.120,0.000
83.642,0.000
84.165,0.000
84.688,0.000
85.211,0.000
85.733,0.000
86.256,0.000
86.779,0.000
87.302,0.000
87.825,0.000
88.347,0.000
88.870,0.000
89.393,0.000
89.916,0.000
90.438,0.000
90.961,0.000
91.484,0.000
92.007,0.000
92.529,0.000
93.052,0.000
93.575,0.000
94.098,0.000
94.620,0.000
95.143,0.000
95.666,0.000
96.189,0.000
96.712,0.000
97.234,0.000
97.757,0.000
98.280,0.000
98.803,0.000
99.325,0.000
99.848,0.000
100.371,0.000
100.894,0.000
101.416,0.000
101.939,0.000
102.462,0.000
102.985,0.000
103.507,0.000
104.030,0.000
104.553,0.000
105.076,0.000
105.599,0.000
106.121,0.000
106.644,0.000
107.167,0.000
107.690,0.000
108.212,0.000
108.735,0.000
109.258,0.000
109.781,0.000
110.303,0.000
110.826,0.000
111.349,0.000
111.872,0.000
112.394,0.000
112.917,0.000
113.440,0.000
113.963,0.000
114.486,0.000
115.008,0.000
115.531,0.000
116.054,0.000
116.577,0.000
117.099,0.000
117.622,0.000
118.145,0.000
118.668,0.000
119.190,0.000
119.713,0.000
120.236,0.000
120.759,0.000
121.282,0.000
121.804,0.000
122.327,0.000
122.850,0.000
123.373,0.000
123.895,0.000
124.418,0.000
124.941,0.000
125.464,0.000
125.986,0.000
126.509,0.000
127.032,0.000
127.555,0.000
128.077,0.000
128.600,0.000
129.123,0.000
129.646,0.000
130.169,0.000
130.691,0.000
131.214,0.000
131.737,0.000
132.260,0.000
132.782,0.000
133.305,0.000
133.828,0.000
134.351,0.000
134.873,0.000
135.396,0.000
135.919,0.000
136.442,0.000
136.964,0.000
137.487,0.000
138.010,0.000
138.533,0.000
139.056,0.000
139.578,0.000
140.101,0.000
140.624,0.000
141.147,0.000
141.669,0.000
142.192,0.000
142.715,0.000
143.238,0.000
143.760,0.000
144.283,0.000
144.806,0.000
145.329,0.000
145.851,0.000
146.374,0.000
146.897,0.000
147.420,0.000
147.943,0.000
148.465,0.000
148.988,0.000
149.511,0.000
150.034,0.000
150.556,0.000
151.079,0.000
151.602,0.000
152.125,0.000
152.647,0.000
153.170,0.000
153.693,0.000
154.216,0.000
154.738,0.000
155.261,0.000
155.784,0.000
156.307,0.000
156.830,0.000
157.352,0.000
157.875,0.000
158.398,0.000
158.921,0.000
159.443,0.000
159.966,0.000
160.489,0.000
161.012,0.000
161.534,0.000
162.057,0.000
162.580,0.000
163.103,0.000
163.625,0.691
164.148,21.046
164.671,92.926
165.194,152.301
165.717,191.519
166.239,230.683
166.762,271.591
167.285,304.990
167.808,332.080
168.330,361.070
168.853,379.117
169.376,391.429
169.899,399.561
170.421,423.859
170.944,454.607
171.467,476.746
171.990,500.769
172.512,524.705
173.035,547.217
173.558,574.490
174.081,603.439
174.604,628.197
175.126,647.635
175.649,667.760
176.172,685.074
176.695,702.210
177.217,720.102
177.740,733.094
178.263,748.906
178.786,765.166
179.308,781.301
179.831,796.194
180.354,809.335
180.877,823.347
181.399,836.919
181.922,848.707
182.445,866.330
182.968,881.106
183.491,896.376
184.013,910.422
184.536,923.701
185.059,936.898
185.582,947.944
186.104,960.829
186.627,974.385
187.150,984.870
187.673,999.678
188.195,1016.416
188.718,1029.311
189.241,1041.403
189.764,1052.283
190.286,1061.742
190.809,1071.624
191.332,1078.667
191.855,1086.338
192.378,1095.925
192.900,1102.760
193.423,1110.657
193.946,1116.707
194.469,1122.523
194.991,1130.038
195.514,1135.820
196.037,1139.728
196.560,1145.659
197.082,1150.530
197.605,1156.797
198.128,1162.083
198.651,1168.068
199.174,1175.550
199.696,1181.865
200.219,1187.155
200.742,1192.402
201.265,1200.846
201.787,1210.438
202.310,1217.786
202.833,1222.526
203.356,1228.980
203.878,1238.625
204.401,1243.467
204.924,1246.220
205.447,1248.840
205.969,1254.343
206.492,1259.795
207.015,1264.186
207.538,1270.822
208.061,1280.219
208.583,1288.931
209.106,1295.718
209.629,1304.157
210.152,1315.034
210.674,1324.947
211.197,1334.545
211.720,1345.927
212.243,1354.928
212.765,1364.743
213.288,1377.422
213.811,1387.112
214.334,1397.896
214.856,1409.948
215.379,1419.892
215.902,1430.451
216.425,1441.452
216.948,1452.981
217.470,1462.136
217.993,1471.764
218.516,1480.945
219.039,1485.808
219.561,1491.794
220.084,1497.292
220.607,1506.214
221.130,1511.913
221.652,1516.828
222.175,1521.208
222.698,1524.575
223.221,1526.658
223.743,1529.786
224.266,1532.571
224.789,1533.314
225.312,1535.413
225.835,1540.264
226.357,1542.553
226.880,1545.385
227.403,1552.500
227.926,1558.090
228.448,1562.780
228.971,1570.556
229.494,1575.519
230.017,1582.056
230.539,1588.116
231.062,1593.362
231.585,1597.928
232.108,1603.182
232.630,1611.702
233.153,1618.997
233.676,1624.449
234.199,1629.906
234.722,1635.702
235.244,1640.756
235.767,1645.653
236.290,1649.457
236.813,1650.961
237.335,1652.865
237.858,1654.607
238.381,1654.367
238.904,1660.456
239.426,1666.663
239.949,1670.064
240.472,1675.230
240.995,1678.468
241.517,1679.675
242.040,1678.485
242.563,1679.534
243.086,1678.961
243.609,1680.647
244.131,1681.489
244.654,1685.850
245.177,1685.936
245.700,1687.389
246.222,1689.884
246.745,1688.869
247.268,1686.829
247.791,1687.131
248.313,1686.904
248.836,1690.293
249.359,1693.649
249.882,1697.294
250.404,1702.146
250.927,1712.296
251.450,1716.314
251.973,1717.647
252.496,1719.500
253.018,1721.400
253.541,1726.639
254.064,1731.018
254.587,1735.230
255.109,1737.716
255.632,1743.215
256.155,1746.486
256.678,1749.392
257.200,1754.214
257.723,1758.179
258.246,1760.742
258.769,1763.795
259.292,1767.756
259.814,1772.947
260.337,1779.131
260.860,1784.130
261.383,1788.401
261.905,1792.740
262.428,1798.151
262.951,1804.512
263.474,1812.705
263.996,1819.489
264.519,1826.291
265.042,1828.965
265.565,1831.979
266.087,1837.396
266.610,1839.765
267.133,1842.632
267.656,1846.950
268.178,1847.824
268.701,1848.132
269.224,1850.294
269.747,1853.131
270.270,1856.560
270.792,1859.319
271.315,1861.744
271.838,1865.006
272.361,1866.379
272.883,1869.505
273.406,1872.513
273.929,1874.122
274.452,1875.004
274.974,1877.605
275.497,1878.484
276.020,1881.213
276.543,1884.941
277.065,1886.914
277.588,1891.160
278.111,1895.458
278.634,1897.085
279.157,1902.151
279.679,1906.194
280.202,1911.866
280.725,1916.133
281.248,1919.371
281.770,1922.632
282.293,1923.513
282.816,1928.260
283.339,1933.319
283.861,1933.066
284.384,1934.613
284.907,1935.720
285.430,1936.829
285.953,1937.957
286.475,1939.511
286.998,1944.618
287.521,1949.699
288.044,1953.552
288.566,1954.488
289.089,1955.551
289.612,1956.235
290.135,1957.160
290.657,1957.504
291.180,1960.568
291.703,1964.567
292.226,1966.319
292.748,1968.860
293.271,1972.946
293.794,1974.221
294.317,1975.292
294.840,1978.820
295.362,1980.701
295.885,1981.556
296.408,1985.490
296.931,1990.822
297.453,1996.631
297.976,2001.651
298.499,2006.612
299.022,2011.457
299.544,2018.154
300.067,2023.820
300.590,2027.315
301.113,2030.942
301.635,2034.445
302.158,2037.589
302.681,2046.881
303.204,2055.418
303.727,2061.808
304.249,2066.704
304.772,2069.819
305.295,2070.524
305.818,2069.833
306.340,2073.410
306.863,2081.661
307.386,2087.261
307.909,2091.785
308.431,2095.144
308.954,2097.107
309.477,2098.914
310.000,2103.843
310.522,2104.160
311.045,2106.966
311.568,2109.603
312.091,2111.725
312.614,2117.501
313.136,2125.493
313.659,2130.302
314.182,2133.891
314.705,2137.489
315.227,2145.047
315.750,2150.603
316.273,2152.938
316.796,2154.523
317.318,2159.603
317.841,2163.773
318.364,2172.763
318.887,2182.051
319.409,2185.326
319.932,2191.450
320.455,2202.384
320.978,2211.160
321.501,2218.167
322.023,2227.071
322.546,2234.906
323.069,2238.374
323.592,2242.495
324.114,2248.703
324.637,2254.239
325.160,2259.813
325.683,2266.584
326.205,2271.259
326.728,2276.271
327.251,2281.696
327.774,2287.264
328.296,2293.331
328.819,2297.640
329.342,2302.922
329.865,2304.921
330.388,2307.529
330.910,2311.031
331.433,2313.342
331.956,2315.112
332.479,2320.088
333.001,2322.553
333.524,2328.756
334.047,2331.939
334.570,2333.501
335.092,2338.619
335.615,2346.568
336.138,2355.065
336.661,2359.888
337.184,2365.498
337.706,2369.693
338.229,2372.458
338.752,2372.619
339.275,2374.148
339.797,2376.711
340.320,2382.583
340.843,2387.618
341.366,2391.623
341.888,2396.779
342.411,2401.150
342.934,2407.194
343.457,2410.550
343.979,2412.191
344.502,2408.616
345.025,2408.594
345.548,2411.229
346.070,2412.290
346.593,2411.076
347.116,2412.826
347.639,2412.139
348.162,2412.464
348.684,2412.354
349.207,2413.131
349.730,2417.162
350.253,2416.762
350.775,2419.666
351.298,2420.110
351.821,2419.207
352.344,2416.826
352.866,2417.475
353.389,2418.595
353.912,2417.944
354.435,2421.175
354.957,2424.546
355.480,2425.473
356.003,2426.103
356.526,2430.745
357.049,2434.026
357.571,2434.866
358.094,2435.958
358.617,2438.384
359.140,2441.100
359.662,2446.751
360.185,2450.094
360.708,2447.781
361.231,2450.498
361.753,2455.945
362.276,2456.931
362.799,2459.151
363.322,2463.870
363.845,2465.675
364.367,2467.368
364.890,2469.106
365.413,2473.985
365.936,2477.412
366.458,2480.784
366.981,2485.626
367.504,2488.809
368.027,2492.414
368.549,2497.978
369.072,2502.587
369.595,2504.431
370.118,2508.741
370.640,2514.579
371.163,2522.766
371.686,2530.630
372.209,2535.121
372.732,2537.685
373.254,2542.062
373.777,2546.680
374.300,2550.998
374.823,2554.152
375.345,2558.891
375.868,2562.024
376.391,2566.243
376.914,2570.192
377.436,2575.401
377.959,2578.627
378.482,2581.725
379.005,2586.059
379.527,2590.761
380.050,2594.877
380.573,2594.349
381.096,2595.388
381.619,2599.025
382.141,2599.229
382.664,2600.791
383.187,2604.956
