X,Y
0.00000,0.000
0.00529,0.000
0.01058,0.000
0.01587,0.000
0.02116,0.000
0.02646,0.000
0.03175,0.000
0.03704,0.000
0.04233,0.000
0.04762,0.000
0.05291,0.000
0.05820,0.000
0.06349,0.000
0.06878,0.000
0.07407,0.000
0.07937,0.000
0.08466,0.000
0.08995,0.000
0.09524,0.000
0.10053,0.000
0.10582,0.000
0.11111,0.000
0.11640,0.000
0.12169,0.000
0.12698,0.000
0.13228,0.000
0.13757,0.000
0.14286,0.000
0.14815,0.000
0.15344,0.000
0.15873,0.000
0.16402,0.000
0.16931,0.000
0.17460,0.000
0.17989,0.000
0.18519,0.000
0.19048,0.000
0.19577,0.000
0.20106,0.000
0.20635,0.000
0.21164,0.000
0.21693,0.000
0.22222,0.000
0.22751,0.000
0.23280,0.000
0.23810,0.000
0.24339,0.000
0.24868,0.000
0.25397,0.000
0.25926,0.000
0.26455,0.000
0.26984,0.000
0.27513,0.000
0.28042,0.000
0.28571,0.000
0.29101,0.000
0.29630,0.000
0.30159,0.000
0.30688,0.000
0.31217,0.000
0.31746,0.000
0.32275,0.000
0.32804,0.000
0.33333,0.000
0.33862,0.000
0.34392,0.000
0.34921,0.000
0.35450,0.000
0.35979,0.000
0.36508,0.000
0.37037,0.000
0.37566,0.000
0.38095,0.000
0.38624,0.002
0.39153,0.070
0.39683,0.396
0.40212,1.186
0.40741,4.493
0.41270,9.504
0.41799,14.835
0.42328,21.633
0.42857,27.823
0.43386,34.522
0.43915,42.751
0.44444,51.650
0.44974,62.658
0.45503,73.697
0.46032,84.641
0.46561,94.976
0.47090,105.069
0.47619,116.755
0.48148,129.325
0.48677,140.954
0.49206,153.820
0.49736,167.845
0.50265,182.007
0.50794,196.127
0.51323,211.582
0.51852,227.510
0.52381,245.774
0.52910,264.185
0.53439,284.039
0.53968,306.211
0.54497,329.966
0.55027,355.797
0.55556,384.131
0.56085,417.312
0.56614,453.364
0.57143,493.462
0.57672,538.666
0.58201,588.721
0.58730,645.617
0.59259,706.754
0.59788,775.502
0.60318,851.095
0.60847,930.968
0.61376,1015.059
0.61905,1102.937
0.62434,1190.845
0.62963,1281.493
0.63492,1372.935
0.64021,1462.252
0.64550,1552.437
0.65079,1642.861
0.65609,1732.924
0.66138,1820.196
0.66667,1905.850
0.67196,1988.706
0.67725,2068.162
0.68254,2146.270
0.68783,2222.848
0.69312,2298.142
0.69841,2372.190
0.70370,2445.727
0.70900,2519.083
0.71429,2589.310
0.71958,2655.070
0.72487,2718.518
0.73016,2777.937
0.73545,2836.852
0.74074,2896.023
0.74603,2954.902
0.75132,3012.927
0.75661,3070.443
0.76191,3125.609
0.76720,3177.473
0.77249,3227.981
0.77778,3272.273
0.78307,3315.332
0.78836,3356.684
0.79365,3398.611
0.79894,3441.107
0.80423,3481.269
0.80952,3521.384
0.81482,3559.625
0.82011,3597.239
0.82540,3636.377
0.83069,3681.279
0.83598,3722.192
0.84127,3759.045
0.84656,3791.367
0.85185,3824.263
0.85714,3857.688
0.86243,3887.040
0.86773,3909.544
0.87302,3932.390
0.87831,3955.015
0.88360,3979.094
0.88889,4005.311
0.89418,4034.476
0.89947,4064.950
0.90476,4096.494
0.91005,4128.385
0.91535,4161.032
0.92064,4193.651
0.92593,4229.919
0.93122,4264.670
0.93651,4298.457
0.94180,4327.642
0.94709,4356.307
0.95238,4383.709
0.95767,4407.761
0.96296,4430.101
0.96826,4449.106
0.97355,4468.435
0.97884,4485.427
0.98413,4507.526
0.98942,4528.135
0.99471,4548.555
1.00000,4566.958
1.00529,4585.768
1.01058,4608.838
1.01587,4629.798
1.02117,4649.677
1.02646,4666.304
1.03175,4684.651
1.03704,4702.693
1.04233,4720.245
1.04762,4734.833
1.05291,4748.461
1.05820,4761.893
1.06349,4773.510
1.06878,4789.998
1.07408,4802.982
1.07937,4814.654
1.08466,4825.196
1.08995,4834.888
1.09524,4844.040
1.10053,4847.568
1.10582,4856.434
1.11111,4862.514
1.11640,4870.197
1.12169,4873.936
1.12699,4877.238
1.13228,4881.986
1.13757,4886.168
1.14286,4893.887
1.14815,4897.351
1.15344,4902.557
1.15873,4904.479
1.16402,4909.356
1.16931,4911.271
1.17460,4913.945
1.17990,4916.550
1.18519,4922.002
1.19048,4923.892
1.19577,4927.570
1.20106,4934.958
1.20635,4945.730
1.21164,4955.216
1.21693,4965.844
1.22222,4978.068
1.22751,4994.212
1.23281,5005.359
1.23810,5014.417
1.24339,5024.232
