X,Y
0.000,0.000
0.523,0.000
1.046,0.000
1.568,0.000
2.091,0.000
2.614,0.000
3.137,0.000
3.659,0.000
4.182,0.000
4.705,0.000
5.228,0.000
5.750,0.000
6.273,0.000
6.796,0.000
7.319,0.000
7.841,0.000
8.364,0.000
8.887,0.000
9.410,0.000
9.933,0.000
10.455,0.000
10.978,0.000
11.501,0.000
12.024,0.000
12.546,0.000
13.069,0.000
13.592,0.000
14.115,0.000
14.637,0.000
15.160,0.000
15.683,0.000
16.206,0.000
16.728,0.000
17.251,0.000
17.774,0.000
18.297,0.000
18.820,0.000
19.342,0.000
19.865,0.000
20.388,0.000
20.911,0.000
21.433,0.000
21.956,0.000
22.479,0.000
23.002,0.000
23.524,0.000
24.047,0.000
24.570,0.000
25.093,0.000
25.615,0.000
26.138,0.000
26.661,0.000
27.184,0.000
27.707,0.000
28.229,0.000
28.752,0.000
29.275,0.000
29.798,0.000
30.320,0.000
30.843,0.000
31.366,0.000
31.889,0.000
32.411,0.000
32.934,0.000
33.457,0.000
33.980,0.000
34.502,0.000
35.025,0.000
35.548,0.000
36.071,0.000
36.594,0.000
37.116,0.000
37.639,0.000
38.162,0.000
38.685,0.000
39.207,0.000
39.730,0.000
40.253,0.000
40.776,0.000
41.298,0.000
41.821,0.000
42.344,0.000
42.867,0.000
43.390,0.000
43.912,0.000
44.435,0.000
44.958,0.000
45.481,0.000
46.003,19.385
46.526,97.882
47.049,201.066
47.572,311.338
48.094,402.027
48.617,483.177
49.140,551.036
49.663,616.321
50.185,667.072
50.708,715.654
51.231,756.660
51.754,795.539
52.277,832.378
52.799,871.560
53.322,905.318
53.845,938.155
54.368,969.317
54.890,1003.306
55.413,1030.939
55.936,1060.383
56.459,1085.644
56.981,1117.766
57.504,1146.044
58.027,1165.660
58.550,1177.836
59.072,1193.884
59.595,1213.990
60.118,1238.450
60.641,1261.981
61.164,1281.744
61.686,1300.686
62.209,1316.984
62.732,1334.385
63.255,1352.682
63.777,1375.482
64.300,1396.967
64.823,1414.384
65.346,1438.188
65.868,1465.363
66.391,1482.285
66.914,1496.690
67.437,1509.690
67.959,1530.625
68.482,1553.166
69.005,1570.083
69.528,1587.021
70.051,1604.494
70.573,1623.760
71.096,1641.776
71.619,1663.185
72.142,1681.536
72.664,1707.234
73.187,1722.530
73.710,1734.474
74.233,1748.497
74.755,1770.780
75.278,1792.412
75.801,1811.739
76.324,1826.449
76.846,1834.492
77.369,1836.642
77.892,1841.488
78.415,1855.284
78.938,1868.704
79.460,1884.979
79.983,1891.386
80.506,1895.680
81.029,1906.288
81.551,1915.352
82.074,1928.704
82.597,1940.547
83.120,1949.371
83.642,1963.392
84.165,1974.231
84.688,1986.781
85.211,2000.589
85.733,2013.536
86.256,2031.543
86.779,2046.830
87.302,2057.037
87.825,2063.098
88.347,2070.634
88.870,2076.403
89.393,2076.760
89.916,2086.002
90.438,2093.281
90.961,2106.290
91.484,2117.462
92.007,2133.764
92.529,2148.171
93.052,2160.019
93.575,2174.319
94.098,2191.449
94.620,2207.719
95.143,2226.577
95.666,2241.136
96.189,2259.234
96.712,2276.328
97.234,2288.728
97.757,2303.026
98.280,2311.715
98.803,2325.841
99.325,2340.195
99.848,2343.771
100.371,2351.101
100.894,2351.231
101.416,2347.708
101.939,2353.397
102.462,2357.382
102.985,2357.535
103.507,2357.238
104.030,2353.522
104.553,2354.732
105.076,2354.545
105.599,2352.364
106.121,2355.025
106.644,2361.758
107.167,2365.449
107.690,2367.882
108.212,2369.120
108.735,2370.297
109.258,2371.418
109.781,2380.754
110.303,2391.839
110.826,2397.330
111.349,2405.955
111.872,2412.895
112.394,2416.577
112.917,2417.174
113.440,2416.936
113.963,2413.903
114.486,2420.576
115.008,2427.804
115.531,2431.014
116.054,2424.011
116.577,2424.151
117.099,2420.630
117.622,2410.037
118.145,2399.014
118.668,2387.807
119.190,2381.300
119.713,2381.754
120.236,2372.095
120.759,2364.773
121.282,2352.211
121.804,2344.778
122.327,2340.137
122.850,2323.434
123.373,2309.890
123.895,2296.870
124.418,2287.124
124.941,2274.205
125.464,2274.903
125.986,2267.511
126.509,2254.233
127.032,2238.846
127.555,2226.638
128.077,2217.801
128.600,2208.264
129.123,2194.812
129.646,2181.655
130.169,2165.957
130.691,2156.073
131.214,2158.834
131.737,2162.348
132.260,2162.131
132.782,2158.355
133.305,2151.207
133.828,2144.744
134.351,2137.833
134.873,2136.267
135.396,2133.693
135.919,2119.509
136.442,2109.485
136.964,2098.029
137.487,2090.403
138.010,2081.610
138.533,2078.213
139.056,2075.214
139.578,2069.263
140.101,2060.112
140.624,2053.532
141.147,2039.509
141.669,2034.908
142.192,2023.962
142.715,2008.970
143.238,1996.198
143.760,1987.883
144.283,1981.918
144.806,1979.386
145.329,1961.355
145.851,1945.671
146.374,1933.060
146.897,1922.159
147.420,1916.727
147.943,1906.354
148.465,1897.832
148.988,1887.192
149.511,1875.728
150.034,1869.230
150.556,1854.336
151.079,1840.428
151.602,1828.156
152.125,1812.762
152.647,1800.557
153.170,1787.925
153.693,1778.136
154.216,1770.745
154.738,1761.069
155.261,1747.746
155.784,1739.011
156.307,1731.988
156.830,1726.868
157.352,1719.788
157.875,1708.839
158.398,1702.207
158.921,1688.768
159.443,1678.828
159.966,1669.347
160.489,1662.292
161.012,1656.159
161.534,1650.349
162.057,1636.288
162.580,1626.010
163.103,1613.377
163.625,1600.734
164.148,1585.352
164.671,1569.044
165.194,1554.627
165.717,1541.524
166.239,1529.829
166.762,1513.699
167.285,1500.381
167.808,1480.414
168.330,1463.172
168.853,1439.042
169.376,1416.202
169.899,1396.541
170.421,1382.865
170.944,1363.157
171.467,1335.299
171.990,1305.727
172.512,1286.206
173.035,1265.756
173.558,1242.719
174.081,1218.957
174.604,1194.613
175.126,1172.660
175.649,1150.040
176.172,1124.343
176.695,1095.025
177.217,1066.047
177.740,1034.054
178.263,998.284
178.786,960.150
179.308,920.041
179.831,876.381
180.354,831.469
180.877,781.788
181.399,732.354
181.922,673.999
182.445,606.314
182.968,537.018
183.491,452.774
184.013,369.060
184.536,270.655
185.059,164.114
185.582,69.893
186.104,5.040
186.627,0.000
187.150,0.000
187.673,0.000
188.195,0.000
188.718,0.000
189.241,0.000
189.764,0.000
190.286,0.000
190.809,0.000
191.332,0.000
191.855,0.000
192.378,0.000
192.900,0.000
193.423,0.000
193.946,0.000
194.469,0.000
194.991,0.000
195.514,0.000
196.037,0.000
196.560,0.000
197.082,0.000
197.605,0.000
198.128,0.000
198.651,0.000
199.174,0.000
199.696,0.000
200.219,0.000
200.742,0.000
201.265,0.000
201.787,0.000
202.310,0.000
202.833,0.000
203.356,0.000
203.878,0.000
204.401,0.000
204.924,0.000
205.447,0.000
205.969,0.000
206.492,0.000
207.015,0.000
207.538,0.000
208.061,0.000
208.583,0.000
209.106,0.000
209.629,0.000
210.152,0.000
210.674,0.000
211.197,0.000
211.720,0.000
212.243,0.000
212.765,0.000
213.288,0.000
213.811,0.000
214.334,0.000
214.856,0.000
215.379,0.000
215.902,0.000
216.425,0.000
216.948,0.000
217.470,0.000
217.993,0.000
218.516,0.000
219.039,0.000
219.561,0.000
220.084,0.000
220.607,0.000
221.130,0.000
221.652,0.000
222.175,0.000
222.698,0.000
223.221,0.000
223.743,0.000
224.266,0.000
224.789,0.000
225.312,0.000
225.835,0.000
226.357,0.000
226.880,0.000
227.403,0.000
227.926,0.000
228.448,0.000
228.971,0.000
229.494,0.000
230.017,0.000
230.539,0.000
231.062,0.000
231.585,0.000
232.108,0.000
232.630,0.000
233.153,0.000
233.676,0.000
234.199,0.000
234.722,0.000
235.244,0.000
235.767,0.000
236.290,0.000
