X,Y
0.00000,0.000
0.00529,0.000
0.01058,0.000
0.01587,0.000
0.02116,0.000
0.02646,0.000
0.03175,0.000
0.03704,0.000
0.04233,0.000
0.04762,0.000
0.05291,0.000
0.05820,0.000
0.06349,0.000
0.06878,0.000
0.07407,0.000
0.07937,0.000
0.08466,0.000
0.08995,0.000
0.09524,0.000
0.10053,0.000
0.10582,0.000
0.11111,0.000
0.11640,0.000
0.12169,0.015
0.12698,0.433
0.13228,0.455
0.13757,0.073
0.14286,0.000
0.14815,0.000
0.15344,0.000
0.15873,0.000
0.16402,0.000
0.16931,0.000
0.17460,0.000
0.17989,0.000
0.18519,0.000
0.19048,0.000
0.19577,0.000
0.20106,0.000
0.20635,0.000
0.21164,0.000
0.21693,0.000
0.22222,0.000
0.22751,0.000
0.23280,0.000
0.23810,0.000
0.24339,0.000
0.24868,0.000
0.25397,0.000
0.25926,0.000
0.26455,0.000
0.26984,0.000
0.27513,0.000
0.28042,0.000
0.28571,0.000
0.29101,0.000
0.29630,0.005
0.30159,0.098
0.30688,0.600
0.31217,1.914
0.31746,5.134
0.32275,11.138
0.32804,20.022
0.33333,31.137
0.33862,41.661
0.34392,54.688
0.34921,70.183
0.35450,86.512
0.35979,102.974
0.36508,120.029
0.37037,139.010
0.37566,161.957
0.38095,188.806
0.38624,218.882
0.39153,250.250
0.39683,278.913
0.40212,306.123
0.40741,331.126
0.41270,355.268
0.41799,378.941
0.42328,401.701
0.42857,423.193
0.43386,441.800
0.43915,458.766
0.44444,475.946
0.44974,492.062
0.45503,509.153
0.46032,525.611
0.46561,542.016
0.47090,560.896
0.47619,578.807
0.48148,595.265
0.48677,611.213
0.49206,627.519
0.49736,645.849
0.50265,662.985
0.50794,678.313
0.51323,692.174
0.51852,705.638
0.52381,721.380
0.52910,736.315
0.53439,751.770
0.53968,767.132
0.54497,781.712
0.55027,795.952
0.55556,809.184
0.56085,821.782
0.56614,834.042
0.57143,845.930
0.57672,855.576
0.58201,864.343
0.58730,873.779
0.59259,880.959
0.59788,889.228
0.60318,897.885
0.60847,905.724
0.61376,914.131
0.61905,924.669
0.62434,935.771
0.62963,946.758
0.63492,958.012
0.64021,970.522
0.64550,975.964
0.65079,982.712
0.65609,990.878
0.66138,998.481
0.66667,1005.368
0.67196,1013.083
0.67725,1021.092
0.68254,1030.936
0.68783,1040.821
0.69312,1051.372
0.69841,1061.129
0.70370,1072.046
0.70900,1082.081
0.71429,1090.715
0.71958,1097.835
0.72487,1101.192
0.73016,1106.637
0.73545,1111.892
0.74074,1117.762
0.74603,1124.179
0.75132,1127.995
0.75661,1129.472
0.76191,1131.161
0.76720,1135.008
0.77249,1137.332
0.77778,1137.758
0.78307,1137.103
0.78836,1140.111
0.79365,1145.300
0.79894,1151.497
0.80423,1158.483
0.80952,1164.528
0.81482,1168.030
0.82011,1169.456
0.82540,1172.496
0.83069,1179.271
0.83598,1184.543
0.84127,1186.734
0.84656,1187.489
0.85185,1188.527
0.85714,1187.809
0.86243,1186.613
0.86773,1184.620
0.87302,1182.308
0.87831,1180.947
0.88360,1179.789
0.88889,1176.664
0.89418,1172.151
0.89947,1167.436
0.90476,1159.965
0.91005,1150.554
0.91535,1143.475
0.92064,1138.841
0.92593,1133.858
0.93122,1128.566
0.93651,1121.297
0.94180,1114.809
0.94709,1110.267
0.95238,1104.514
0.95767,1097.430
0.96296,1091.719
0.96826,1086.700
0.97355,1081.378
0.97884,1077.722
0.98413,1073.164
0.98942,1067.524
0.99471,1063.887
1.00000,1059.343
1.00529,1054.642
1.01058,1050.966
1.01587,1045.376
1.02117,1038.805
1.02646,1032.365
1.03175,1027.801
1.03704,1024.591
1.04233,1021.576
1.04762,1017.755
1.05291,1013.061
1.05820,1009.466
1.06349,1008.004
1.06878,1005.522
1.07408,1001.295
1.07937,998.691
1.08466,995.453
1.08995,992.350
1.09524,988.386
1.10053,981.920
1.10582,974.830
1.11111,968.398
1.11640,960.156
1.12169,950.826
1.12699,942.211
1.13228,934.216
1.13757,924.388
1.14286,916.351
1.14815,909.551
1.15344,903.641
1.15873,899.483
1.16402,896.074
1.16931,892.322
1.17460,888.060
1.17990,882.031
1.18519,875.431
1.19048,868.134
1.19577,860.978
1.20106,855.239
1.20635,850.325
1.21164,843.048
1.21693,835.353
1.22222,827.447
1.22751,819.478
1.23281,811.808
1.23810,804.140
1.24339,796.370
1.24868,787.891
1.25397,777.737
1.25926,765.573
1.26455,753.325
