X,Y
0.000,0.000
0.523,0.000
1.046,0.000
1.568,0.000
2.091,0.000
2.614,0.000
3.137,0.000
3.659,0.000
4.182,0.000
4.705,0.000
5.228,0.000
5.750,0.000
6.273,0.000
6.796,0.000
7.319,0.000
7.841,0.000
8.364,0.000
8.887,0.000
9.410,0.000
9.933,0.000
10.455,0.000
10.978,0.000
11.501,0.000
12.024,0.000
12.546,0.000
13.069,0.000
13.592,0.000
14.115,0.000
14.637,0.000
15.160,0.000
15.683,0.000
16.206,0.000
16.728,0.000
17.251,0.000
17.774,0.000
18.297,0.000
18.820,0.000
19.342,0.000
19.865,0.000
20.388,0.000
20.911,0.000
21.433,0.000
21.956,0.000
22.479,0.000
23.002,0.000
23.524,0.000
24.047,0.000
24.570,0.000
25.093,0.000
25.615,0.000
26.138,0.000
26.661,0.000
27.184,0.000
27.707,0.000
28.229,0.000
28.752,0.000
29.275,0.000
29.798,0.000
30.320,0.000
30.843,0.000
31.366,0.000
31.889,0.000
32.411,0.000
32.934,0.000
33.457,0.000
33.980,0.000
34.502,0.000
35.025,0.000
35.548,0.000
36.071,0.000
36.594,0.000
37.116,0.000
37.639,0.000
38.162,0.000
38.685,0.000
39.207,0.000
39.730,0.000
40.253,0.000
40.776,0.000
41.298,0.000
41.821,0.000
42.344,0.000
42.867,0.000
43.390,0.000
43.912,0.000
44.435,4.929
44.958,183.695
45.481,505.850
46.003,827.800
46.526,1109.930
47.049,1398.709
47.572,1608.740
48.094,1747.950
48.617,1852.942
49.140,1930.260
49.663,1994.599
50.185,2035.545
50.708,2069.021
51.231,2075.403
51.754,2092.956
52.277,2104.888
52.799,2110.425
53.322,2117.217
53.845,2124.971
54.368,2128.415
54.890,2136.529
55.413,2162.082
55.936,2171.419
56.459,2179.875
56.981,2170.436
57.504,2172.612
58.027,2182.749
58.550,2189.372
59.072,2183.260
59.595,2172.007
60.118,2158.878
60.641,2156.427
61.164,2152.089
61.686,2139.910
62.209,2124.315
62.732,2125.312
63.255,2124.412
63.777,2126.754
64.300,2125.663
64.823,2124.267
65.346,2132.530
65.868,2136.627
66.391,2129.144
66.914,2122.567
67.437,2109.697
67.959,2095.353
68.482,2081.793
69.005,2083.471
69.528,2074.232
70.051,2066.881
70.573,2064.934
71.096,2074.578
71.619,2070.797
72.142,2073.315
72.664,2078.083
73.187,2087.006
73.710,2090.185
74.233,2105.295
74.755,2111.247
75.278,2133.234
75.801,2140.010
76.324,2150.573
76.846,2164.031
77.369,2180.543
77.892,2196.479
78.415,2192.308
78.938,2181.388
79.460,2187.012
79.983,2198.826
80.506,2202.133
81.029,2223.813
81.551,2241.985
82.074,2253.428
82.597,2272.732
83.120,2290.875
83.642,2313.909
84.165,2326.051
84.688,2331.857
85.211,2329.908
85.733,2331.603
86.256,2336.253
86.779,2346.865
87.302,2365.306
87.825,2392.027
88.347,2421.534
88.870,2441.455
89.393,2435.817
89.916,2445.486
90.438,2445.229
90.961,2448.749
91.484,2464.160
92.007,2471.495
92.529,2463.499
93.052,2454.614
93.575,2439.560
94.098,2419.389
94.620,2400.418
95.143,2396.626
95.666,2395.371
96.189,2361.711
96.712,2340.778
97.234,2333.510
97.757,2325.470
98.280,2297.748
98.803,2279.655
99.325,2265.496
99.848,2248.406
100.371,2233.461
100.894,2229.865
101.416,2230.439
101.939,2228.450
102.462,2220.626
102.985,2231.451
103.507,2245.318
104.030,2257.614
104.553,2268.211
105.076,2286.681
105.599,2291.879
106.121,2296.226
106.644,2326.922
107.167,2353.446
107.690,2377.974
108.212,2398.483
108.735,2412.279
109.258,2423.147
109.781,2424.838
110.303,2430.010
110.826,2447.184
111.349,2490.291
111.872,2524.386
112.394,2537.357
112.917,2536.469
113.440,2532.216
113.963,2545.196
114.486,2559.621
115.008,2588.688
115.531,2610.970
116.054,2629.156
116.577,2658.966
117.099,2675.907
117.622,2678.842
118.145,2678.002
118.668,2691.340
119.190,2686.928
119.713,2683.871
120.236,2701.495
120.759,2696.932
121.282,2678.658
121.804,2666.244
122.327,2664.477
122.850,2665.741
123.373,2654.822
123.895,2644.093
124.418,2645.316
124.941,2614.733
125.464,2595.937
125.986,2572.159
126.509,2555.268
127.032,2540.963
127.555,2513.203
128.077,2484.033
128.600,2445.374
129.123,2422.521
129.646,2412.429
130.169,2396.487
130.691,2372.494
131.214,2351.396
131.737,2323.224
132.260,2309.486
132.782,2298.940
133.305,2270.640
133.828,2239.570
134.351,2224.885
134.873,2204.439
135.396,2201.628
135.919,2195.785
136.442,2200.377
136.964,2184.471
137.487,2159.479
138.010,2147.983
138.533,2149.958
139.056,2132.398
139.578,2126.928
140.101,2127.639
140.624,2130.469
141.147,2112.997
141.669,2105.323
142.192,2100.121
142.715,2092.407
143.238,2085.564
143.760,2091.729
144.283,2107.030
144.806,2117.196
145.329,2112.869
145.851,2100.225
146.374,2105.766
146.897,2107.226
147.420,2102.684
147.943,2118.114
148.465,2121.848
148.988,2120.038
149.511,2124.322
150.034,2133.206
150.556,2126.037
151.079,2125.418
151.602,2137.905
152.125,2134.900
152.647,2129.261
153.170,2135.728
153.693,2149.264
154.216,2130.675
154.738,2115.370
155.261,2121.629
155.784,2113.646
156.307,2126.442
156.830,2130.213
157.352,2125.308
157.875,2128.169
158.398,2123.144
158.921,2109.659
159.443,2110.332
159.966,2100.711
160.489,2099.224
161.012,2101.885
161.534,2108.617
162.057,2105.099
162.580,2100.748
163.103,2097.591
163.625,2088.865
164.148,2093.123
164.671,2089.324
165.194,2102.728
165.717,2099.778
166.239,2078.349
166.762,2072.009
167.285,2071.900
167.808,2065.538
168.330,2078.542
168.853,2088.078
169.376,2091.514
169.899,2085.254
170.421,2081.191
170.944,2086.520
171.467,2081.800
171.990,2074.667
172.512,2071.942
173.035,2078.901
173.558,2078.360
174.081,2081.063
174.604,2082.647
175.126,2077.593
175.649,2073.156
176.172,2072.713
176.695,2068.365
177.217,2067.459
177.740,2070.137
178.263,2066.810
178.786,2046.073
179.308,2035.605
179.831,2040.825
180.354,2045.322
180.877,2028.866
181.399,2023.296
181.922,2026.526
182.445,2024.831
182.968,2029.419
183.491,2031.675
184.013,2030.719
184.536,2037.574
185.059,2034.143
185.582,2031.081
186.104,2025.303
186.627,2031.263
187.150,2029.342
187.673,2018.157
188.195,2008.462
188.718,2000.843
189.241,2011.132
189.764,2023.547
190.286,2032.439
190.809,2022.212
191.332,2019.750
191.855,2011.370
192.378,2005.693
192.900,2001.320
193.423,2008.735
193.946,2013.073
194.469,2013.075
194.991,2010.607
195.514,2009.144
196.037,1990.872
196.560,1993.556
197.082,2005.329
197.605,2003.321
198.128,2002.258
198.651,2009.665
199.174,1998.397
199.696,1991.298
200.219,1981.764
200.742,1981.564
201.265,1983.991
201.787,1998.116
202.310,2012.771
202.833,2034.796
203.356,2035.985
203.878,2037.451
204.401,2049.203
204.924,2059.549
205.447,2060.462
205.969,2057.977
206.492,2060.607
207.015,2061.435
207.538,2068.410
208.061,2078.278
208.583,2074.260
209.106,2073.250
209.629,2091.373
210.152,2095.268
210.674,2101.451
211.197,2103.697
211.720,2102.341
212.243,2100.748
212.765,2092.433
213.288,2088.693
213.811,2089.424
214.334,2089.727
214.856,2085.548
215.379,2092.774
215.902,2086.806
216.425,2060.250
216.948,2056.509
217.470,2051.666
217.993,2050.396
218.516,2052.393
219.039,2061.125
219.561,2067.684
220.084,2067.226
220.607,2059.649
221.130,2040.397
221.652,2036.887
222.175,2042.725
222.698,2036.499
223.221,2024.384
223.743,2024.804
224.266,2016.456
224.789,2006.789
225.312,1997.644
225.835,1978.697
226.357,1972.696
226.880,1965.906
227.403,1969.160
227.926,1980.871
228.448,1979.624
228.971,1982.486
229.494,1990.768
230.017,1994.520
230.539,1978.678
231.062,1968.700
231.585,1966.577
232.108,1978.775
232.630,1981.334
233.153,1972.583
233.676,1986.177
234.199,1976.851
234.722,1972.194
235.244,1956.725
235.767,1936.897
236.290,1926.266
236.813,1916.054
237.335,1908.173
237.858,1909.390
238.381,1923.325
238.904,1931.832
239.426,1919.951
239.949,1911.003
240.472,1910.707
240.995,1914.002
241.517,1923.550
242.040,1943.640
242.563,1940.473
243.086,1929.913
243.609,1932.316
244.131,1939.816
244.654,1953.783
245.177,1952.965
245.700,1949.471
246.222,1947.677
246.745,1960.299
247.268,1965.459
247.791,1971.431
248.313,1984.794
248.836,1993.971
249.359,2002.624
249.882,2014.063
250.404,2021.382
250.927,2030.701
251.450,2037.600
251.973,2041.494
252.496,2046.087
253.018,2046.964
253.541,2058.757
254.064,2081.081
254.587,2079.520
255.109,2080.453
255.632,2085.157
256.155,2105.551
256.678,2126.625
257.200,2156.918
257.723,2193.702
258.246,2220.112
258.769,2233.806
259.292,2228.517
259.814,2232.675
260.337,2247.107
260.860,2259.241
261.383,2280.479
261.905,2268.781
262.428,2274.107
262.951,2285.429
263.474,2280.009
263.996,2266.185
264.519,2262.383
265.042,2262.094
265.565,2262.030
266.087,2241.933
266.610,2223.558
267.133,2226.810
267.656,2223.924
268.178,2209.604
268.701,2198.498
269.224,2201.150
269.747,2211.690
270.270,2212.980
270.792,2206.553
271.315,2192.311
271.838,2185.318
272.361,2176.714
272.883,2179.110
273.406,2167.600
273.929,2154.618
274.452,2147.508
274.974,2148.406
275.497,2147.282
276.020,2142.353
276.543,2136.947
277.065,2144.971
277.588,2138.883
278.111,2122.534
278.634,2109.462
279.157,2087.267
279.679,2061.124
280.202,2066.044
280.725,2098.554
281.248,2105.437
281.770,2120.039
282.293,2127.978
282.816,2124.666
283.339,2115.967
283.861,2113.782
284.384,2107.701
284.907,2107.151
285.430,2097.803
285.953,2090.767
286.475,2097.675
286.998,2092.736
287.521,2090.585
288.044,2069.996
288.566,2070.988
289.089,2084.344
289.612,2087.112
290.135,2067.720
290.657,2055.216
291.180,2062.653
291.703,2061.499
292.226,2057.626
292.748,2046.355
293.271,2029.221
293.794,2009.406
294.317,1996.393
294.840,1994.491
295.362,2001.221
295.885,1996.152
296.408,1991.812
296.931,1987.309
297.453,1985.510
297.976,1985.431
298.499,1984.214
299.022,1977.703
299.544,1976.317
300.067,1978.983
300.590,1982.172
301.113,1986.055
301.635,1974.760
302.158,1962.825
302.681,1962.619
303.204,1961.954
303.727,1957.727
304.249,1963.857
304.772,1973.031
305.295,1962.151
305.818,1953.834
306.340,1950.688
306.863,1957.193
307.386,1956.731
307.909,1969.128
308.431,1976.701
308.954,1974.023
309.477,1980.341
310.000,1989.085
310.522,1989.115
311.045,2006.339
311.568,1992.150
312.091,2007.091
312.614,2027.793
313.136,2020.784
313.659,2010.391
314.182,2005.690
314.705,2004.670
315.227,2011.098
315.750,2005.745
316.273,2018.005
316.796,2029.536
317.318,2026.340
317.841,2016.386
318.364,2013.966
318.887,2016.709
319.409,2025.098
319.932,2039.614
320.455,2041.983
320.978,2026.320
321.501,2015.318
322.023,2019.473
322.546,2027.609
323.069,2031.947
323.592,2034.729
324.114,2043.708
324.637,2055.845
325.160,2071.337
325.683,2076.819
326.205,2086.788
326.728,2086.594
327.251,2081.095
327.774,2084.558
328.296,2082.273
328.819,2074.109
329.342,2062.219
329.865,2051.975
330.388,2047.765
330.910,2035.870
331.433,2037.549
331.956,2041.248
332.479,2048.275
333.001,2033.032
333.524,2027.641
334.047,2028.089
334.570,2037.312
335.092,2044.670
335.615,2041.526
336.138,2033.146
336.661,2032.270
337.184,2037.815
337.706,2031.595
338.229,2025.282
338.752,2036.582
339.275,2026.076
339.797,2015.035
340.320,2017.360
340.843,2023.038
341.366,2044.390
341.888,2064.279
342.411,2074.970
342.934,2084.413
343.457,2087.082
343.979,2091.997
344.502,2100.976
345.025,2110.729
345.548,2134.376
346.070,2139.381
346.593,2147.607
347.116,2164.579
347.639,2180.623
348.162,2203.035
348.684,2223.789
349.207,2234.328
349.730,2235.577
350.253,2244.433
350.775,2259.991
351.298,2268.380
351.821,2277.739
352.344,2290.283
352.866,2288.540
353.389,2278.241
353.912,2275.591
354.435,2274.565
354.957,2251.853
355.480,2237.060
356.003,2229.146
356.526,2211.151
357.049,2191.531
357.571,2186.776
358.094,2183.331
358.617,2162.666
359.140,2149.436
359.662,2143.514
360.185,2130.438
360.708,2112.525
361.231,2092.262
361.753,2073.199
362.276,2069.212
362.799,2077.205
363.322,2075.247
363.845,2071.121
364.367,2057.937
364.890,2035.453
365.413,2027.837
365.936,2019.672
366.458,2009.597
366.981,2008.933
367.504,2009.453
