X,Y
0.00000,0.000
0.00529,0.000
0.01058,0.000
0.01587,0.000
0.02116,0.000
0.02646,0.000
0.03175,0.000
0.03704,0.000
0.04233,0.000
0.04762,0.000
0.05291,0.000
0.05820,0.000
0.06349,0.000
0.06878,0.000
0.07407,0.000
0.07937,0.000
0.08466,0.000
0.08995,0.000
0.09524,0.000
0.10053,0.000
0.10582,0.000
0.11111,0.000
0.11640,0.000
0.12169,0.000
0.12698,0.000
0.13228,0.000
0.13757,0.000
0.14286,0.000
0.14815,0.000
0.15344,0.003
0.15873,0.351
0.16402,0.441
0.16931,0.059
0.17460,0.000
0.17989,0.000
0.18519,0.000
0.19048,0.000
0.19577,0.000
0.20106,0.000
0.20635,0.000
0.21164,0.000
0.21693,0.000
0.22222,0.000
0.22751,0.000
0.23280,0.000
0.23810,0.000
0.24339,0.000
0.24868,0.000
0.25397,0.000
0.25926,0.002
0.26455,0.138
0.26984,1.445
0.27513,3.561
0.28042,5.443
0.28571,7.253
0.29101,10.346
0.29630,12.408
0.30159,14.427
0.30688,18.136
0.31217,21.499
0.31746,24.624
0.32275,28.394
0.32804,32.922
0.33333,36.426
0.33862,40.349
0.34392,45.283
0.34921,49.843
0.35450,54.545
0.35979,60.518
0.36508,66.691
0.37037,72.745
0.37566,78.763
0.38095,85.567
0.38624,93.048
0.39153,100.873
0.39683,108.456
0.40212,115.390
0.40741,124.532
0.41270,135.262
0.41799,147.185
0.42328,158.027
0.42857,168.639
0.43386,181.811
0.43915,195.340
0.44444,211.146
0.44974,227.262
0.45503,245.565
0.46032,266.346
0.46561,289.247
0.47090,313.239
0.47619,337.763
0.48148,365.175
0.48677,394.177
0.49206,426.899
0.49736,461.938
0.50265,499.595
0.50794,538.093
0.51323,577.317
0.51852,615.537
0.52381,653.214
0.52910,689.869
0.53439,723.883
0.53968,755.834
0.54497,785.415
0.55027,811.118
0.55556,833.711
0.56085,853.248
0.56614,871.950
0.57143,888.629
0.57672,904.457
0.58201,917.028
0.58730,927.112
0.59259,935.776
0.59788,942.409
0.60318,946.200
0.60847,948.753
0.61376,949.738
0.61905,949.067
0.62434,946.682
0.62963,940.814
0.63492,932.465
0.64021,924.677
0.64550,915.805
0.65079,905.379
0.65609,892.656
0.66138,879.885
0.66667,864.518
0.67196,845.870
0.67725,828.424
0.68254,811.317
0.68783,793.569
0.69312,776.757
0.69841,760.005
0.70370,743.021
0.70900,726.717
0.71429,709.552
0.71958,695.277
0.72487,681.314
0.73016,668.587
0.73545,656.491
0.74074,644.704
0.74603,633.448
0.75132,621.932
0.75661,609.947
0.76191,599.644
0.76720,588.878
0.77249,578.580
0.77778,567.837
0.78307,558.810
0.78836,550.074
0.79365,540.909
0.79894,533.450
0.80423,525.540
0.80952,517.101
0.81482,509.128
0.82011,501.616
0.82540,494.016
0.83069,487.223
0.83598,481.043
0.84127,473.765
0.84656,466.222
0.85185,458.032
0.85714,450.168
0.86243,443.395
0.86773,436.810
0.87302,431.126
0.87831,425.764
0.88360,421.302
0.88889,416.868
0.89418,413.249
0.89947,410.400
0.90476,408.462
0.91005,406.246
0.91535,404.197
0.92064,403.188
0.92593,402.239
0.93122,401.370
0.93651,399.417
0.94180,397.851
0.94709,396.624
0.95238,395.005
0.95767,393.313
0.96296,392.316
0.96826,390.281
0.97355,388.345
0.97884,385.690
0.98413,382.448
0.98942,380.187
0.99471,378.223
1.00000,375.776
1.00529,373.034
1.01058,369.680
1.01587,366.076
1.02117,362.704
1.02646,359.183
1.03175,356.161
1.03704,352.669
1.04233,348.540
1.04762,344.189
1.05291,340.345
1.05820,336.998
1.06349,334.517
1.06878,332.260
1.07408,330.382
1.07937,329.158
1.08466,328.170
1.08995,326.893
1.09524,325.098
1.10053,323.197
1.10582,321.695
1.11111,319.699
1.11640,317.457
1.12169,316.010
1.12699,314.730
1.13228,314.808
1.13757,314.954
1.14286,315.124
1.14815,315.221
1.15344,315.368
1.15873,316.314
1.16402,316.680
1.16931,317.875
1.17460,319.106
1.17990,319.979
1.18519,320.490
1.19048,321.069
1.19577,321.223
1.20106,322.014
1.20635,322.822
1.21164,324.459
1.21693,326.379
1.22222,328.535
1.22751,330.323
1.23281,331.868
1.23810,333.688
1.24339,335.480
1.24868,337.526
1.25397,339.917
1.25926,342.042
1.26455,343.277
1.26984,343.077
1.27513,341.910
1.28042,341.311
1.28572,340.523
1.29101,339.559
1.29630,338.237
1.30159,337.306
1.30688,336.594
1.31217,335.923
