X,Y
-5.070,2479.255
-4.972,2696.758
-4.875,2703.062
-4.777,2981.175
-4.680,3122.648
-4.582,3444.397
-4.485,3704.364
-4.387,3737.208
-4.290,3980.515
-4.192,4316.199
-4.095,4519.119
-3.997,4938.260
-3.900,5542.924
-3.802,6123.351
-3.705,6349.234
-3.607,6543.492
-3.510,6742.545
-3.412,7313.967
-3.315,7895.440
-3.217,8226.382
-3.120,8925.313
-3.022,9629.574
-2.925,10259.360
-2.827,11315.890
-2.730,12527.370
-2.632,13963.970
-2.535,15167.840
-2.437,16962.279
-2.340,19212.721
-2.242,21709.080
-2.145,24912.600
-2.047,28768.850
-1.950,33964.961
-1.852,40142.398
-1.755,48256.531
-1.657,59784.988
-1.560,75405.656
-1.462,97134.969
-1.365,127034.602
-1.267,168324.094
-1.170,225324.703
-1.072,305929.906
-0.975,417461.188
-0.877,564121.375
-0.780,757000.812
-0.682,1002696.000
-0.585,1289209.000
-0.487,1579648.000
-0.390,1820202.000
-0.292,1976800.000
-0.195,2064542.000
-0.097,1960443.000
0.000,1693812.000
0.097,1345723.000
0.195,1031106.000
0.292,772360.625
0.390,575753.500
0.487,430302.594
0.585,321923.094
0.682,243710.797
0.780,186732.797
0.877,142843.094
0.975,111674.203
1.072,88754.930
1.170,72206.094
1.267,60142.410
1.365,51043.691
1.462,44059.879
1.560,38200.180
1.657,33787.211
1.755,30723.551
1.852,28147.189
1.950,25843.000
2.047,23571.750
2.145,22047.859
2.242,21047.660
2.340,20021.990
2.437,19103.141
2.535,18332.029
2.632,17712.859
2.730,16863.580
2.827,16274.070
2.925,15473.190
3.022,15067.250
3.120,14867.040
3.217,14498.960
3.315,13888.500
3.412,13672.670
3.510,13394.320
3.607,12679.960
3.705,12610.920
3.802,12453.970
3.900,12147.990
3.997,11972.850
4.095,11712.350
4.192,11560.070
4.290,11401.090
4.387,10811.510
4.485,10446.760
4.582,10574.690
4.680,10595.120
4.777,10426.510
4.875,10233.700
4.972,10022.260
5.070,9889.352
5.167,9788.180
5.265,9734.747
5.362,9783.639
5.460,10011.830
5.557,9929.470
5.655,9589.361
5.752,9742.754
5.850,9798.414
5.947,9663.961
6.045,9663.471
6.142,9734.819
6.240,9868.750
6.337,9937.137
6.435,9852.612
6.532,9787.479
6.630,9924.790
6.727,9985.107
6.825,9836.136
6.922,10025.670
7.020,10275.270
7.117,10089.390
7.215,9961.610
7.312,10161.630
7.410,10279.980
7.507,10498.370
7.605,10080.490
7.702,9896.287
7.800,10063.440
7.897,10243.350
7.995,10216.500
8.092,10386.400
8.190,10237.800
8.287,10290.870
8.385,10391.220
8.482,10400.940
8.580,10458.250
8.677,10507.990
8.775,10410.490
8.872,10285.250
8.970,10348.570
9.067,10323.260
9.165,10280.550
9.262,10201.040
9.360,10394.570
9.457,10330.660
9.555,10255.200
9.652,10191.370
9.750,10313.460
9.847,10328.170
9.945,10495.380
10.042,10656.980
10.140,10740.940
10.237,10501.630
10.335,10570.660
10.432,10633.950
10.530,10522.350
10.627,10540.790
10.725,10612.990
10.822,10691.250
10.920,10783.820
11.017,10907.700
11.115,10919.410
11.212,10848.780
11.310,10874.250
11.407,10823.060
11.505,10885.930
11.602,11288.870
11.700,11584.530
11.797,11702.640
11.895,11851.660
11.992,12013.750
12.090,12189.370
12.187,12399.030
12.285,12599.080
12.382,12809.070
12.480,13051.930
12.577,13290.450
12.675,13514.570
12.772,13715.030
12.870,14016.950
12.967,14327.050
13.065,14584.940
13.162,14852.350
13.260,15205.200
13.357,15587.320
13.455,15921.800
13.552,16223.160
13.650,16547.070
13.747,16828.721
13.845,17089.471
13.942,17372.150
14.040,17634.240
14.137,17886.789
14.235,18252.770
14.332,18391.381
14.430,18475.699
14.527,18791.750
14.625,19140.211
14.722,19275.449
14.820,19331.311
14.917,19517.859
15.015,19662.301
15.112,19751.699
15.210,19765.699
15.307,19832.100
15.405,20018.930
15.502,20147.029
15.600,20296.240
15.697,20456.900
15.795,20515.711
15.892,20535.920
15.990,20488.641
16.087,20496.289
16.185,20480.619
16.282,20501.350
16.380,20412.711
16.477,20235.699
16.575,20254.760
16.672,20276.490
16.770,20172.340
16.867,20014.039
16.965,19798.119
17.062,19625.699
17.160,19488.689
17.257,19372.199
17.355,19226.990
17.452,19015.289
17.550,18766.211
17.647,18531.529
17.745,18342.990
17.842,18193.119
17.940,18058.561
18.037,17866.330
18.135,17680.359
18.232,17592.090
18.330,17501.500
18.427,17355.869
18.525,17189.990
18.622,17069.689
18.720,16957.119
18.817,16794.789
18.915,16656.279
19.012,16649.250
19.110,16558.740
19.207,16439.260
19.305,16345.650
19.402,16284.940
19.500,16224.090
19.597,16166.930
19.694,16135.260
19.792,16122.300
19.889,16065.640
19.987,16019.590
20.084,15969.560
20.182,15912.420
20.279,15887.580
20.377,15853.420
20.474,15792.620
20.572,15719.790
20.669,15695.580
20.767,15657.630
20.864,15632.460
20.962,15620.940
21.059,15513.930
21.157,15463.780
21.254,15496.100
21.352,15487.230
21.449,15476.780
21.547,15447.680
21.644,15406.130
21.742,15383.420
21.839,15378.000
21.937,15329.770
22.034,15288.180
22.132,15258.180
22.229,15228.810
22.327,15169.260
22.424,15155.680
22.522,15106.470
22.619,15082.630
22.717,15034.010
22.814,14995.640
22.912,14923.920
23.009,14859.290
23.107,14818.230
23.204,14772.950
23.302,14778.620
23.399,14743.250
23.497,14696.020
23.594,14610.950
23.692,14572.780
23.789,14530.270
23.887,14513.210
23.984,14448.600
24.082,14366.430
24.179,14288.890
24.277,14256.450
24.374,14203.590
24.472,14130.490
24.569,14102.590
24.667,13980.000
24.764,13840.290
24.862,13756.950
24.959,13704.260
25.057,13692.960
25.154,13663.420
25.252,13586.590
25.349,13491.260
25.447,13400.680
25.544,13319.920
25.642,13175.250
25.739,13069.000
25.837,13013.220
25.934,12959.640
26.032,12909.060
26.129,12772.640
26.227,12662.260
26.324,12596.320
26.422,12547.910
26.519,12427.460
26.617,12333.580
26.714,12279.260
26.812,12202.980
26.909,12074.620
27.007,11964.850
27.104,11847.090
27.202,11784.190
27.299,11707.330
27.397,11594.900
27.494,11493.590
27.592,11443.780
27.689,11401.970
27.787,11275.910
27.884,11139.230
27.982,11080.570
28.079,10999.890
28.177,10901.350
28.274,10847.880
28.372,10768.490
28.469,10718.410
28.567,10633.410
28.664,10544.030
28.762,10485.440
28.859,10436.340
28.957,10378.760
29.054,10291.660
29.152,10219.660
29.249,10166.660
29.347,10120.910
29.444,10042.630
29.542,9954.461
29.639,9906.740
29.737,9847.140
29.834,9763.959
29.932,9737.001
30.029,9685.872
30.127,9614.944
30.224,9591.789
30.322,9551.013
30.419,9484.480
30.517,9413.906
30.614,9338.886
30.712,9289.031
30.809,9218.060
30.907,9169.433
31.004,9156.632
31.102,9099.866
31.199,9011.470
31.297,8965.319
31.394,8921.917
31.492,8890.938
31.589,8852.550
31.687,8831.888
31.784,8796.155
31.882,8749.122
31.979,8705.055
32.077,8682.110
32.174,8636.075
32.272,8567.918
32.369,8547.639
32.467,8521.549
32.564,8477.229
32.662,8443.311
32.759,8389.083
32.857,8356.740
32.954,8325.392
33.052,8272.164
33.149,8228.683
33.247,8210.480
33.344,8147.893
33.442,8090.368
33.539,8055.920
33.637,8028.974
33.734,7974.843
33.832,7900.180
33.929,7855.437
34.027,7806.477
34.124,7743.102
34.222,7696.827
34.319,7672.765
34.417,7635.510
34.514,7605.515
34.612,7587.788
34.709,7557.051
34.807,7492.484
34.904,7457.510
35.002,7395.947
35.099,7354.708
35.197,7311.578
35.294,7250.231
35.392,7187.834
35.489,7146.854
35.587,7092.690
35.684,7041.344
35.782,6998.736
35.879,6950.791
35.977,6922.097
36.074,6899.571
36.172,6881.866
36.269,6829.893
36.367,6799.533
36.464,6773.063
36.562,6736.436
36.659,6691.326
36.757,6630.006
36.854,6574.497
36.952,6519.327
37.049,6492.429
37.147,6445.117
37.244,6391.666
37.342,6381.288
37.439,6359.381
37.537,6310.395
37.634,6277.789
37.732,6243.011
37.829,6211.249
37.927,6155.144
38.024,6137.627
38.122,6104.702
38.219,6074.981
38.317,6046.059
38.414,6021.544
38.512,5969.279
38.609,5937.657
38.707,5888.554
38.804,5862.286
38.902,5851.861
38.999,5816.733
39.097,5752.284
39.194,5726.653
39.292,5702.090
39.389,5667.397
39.487,5618.875
39.584,5595.651
39.682,5588.424
39.779,5527.303
39.876,5491.729
39.974,5479.216
40.071,5442.511
40.169,5434.086
40.266,5410.100
40.364,5384.360
40.461,5337.139
40.559,5319.170
40.656,5311.450
40.754,5261.372
40.851,5246.030
40.949,5220.822
41.046,5187.797
41.144,5166.337
41.241,5163.448
41.339,5142.010
41.436,5130.736
41.534,5095.971
41.631,5067.979
41.729,5052.890
41.826,5036.103
41.924,5033.111
42.021,5014.695
42.119,5010.075
42.216,4994.094
42.314,4983.654
42.411,4981.512
42.509,4974.440
42.606,4968.465
42.704,4975.465
42.801,4987.145
42.899,4987.100
42.996,4992.962
43.094,5018.657
43.191,5034.071
43.289,5044.764
43.386,5049.444
43.484,5055.481
43.581,5084.016
43.679,5100.304
43.776,5098.632
43.874,5106.354
43.971,5104.739
44.069,5125.244
44.166,5152.748
44.264,5154.000
44.361,5129.896
44.459,5121.546
44.556,5147.930
44.654,5145.596
44.751,5143.609
44.849,5130.095
44.946,5142.697
45.044,5170.459
45.141,5188.702
45.239,5154.789
45.336,5148.652
45.434,5193.965
45.531,5192.606
45.629,5179.246
45.726,5171.441
45.824,5166.517
45.921,5167.905
46.019,5168.163
46.116,5140.568
46.214,5144.449
46.311,5154.049
46.409,5148.320
46.506,5139.466
46.604,5139.421
46.701,5145.509
46.799,5144.356
46.896,5154.731
46.994,5133.412
47.091,5138.058
47.189,5132.057
47.286,5122.130
47.384,5139.557
47.481,5136.987
47.579,5138.131
47.676,5136.221
47.774,5130.295
47.871,5109.019
47.969,5146.774
48.066,5151.546
48.164,5174.831
48.261,5150.632
48.359,5143.736
48.456,5142.934
48.554,5163.832
48.651,5181.692
48.749,5194.602
48.846,5205.347
48.944,5196.867
49.041,5191.644
49.139,5221.627
49.236,5205.745
49.334,5188.377
49.431,5179.630
49.529,5190.995
49.626,5189.410
49.724,5162.260
49.821,5148.526
49.919,5126.628
50.016,5112.600
50.114,5102.896
50.211,5072.074
50.309,5085.623
50.406,5073.492
50.504,5043.837
50.601,5030.905
50.699,5008.163
50.796,5004.380
50.894,5003.909
50.991,5009.046
51.089,4986.717
51.186,4960.225
51.284,4948.124
51.381,4936.818
51.479,4925.240
51.576,4915.487
51.674,4905.842
51.771,4885.655
51.869,4883.018
51.966,4874.157
52.064,4864.506
52.161,4849.894
52.259,4840.191
52.356,4844.696
52.454,4844.792
52.551,4885.942
52.649,4908.899
52.746,4877.383
52.844,4861.141
52.941,4889.627
53.039,4897.389
53.136,4921.432
53.234,4940.395
53.331,4959.985
53.429,4958.454
53.526,4965.475
53.624,4983.904
53.721,5015.840
53.819,5019.591
53.916,5016.493
54.014,5017.812
54.111,5033.419
54.209,5061.391
54.306,5078.168
54.404,5084.569
54.501,5102.883
54.599,5131.849
54.696,5109.741
54.794,5111.872
54.891,5154.737
54.989,5193.806
55.086,5198.524
55.184,5222.973
55.281,5221.037
55.379,5254.332
55.476,5274.243
55.574,5300.500
55.671,5312.930
55.769,5328.451
55.866,5331.793
55.964,5339.349
56.061,5379.578
56.159,5426.883
56.256,5445.208
56.354,5470.254
56.451,5501.018
56.549,5518.216
56.646,5501.493
56.744,5518.667
56.841,5553.279
56.939,5563.673
57.036,5572.787
57.134,5618.002
57.231,5594.666
57.329,5575.508
57.426,5576.169
57.524,5582.483
57.621,5579.405
57.719,5567.698
57.816,5553.793
57.914,5567.493
58.011,5546.549
58.109,5520.206
58.206,5483.744
58.304,5465.905
58.401,5426.209
58.499,5408.319
58.596,5400.351
58.694,5394.031
58.791,5347.542
58.889,5310.767
58.986,5269.846
59.084,5246.371
59.181,5230.523
59.279,5218.249
59.376,5207.984
59.474,5180.455
59.571,5143.871
59.669,5113.547
59.766,5088.277
59.863,5067.519
59.961,5046.832
60.058,5011.093
60.156,4992.596
60.253,4986.109
60.351,4941.068
60.448,4897.356
60.546,4855.735
60.643,4843.258
60.741,4834.767
60.838,4807.418
60.936,4789.589
61.033,4749.558
61.131,4734.038
61.228,4722.175
61.326,4717.561
61.423,4691.943
61.521,4646.622
61.618,4637.308
61.716,4613.766
61.813,4587.372
61.911,4567.747
62.008,4559.458
62.106,4542.532
62.203,4534.722
62.301,4522.364
62.398,4483.425
62.496,4447.319
62.593,4428.271
62.691,4426.296
62.788,4415.762
62.886,4396.035
62.983,4389.384
63.081,4388.396
63.178,4358.828
63.276,4310.064
63.373,4285.163
63.471,4271.903
63.568,4239.697
63.666,4226.033
63.763,4224.173
63.861,4211.223
63.958,4202.073
64.056,4191.134
64.153,4172.295
64.251,4150.281
64.348,4130.921
64.446,4094.866
64.543,4082.170
64.641,4082.019
64.738,4072.417
64.836,4055.921
64.933,4029.163
65.031,4013.554
65.128,3983.530
65.226,3965.089
65.323,3946.854
65.421,3942.467
65.518,3937.265
65.616,3914.196
65.713,3885.520
65.811,3879.615
65.908,3878.258
66.006,3853.491
66.103,3828.399
66.201,3827.983
66.298,3823.238
66.396,3817.676
66.493,3796.973
66.591,3770.233
66.688,3766.073
66.786,3740.159
66.883,3723.154
66.981,3712.687
67.078,3698.014
67.176,3683.874
67.273,3677.357
67.371,3673.980
67.468,3677.347
67.566,3661.105
67.663,3642.491
67.761,3624.014
67.858,3608.283
67.956,3593.853
68.053,3581.281
68.151,3544.725
68.248,3546.258
68.346,3545.363
68.443,3538.105
68.541,3527.177
68.638,3517.589
68.736,3507.630
68.833,3489.692
68.931,3475.201
69.028,3463.797
69.126,3449.911
69.223,3422.562
69.321,3399.921
69.418,3399.214
69.516,3385.823
69.613,3373.920
69.711,3370.643
69.808,3349.575
69.906,3337.206
70.003,3342.629
70.101,3326.864
70.198,3304.045
70.296,3298.341
70.393,3298.863
70.491,3276.703
70.588,3268.519
70.686,3253.486
70.783,3243.034
70.881,3241.629
70.978,3226.911
71.076,3212.604
71.173,3183.607
71.271,3168.688
71.368,3156.888
71.466,3152.859
71.563,3138.983
71.661,3150.345
71.758,3132.988
71.856,3113.966
71.953,3105.276
72.051,3104.173
72.148,3106.098
72.246,3083.685
72.343,3069.311
72.441,3045.912
72.538,3028.087
72.636,3040.368
72.733,3044.392
72.831,3013.759
72.928,3000.689
73.026,2991.912
73.123,2991.739
73.221,2989.352
73.318,2972.342
73.416,2940.702
73.513,2949.186
73.611,2962.023
73.708,2937.297
73.806,2922.154
73.903,2920.130
74.001,2916.228
74.098,2898.734
74.196,2883.000
74.293,2883.416
74.391,2898.272
74.488,2891.090
74.586,2859.073
74.683,2843.140
74.781,2837.642
74.878,2842.076
74.976,2839.810
75.073,2822.636
75.171,2812.288
75.268,2798.240
75.366,2796.038
75.463,2796.874
75.561,2779.844
75.658,2778.150
75.756,2777.594
75.853,2769.298
75.951,2762.766
76.048,2744.144
76.146,2732.605
76.243,2712.314
76.341,2696.630
