X	Y
460	1576.936
465	1506.713
470	1455.421
475	1384.044
480	1329.828
485	1280.784
490	1231.432
495	1188.663
500	1138.240
505	1097.211
510	1050.436
515	1019.177
520	979.558
525	943.177
530	947.220
535	969.638
540	962.176
545	936.117
550	879.186
555	863.133
560	857.166
565	835.042
570	807.225
575	832.863
580	826.596
585	810.720
590	780.466
595	736.635
600	724.349
605	701.652
610	690.260
615	667.976
620	658.137
625	629.754
630	616.091
635	595.935
640	584.382
645	563.397
650	547.207
655	533.988
660	522.181
665	513.211
670	493.108
675	479.687
680	474.190
685	458.678
690	447.932
695	439.187
700	434.336
705	779.891
710	1032.242
715	1018.585
720	926.726
725	963.545
730	905.177
735	893.728
740	887.162
745	888.031
750	873.509
755	874.075
760	862.390
765	855.821
770	860.422
775	853.336
780	843.743
