X,Y
-99.838,2163.001
-99.740,2163.001
-99.643,2163.001
-99.545,2163.001
-99.448,2161.463
-99.350,2278.513
-99.253,2409.683
-99.155,1431.028
-99.058,2459.611
-98.960,2297.875
-98.863,2615.303
-98.765,2436.514
-98.668,3646.587
-98.570,2783.885
-98.473,2460.949
-98.375,1916.614
-98.278,1871.230
-98.180,1817.935
-98.083,2193.915
-97.985,1530.576
-97.888,1726.183
-97.790,1484.964
-97.693,1827.074
-97.595,1491.396
-97.498,1298.062
-97.400,1316.114
-97.303,1698.886
-97.205,1325.180
-97.108,-61.946
-97.010,-25.118
-96.913,1804.417
-96.815,1746.900
-96.718,947.152
-96.620,703.214
-96.523,1494.400
-96.425,1237.860
-96.328,156.623
-96.230,472.884
-96.133,756.807
-96.035,1085.970
-95.938,19.706
-95.840,-81.204
-95.743,817.981
-95.645,218.388
-95.548,-559.042
-95.450,629.804
-95.353,1222.533
-95.255,625.451
-95.158,306.667
-95.060,469.447
-94.963,710.576
-94.865,626.481
-94.768,1183.268
-94.670,940.937
-94.573,980.713
-94.475,1187.181
-94.378,997.057
-94.280,487.658
-94.183,299.785
-94.085,940.458
-93.988,356.618
-93.890,274.673
-93.793,1315.280
-93.695,1572.401
-93.598,1906.617
-93.500,2120.151
-93.403,2475.234
-93.305,1994.501
-93.208,1598.722
-93.110,555.824
-93.013,947.581
-92.915,1159.123
-92.818,684.863
-92.720,-10.989
-92.623,1158.194
-92.525,1376.074
-92.428,1383.682
-92.330,995.375
-92.233,1362.120
-92.135,1443.187
-92.038,1816.715
-91.940,1642.716
-91.843,1457.955
-91.745,1673.251
-91.648,773.222
-91.550,1066.600
-91.453,1480.353
-91.355,1884.833
-91.258,1542.244
-91.160,1649.104
-91.063,1545.566
-90.965,2112.024
-90.868,1213.350
-90.770,861.451
-90.673,1087.552
-90.575,1599.674
-90.478,1076.223
-90.380,243.495
-90.283,1286.913
-90.185,1663.446
-90.088,1235.308
-89.990,1698.016
-89.893,1679.739
-89.795,1226.947
-89.698,390.965
-89.600,839.308
-89.503,1739.918
-89.405,2076.713
-89.308,2015.427
-89.210,1671.854
-89.113,1464.096
-89.015,1415.787
-88.918,4740.795
-88.820,1001.547
-88.723,1392.068
-88.625,1194.752
-88.528,361.579
-88.430,117.053
-88.333,1458.590
-88.235,1507.880
-88.138,850.093
-88.040,399.146
-87.943,1259.300
-87.845,1715.174
-87.748,940.716
-87.650,139.884
-87.553,1126.951
-87.455,1847.401
-87.358,103.524
-87.260,50.324
-87.163,576.832
-87.065,784.295
-86.968,-21.624
-86.870,23.139
-86.773,117.752
-86.675,579.799
-86.578,1158.929
-86.480,1383.215
-86.383,1136.796
-86.285,-367.929
-86.188,-323.236
-86.090,160.162
-85.993,170.393
-85.895,-289.249
-85.798,-486.350
-85.700,322.345
-85.603,534.495
-85.505,674.067
-85.408,287.684
-85.310,422.476
-85.213,85.680
-85.115,-255.017
-85.018,531.249
-84.920,1087.590
-84.823,698.784
-84.725,439.730
-84.628,229.421
-84.530,345.778
-84.433,152.047
-84.335,-48.307
-84.238,-165.666
-84.140,-201.203
-84.043,175.169
-83.945,-197.244
-83.848,-76.384
-83.750,762.351
-83.653,437.505
-83.555,264.483
-83.458,651.054
-83.360,496.793
-83.263,88.565
-83.165,-632.470
-83.068,-372.624
-82.970,313.741
-82.873,581.419
-82.775,750.911
-82.678,1013.234
-82.580,955.682
-82.483,1172.506
-82.385,1193.544
-82.288,1150.434
-82.190,751.593
-82.093,1052.569
-81.995,1086.532
