X	Y
460	1095.465
465	1049.238
470	1015.271
475	978.055
480	932.661
485	898.287
490	867.280
495	838.188
500	801.300
505	767.689
510	741.990
515	711.392
520	686.432
525	663.249
530	696.430
535	716.996
540	729.919
545	715.930
550	668.368
555	645.163
560	644.261
565	643.364
570	729.205
575	1727.487
580	2305.912
585	2326.299
590	2260.132
595	1778.285
600	1725.944
605	1718.335
610	1686.739
615	1659.874
620	1599.525
625	1580.022
630	1570.968
635	1581.972
640	1572.354
645	1539.441
650	1507.406
655	1462.467
660	1436.606
665	1412.542
670	1391.838
675	1349.050
680	1303.362
685	1295.510
690	1283.357
695	1286.687
700	1280.146
705	1275.062
710	1276.723
715	1247.874
720	1202.419
725	1161.494
730	1137.713
735	1115.675
740	1095.562
745	1082.665
750	1064.226
755	1047.236
760	1035.974
765	1012.104
770	989.206
775	969.469
780	942.945
