 	ELoss	Intensity
1	-3.929	7.195
2	-3.898	8.723
3	-3.868	8.773
4	-3.838	9.855
5	-3.808	10.613
6	-3.777	10.145
7	-3.747	9.207
8	-3.717	9.512
9	-3.687	9.770
10	-3.657	9.309
11	-3.626	9.090
12	-3.596	9.312
13	-3.566	10.848
14	-3.536	9.617
15	-3.506	10.078
16	-3.475	11.918
17	-3.445	11.219
18	-3.415	10.977
19	-3.385	10.863
20	-3.354	12.246
21	-3.324	12.145
22	-3.294	12.566
23	-3.264	11.730
24	-3.234	13.496
25	-3.203	13.223
26	-3.173	12.719
27	-3.143	13.777
28	-3.113	14.137
29	-3.082	14.254
30	-3.052	14.438
31	-3.022	13.805
32	-2.992	15.785
33	-2.962	15.020
34	-2.931	13.781
35	-2.901	16.164
36	-2.871	16.207
37	-2.841	15.613
38	-2.810	17.738
39	-2.780	17.184
40	-2.750	18.051
41	-2.720	17.902
42	-2.690	18.738
43	-2.659	19.348
44	-2.629	18.746
45	-2.599	21.004
46	-2.569	20.762
47	-2.538	20.566
48	-2.508	22.027
49	-2.478	21.324
50	-2.448	21.660
51	-2.418	22.398
52	-2.387	23.324
53	-2.357	25.008
54	-2.327	25.531
55	-2.297	23.688
56	-2.266	25.777
57	-2.236	28.273
58	-2.206	27.777
59	-2.176	28.055
60	-2.146	27.758
61	-2.115	29.191
62	-2.085	31.246
63	-2.055	31.234
64	-2.025	32.828
65	-1.995	33.742
66	-1.964	35.477
67	-1.934	37.492
68	-1.904	37.168
69	-1.874	39.887
70	-1.843	41.043
71	-1.813	41.645
72	-1.783	43.863
73	-1.753	45.359
74	-1.723	48.375
75	-1.692	49.324
76	-1.662	50.605
77	-1.632	54.469
78	-1.602	59.008
79	-1.571	61.488
80	-1.541	67.238
81	-1.511	69.820
82	-1.481	73.277
83	-1.451	78.570
84	-1.420	82.867
85	-1.390	86.602
86	-1.360	93.180
87	-1.330	100.723
88	-1.299	110.051
89	-1.269	119.535
90	-1.239	128.969
91	-1.209	139.457
92	-1.179	151.820
93	-1.148	165.484
94	-1.118	179.672
95	-1.088	195.535
96	-1.058	215.836
97	-1.027	237.496
98	-0.997	261.559
99	-0.967	287.852
100	-0.937	314.453
101	-0.907	348.758
102	-0.876	392.121
103	-0.846	432.957
104	-0.816	476.793
105	-0.786	526.199
106	-0.755	584.078
107	-0.725	647.883
108	-0.695	720.699
109	-0.665	801.000
110	-0.635	890.707
111	-0.604	983.918
112	-0.574	1087.234
113	-0.544	1193.645
114	-0.514	1302.941
115	-0.484	1432.320
116	-0.453	1565.453
117	-0.423	1703.469
118	-0.393	1847.484
119	-0.363	1989.895
120	-0.332	2140.160
121	-0.302	2294.523
122	-0.272	2460.656
123	-0.242	2613.703
124	-0.212	2744.027
125	-0.181	2870.961
126	-0.151	3008.188
127	-0.121	3107.266
128	-0.091	3183.750
129	-0.060	3231.238
130	-0.030	3285.633
131	0.000	3319.094
132	0.030	3316.551
133	0.060	3277.352
134	0.091	3207.812
135	0.121	3122.363
