 ,x-pos,y-pos,mean80,mean60,width50,width30,width10,pos20,pos40,int40,pos60,int60,pos80,int20,width80,mean10,int80,mean50,mean30,mean90,mean70,width60,width40,pos10,width20,pos30,pos50,int50,pos70,int70,width90,int10,pos90,width70,int30,mean40,int90,mean20
1,2061.788,2080.467,337.756,229.478,118.813,127.852,143.984,2215.169,2219.410,12264581.074,2224.031,10180107.813,2231.439,36471663.894,109.016,1182.025,15081818.927,188.851,401.692,372.264,310.554,108.306,122.209,2212.468,141.135,2217.617,2221.193,9190627.282,2227.217,13782381.017,95.178,69711088.340,2238.478,108.350,21035827.930,245.012,14512728.189,630.899
2,2064.495,2237.598,340.082,232.416,116.733,125.950,141.553,2297.770,2294.870,11988004.097,2292.164,10131492.373,2294.002,35425833.545,106.787,1174.384,14875201.857,190.745,396.306,374.717,310.999,106.426,120.474,2298.346,137.109,2296.384,2293.421,9120279.896,2292.346,13630447.319,92.959,68090804.159,2297.215,107.002,20445044.556,242.938,14267719.444,630.802
3,2074.554,2390.985,336.855,217.380,113.872,122.456,139.832,2376.942,2368.127,11196022.563,2358.731,9261471.994,2354.318,32735354.882,95.208,1076.540,13136327.696,180.857,378.081,350.455,291.515,104.016,116.897,2380.907,133.418,2372.378,2362.816,8435542.528,2355.672,12383285.885,90.398,61658842.226,2354.723,103.708,18963769.374,233.830,12976305.559,599.022
4,2082.192,2549.528,357.310,227.505,107.239,115.540,132.002,2455.701,2439.720,10569401.690,2424.546,8998495.758,2413.899,30840442.088,87.327,1083.031,12780630.014,183.902,378.714,372.189,306.521,96.565,109.722,2463.070,125.447,2447.843,2431.633,8077903.913,2418.161,12050885.678,82.615,58557330.335,2411.384,95.984,17922617.763,235.179,12594509.752,600.207
5,2094.113,2711.973,458.885,287.258,94.395,103.064,118.250,2527.597,2505.055,11321980.143,2483.154,9852381.691,2465.913,33436869.161,74.753,1322.772,14050608.394,225.877,456.579,479.867,390.168,83.735,97.744,2538.350,113.362,2516.474,2493.574,8733309.704,2473.286,13383936.759,70.154,64068450.089,2460.139,83.748,19274492.324,282.795,13788977.136,720.110
6,2104.740,2885.864,539.301,328.439,80.403,88.750,104.031,2596.847,2566.859,10912317.472,2537.523,9451167.276,2513.078,32326506.790,61.023,1446.282,13479818.285,254.254,509.409,572.846,451.374,70.254,83.386,2611.401,98.274,2582.160,2551.663,8373360.428,2524.254,12840695.556,56.255,61627506.069,2503.833,69.453,18518019.100,319.494,13199516.121,803.083
7,2117.142,3073.463,753.109,442.082,59.941,67.483,80.281,2656.589,2618.906,9714275.126,2581.647,8853584.293,2549.642,29230900.214,40.801,1720.727,12585965.497,313.781,601.272,823.774,614.646,48.894,62.183,2674.957,75.750,2637.830,2599.766,7703942.553,2564.566,12182894.083,36.082,56582665.485,2536.698,48.391,16619768.488,381.401,12174551.294,942.112
8,2129.367,3268.484,1554.138,1431.221,33.674,39.395,54.434,2704.634,2660.495,24384282.726,2612.943,16178524.284,2570.776,55191767.638,23.396,3889.713,14893300.999,1324.018,2233.842,1482.698,1369.144,27.598,33.501,2726.355,48.911,2683.115,2635.820,18262173.510,2590.516,16194233.185,21.646,86725038.347,2553.105,28.877,36045269.980,1777.021,13145600.834,2754.905
9,2038.683,1946.204,330.135,214.206,119.585,128.335,144.312,2143.116,2153.152,11741235.685,2163.173,9569450.252,2176.596,35057196.062,100.596,1147.241,13602878.167,179.682,384.324,342.455,286.277,109.067,122.175,2137.493,141.326,2148.433,2157.727,8801189.137,2169.094,12808912.616,96.023,67813417.402,2185.638,109.236,20202364.583,234.623,13469105.868,605.614
10,2029.073,1817.698,331.185,214.376,115.647,124.333,140.627,2075.035,2090.308,11620829.941,2104.471,9193943.754,2123.897,34518349.076,96.287,1154.697,13061624.595,181.297,392.916,345.749,284.299,104.705,118.550,2066.481,135.068,2082.487,2096.907,8587844.336,2114.217,12269506.705,91.482,66511680.888,2135.477,105.364,20010056.712,239.319,12955559.318,623.931
