X0	Y0
-5.00000	562.188
-4.80000	551.188
-4.60000	639.188
-4.40000	767.562
-4.20000	961.125
-4.00000	1145.688
-3.80000	1649.312
-3.60000	3152.750
-3.40000	6140.188
-3.20000	10350.688
-3.00000	20421.375
-2.80000	25946.938
-2.60000	34751.000
-2.40000	39901.875
-2.20000	44507.000
-2.00000	46797.938
-1.80000	48523.562
-1.60000	48801.312
-1.40000	48705.500
-1.20000	48940.188
-1.00000	48934.688
-0.80000	49134.312
-0.60000	48640.125
-0.40000	48402.438
-0.20000	47733.625
0.00000	46505.188
0.20000	45915.438
0.40000	43352.625
0.60000	37967.188
0.80000	31163.125
1.00000	21626.625
1.20000	9801.500
1.40000	4080.625
1.60000	3097.812
1.80000	1924.188
2.00000	1403.750
2.20000	1328.500
2.40000	919.250
2.60000	772.562
2.80000	665.562
3.00000	540.875
3.20000	494.250
3.40000	416.562
3.60000	379.875
3.80000	325.188
4.00000	295.938
4.20000	295.000
4.40000	227.688
4.60000	205.250
4.80000	186.000
5.00000	184.250
