y-position;y-error;x-position;x-error;left-position;left-error;right-position;right-error;width;width-error;threshold;fitted-x-position;fitted-left-position;fitted-right-position
40.0;2.0;2524.0;2.0;2276.0;2.0;2774.0;2.0;498.0;4.0;2312.236328125;2524.5697614587452;2276.7414090986263;2773.560366639702
72.0;2.0;2524.0;2.0;2278.0;2.0;2772.0;2.0;494.0;4.0;2454.31591796875;2524.649889994279;2277.2103443388773;2773.216500607007
104.0;2.0;2524.0;2.0;2278.0;2.0;2772.0;2.0;494.0;4.0;2354.188720703125;2524.7251051744306;2277.6716960805466;2772.8720643743145
136.0;2.0;2524.0;2.0;2278.0;2.0;2772.0;2.0;494.0;4.0;2258.4970703125;2524.7956542231104;2278.125694528195;2772.527294020093
168.0;2.0;2524.0;2.0;2278.0;2.0;2772.0;2.0;494.0;4.0;2163.2509765625;2524.8617843642282;2278.5725698863826;2772.182425622813
200.0;2.0;2526.0;2.0;2280.0;2.0;2772.0;2.0;492.0;4.0;2113.449951171875;2524.923742821694;2279.012552359671;2771.8376952609424
232.0;2.0;2524.0;2.0;2278.0;2.0;2772.0;2.0;494.0;4.0;2045.5091552734375;2524.981776819416;2279.445872152621;2771.493339012952
264.0;2.0;2524.0;2.0;2280.0;2.0;2770.0;2.0;490.0;4.0;2005.20068359375;2525.036133581306;2279.8727594697934;2771.149592957311
296.0;2.0;2524.0;2.0;2280.0;2.0;2770.0;2.0;490.0;4.0;1940.1759033203125;2525.0870603312724;2280.293444515749;2770.806693172489
328.0;2.0;2526.0;2.0;2282.0;2.0;2770.0;2.0;488.0;4.0;1871.252685546875;2525.1348042932254;2280.7081574950485;2770.464875736954
360.0;2.0;2526.0;2.0;2282.0;2.0;2770.0;2.0;488.0;4.0;1796.7423095703125;2525.179612691075;2281.1171286122526;2770.124376729177
392.0;2.0;2526.0;2.0;2282.0;2.0;2770.0;2.0;488.0;4.0;1753.6229248046875;2525.2217327487306;2281.5205880719227;2769.7854322276266
424.0;2.0;2526.0;2.0;2282.0;2.0;2770.0;2.0;488.0;4.0;1694.2783203125;2525.2614116901013;2281.9187660786192;2769.448278310773
456.0;2.0;2526.0;2.0;2282.0;2.0;2770.0;2.0;488.0;4.0;1637.934814453125;2525.2988967390984;2282.311892836903;2769.1131510570845
488.0;2.0;2526.0;2.0;2282.0;2.0;2770.0;2.0;488.0;4.0;1601.859130859375;2525.33443511963;2282.7001985513352;2768.7802865450312
520.0;2.0;2526.0;2.0;2282.0;2.0;2770.0;2.0;488.0;4.0;1561.72900390625;2525.368274055607;2283.0839134264766;2768.4499208530824
552.0;2.0;2526.0;2.0;2284.0;2.0;2768.0;2.0;484.0;4.0;1529.9447021484375;2525.400660770939;2283.4632676668875;2768.1222900597077
584.0;2.0;2526.0;2.0;2284.0;2.0;2768.0;2.0;484.0;4.0;1468.3546142578125;2525.431842489535;2283.838491477129;2767.797630243376
616.0;2.0;2526.0;2.0;2284.0;2.0;2768.0;2.0;484.0;4.0;1417.95361328125;2525.462066435305;2284.209815061762;2767.476177482557
648.0;2.0;2526.0;2.0;2284.0;2.0;2768.0;2.0;484.0;4.0;1382.4088134765625;2525.4915798321595;2284.5774686253476;2767.1581678557204
680.0;2.0;2526.0;2.0;2284.0;2.0;2768.0;2.0;484.0;4.0;1309.7896728515625;2525.5206299040074;2284.9416823724464;2766.8438374413354
712.0;2.0;2526.0;2.0;2286.0;2.0;2768.0;2.0;482.0;4.0;1265.07958984375;2525.549463874759;2285.3026865076195;2766.533422317871
744.0;2.0;2526.0;2.0;2286.0;2.0;2766.0;2.0;480.0;4.0;1216.616455078125;2525.5783289683236;2285.6607112354272;2766.2271585637977
776.0;2.0;2526.0;2.0;2286.0;2.0;2766.0;2.0;480.0;4.0;1156.1614990234375;2525.6074724086116;2286.0159867604307;2765.9252822575836
808.0;2.0;2526.0;2.0;2286.0;2.0;2766.0;2.0;480.0;4.0;1083.685546875;2525.637141419532;2286.3687432871907;2765.628029477699
840.0;2.0;2526.0;2.0;2286.0;2.0;2766.0;2.0;480.0;4.0;1036.101806640625;2525.6675832249944;2286.719211020268;2765.3356363026132
872.0;2.0;2526.0;2.0;2288.0;2.0;2764.0;2.0;476.0;4.0;974.31298828125;2525.6990450489093;2287.0676201642236;2765.048338810795
904.0;2.0;2526.0;2.0;2288.0;2.0;2764.0;2.0;476.0;4.0;889.1652221679688;2525.731774115186;2287.4142009236184;2764.766373080715
936.0;2.0;2526.0;2.0;2288.0;2.0;2764.0;2.0;476.0;4.0;847.9542236328125;2525.7660176477343;2287.759183503013;2764.489975190841
968.0;2.0;2526.0;2.0;2288.0;2.0;2764.0;2.0;476.0;4.0;784.5983276367188;2525.8020228704645;2288.1027981069683;2764.2193812196438
1000.0;2.0;2526.0;2.0;2288.0;2.0;2764.0;2.0;476.0;4.0;743.8829956054688;2525.8400370072854;2288.4452749400452;2763.9548272455922
1032.0;2.0;2526.0;2.0;2288.0;2.0;2764.0;2.0;476.0;4.0;697.4189453125;2525.880307282107;2288.7868442068047;2763.696549347156
