y-position;y-error;x-position;x-error;left-position;left-error;right-position;right-error;width;width-error;threshold;fitted-x-position;fitted-left-position;fitted-right-position
40.0;1.0;2649.0;1.0;2351.0;1.0;2947.0;1.0;596.0;2.0;1037.9801025390625;2648.731380903213;2350.475094325846;2947.248360546075
56.0;1.0;2649.0;1.0;2351.0;1.0;2947.0;1.0;596.0;2.0;1090.2679443359375;2648.7464660815713;2350.7105530670233;2947.053008242416
72.0;1.0;2649.0;1.0;2351.0;1.0;2947.0;1.0;596.0;2.0;1093.6041259765625;2648.7612675566534;2350.944467335645;2946.858453601584
88.0;1.0;2649.0;1.0;2351.0;1.0;2947.0;1.0;596.0;2.0;1105.11279296875;2648.7758137589817;2351.1768667496517;2946.664725261811
104.0;1.0;2649.0;1.0;2352.0;1.0;2946.0;1.0;594.0;2.0;1105.798095703125;2648.7901331190806;2351.407780926982;2946.4718518613277
120.0;1.0;2648.0;1.0;2351.0;1.0;2946.0;1.0;595.0;2.0;1100.8712158203125;2648.8042540674733;2351.6372394855766;2946.279862038366
136.0;1.0;2649.0;1.0;2352.0;1.0;2946.0;1.0;594.0;2.0;1102.285888671875;2648.818205034683;2351.8652720433747;2946.0887844311587
152.0;1.0;2649.0;1.0;2352.0;1.0;2946.0;1.0;594.0;2.0;1100.58544921875;2648.8320144512345;2352.0919082183163;2945.8986476779364
168.0;1.0;2649.0;1.0;2352.0;1.0;2946.0;1.0;594.0;2.0;1103.2633056640625;2648.8457107476506;2352.3171776283416;2945.7094804169315
184.0;1.0;2649.0;1.0;2352.0;1.0;2946.0;1.0;594.0;2.0;1104.3348388671875;2648.859322354455;2352.54110989139;2945.5213112863753
200.0;1.0;2648.0;1.0;2352.0;1.0;2945.0;1.0;593.0;2.0;1110.22705078125;2648.8728777021715;2352.763734625402;2945.3341689245
216.0;1.0;2649.0;1.0;2353.0;1.0;2945.0;1.0;592.0;2.0;1110.922607421875;2648.886405221323;2352.9850814483157;2945.1480819695366
232.0;1.0;2649.0;1.0;2353.0;1.0;2945.0;1.0;592.0;2.0;1110.9261474609375;2648.899933342434;2353.2051799780725;2944.9630790597175
248.0;1.0;2649.0;1.0;2353.0;1.0;2945.0;1.0;592.0;2.0;1107.4825439453125;2648.913490496028;2353.424059832612;2944.7791888332745
264.0;1.0;2649.0;1.0;2354.0;1.0;2945.0;1.0;591.0;2.0;1110.1781005859375;2648.927105112628;2353.641750629873;2944.596439928439
280.0;1.0;2649.0;1.0;2354.0;1.0;2945.0;1.0;591.0;2.0;1110.640380859375;2648.9408056227576;2353.8582819877965;2944.4148609834424
296.0;1.0;2649.0;1.0;2354.0;1.0;2944.0;1.0;590.0;2.0;1117.6187744140625;2648.954620456941;2354.073683524322;2944.234480636517
312.0;1.0;2649.0;1.0;2354.0;1.0;2944.0;1.0;590.0;2.0;1120.17333984375;2648.9685780457016;2354.2879848573884;2944.0553275258944
328.0;1.0;2649.0;1.0;2355.0;1.0;2944.0;1.0;589.0;2.0;1123.88525390625;2648.9827068195627;2354.5012156049365;2943.8774302898064
344.0;1.0;2649.0;1.0;2355.0;1.0;2944.0;1.0;589.0;2.0;1127.89013671875;2648.9970352090486;2354.713405384906;2943.7008175664846
360.0;1.0;2649.0;1.0;2355.0;1.0;2944.0;1.0;589.0;2.0;1128.2359619140625;2649.0115916446816;2354.924583815236;2943.5255179941605
376.0;1.0;2649.0;1.0;2355.0;1.0;2943.0;1.0;588.0;2.0;1128.8955078125;2649.0264045569866;2355.134780513867;2943.351560211066
392.0;1.0;2649.0;1.0;2355.0;1.0;2943.0;1.0;588.0;2.0;1124.439453125;2649.0415023764867;2355.3440250987387;2943.178972855433
408.0;1.0;2649.0;1.0;2356.0;1.0;2943.0;1.0;587.0;2.0;1122.8878173828125;2649.0569135337055;2355.552347187791;2943.0077845654932
424.0;1.0;2649.0;1.0;2356.0;1.0;2943.0;1.0;587.0;2.0;1121.1610107421875;2649.0726664591666;2355.759776398963;2942.8380239794783
440.0;1.0;2649.0;1.0;2356.0;1.0;2942.0;1.0;586.0;2.0;1120.26416015625;2649.0887895833935;2355.966342350195;2942.66971973562
456.0;1.0;2649.0;1.0;2356.0;1.0;2942.0;1.0;586.0;2.0;1107.3111572265625;2649.1053113369103;2356.1720746594274;2942.50290047215
472.0;1.0;2649.0;1.0;2356.0;1.0;2942.0;1.0;586.0;2.0;1091.328857421875;2649.1222601502395;2356.3770029445986;2942.3375948273
488.0;1.0;2649.0;1.0;2356.0;1.0;2942.0;1.0;586.0;2.0;1075.2193603515625;2649.139664453906;2356.5811568236495;2942.173831439302
504.0;1.0;2649.0;1.0;2357.0;1.0;2942.0;1.0;585.0;2.0;1068.794921875;2649.1575526784327;2356.7845659145196;2942.011638946387
520.0;1.0;2649.0;1.0;2357.0;1.0;2942.0;1.0;585.0;2.0;1060.2498779296875;2649.175953254343;2356.987259835149;2941.8510459867875
536.0;1.0;2649.0;1.0;2357.0;1.0;2942.0;1.0;585.0;2.0;1061.6270751953125;2649.194894612161;2357.1892682034763;2941.6920811987347
552.0;1.0;2649.0;1.0;2357.0;1.0;2942.0;1.0;585.0;2.0;1056.1610107421875;2649.2144051824102;2357.390620637443;2941.534773220461
568.0;1.0;2649.0;1.0;2358.0;1.0;2941.0;1.0;583.0;2.0;1054.6805419921875;2649.2345133956137;2357.5913467549876;2941.3791506901975
584.0;1.0;2649.0;1.0;2358.0;1.0;2941.0;1.0;583.0;2.0;1052.63671875;2649.2552476822957;2357.7914761740503;2941.2252422461765
600.0;1.0;2649.0;1.0;2358.0;1.0;2941.0;1.0;583.0;2.0;1053.870361328125;2649.2766364729796;2357.9910385125713;2941.073076526629
616.0;1.0;2649.0;1.0;2358.0;1.0;2941.0;1.0;583.0;2.0;1052.4420166015625;2649.298708198189;2358.19006338849;2940.922682169787
632.0;1.0;2649.0;1.0;2358.0;1.0;2941.0;1.0;583.0;2.0;1054.2672119140625;2649.3214912884478;2358.388580419746;2940.774087813883
648.0;1.0;2650.0;1.0;2359.0;1.0;2941.0;1.0;582.0;2.0;1050.8795166015625;2649.345014174279;2358.5866192242797;2940.6273220971475
664.0;1.0;2649.0;1.0;2359.0;1.0;2940.0;1.0;581.0;2.0;1052.969482421875;2649.3693052862063;2358.7842094200305;2940.482413657813
680.0;1.0;2649.0;1.0;2359.0;1.0;2940.0;1.0;581.0;2.0;1047.958984375;2649.394393054754;2358.981380624938;2940.3393911341113
696.0;1.0;2649.0;1.0;2359.0;1.0;2940.0;1.0;581.0;2.0;1045.708251953125;2649.4203059104448;2359.1781624569426;2940.1982831642736
712.0;1.0;2649.0;1.0;2359.0;1.0;2940.0;1.0;581.0;2.0;1037.969482421875;2649.4470722838028;2359.3745845339836;2940.0591183865317
728.0;1.0;2649.0;1.0;2359.0;1.0;2940.0;1.0;581.0;2.0;1032.81103515625;2649.474720605351;2359.570676474001;2939.921925439118
744.0;1.0;2650.0;1.0;2360.0;1.0;2940.0;1.0;580.0;2.0;1025.16064453125;2649.5032793056143;2359.7664678949345;2939.786732960263
760.0;1.0;2650.0;1.0;2360.0;1.0;2940.0;1.0;580.0;2.0;1016.1422729492188;2649.532776815115;2359.961988414724;2939.6535695882
776.0;1.0;2649.0;1.0;2360.0;1.0;2939.0;1.0;579.0;2.0;1010.9375;2649.563241564377;2360.157267651309;2939.5224639611597
