y-position;y-error;x-position;x-error;left-position;left-error;right-position;right-error;width;width-error;threshold;fitted-x-position;fitted-left-position;fitted-right-position
40.0;2.0;2022.0;2.0;1930.0;2.0;2116.0;2.0;186.0;4.0;896.0745849609375;2022.4436714822696;1930.0468692894399;2115.4589735907
72.0;2.0;2022.0;2.0;1930.0;2.0;2116.0;2.0;186.0;4.0;842.078369140625;2023.0493873672913;1930.9033807377411;2115.854811780621
104.0;2.0;2024.0;2.0;1932.0;2.0;2116.0;2.0;184.0;4.0;764.0968017578125;2023.6456867023246;1931.7518692522922;2116.2381039075517
136.0;2.0;2024.0;2.0;1932.0;2.0;2116.0;2.0;184.0;4.0;701.9537963867188;2024.2327440452668;1932.5924597722608;2116.609103209122
168.0;2.0;2026.0;2.0;1934.0;2.0;2118.0;2.0;184.0;4.0;640.93603515625;2024.8107339540163;1933.425277236815;2116.9680629229606
200.0;2.0;2026.0;2.0;1934.0;2.0;2118.0;2.0;184.0;4.0;580.9378051757812;2025.3798309864708;1934.250446585123;2117.315236286697
232.0;2.0;2026.0;2.0;1934.0;2.0;2118.0;2.0;184.0;4.0;516.081787109375;2025.9402097005284;1935.0680927563528;2117.65087653796
264.0;2.0;2026.0;2.0;1936.0;2.0;2118.0;2.0;182.0;4.0;474.67388916015625;2026.4920446540866;1935.878340689672;2117.975236914379
296.0;2.0;2026.0;2.0;1936.0;2.0;2118.0;2.0;182.0;4.0;435.9559631347656;2027.0355104050439;1936.6813153242492;2118.288570653583
328.0;2.0;2028.0;2.0;1938.0;2.0;2118.0;2.0;180.0;4.0;404.8519592285156;2027.5707815112976;1937.4771415992518;2118.5911309932017
360.0;2.0;2028.0;2.0;1938.0;2.0;2118.0;2.0;180.0;4.0;368.5256042480469;2028.0980325307462;1938.2659444538483;2118.883171170864
392.0;2.0;2028.0;2.0;1940.0;2.0;2118.0;2.0;178.0;4.0;341.9150695800781;2028.6174380212872;1939.0478488272065;2119.1649444241984
424.0;2.0;2030.0;2.0;1940.0;2.0;2120.0;2.0;180.0;4.0;320.6944580078125;2029.1291725408187;1939.8229796584942;2119.436703990835
456.0;2.0;2030.0;2.0;1940.0;2.0;2120.0;2.0;180.0;4.0;299.9235534667969;2029.6334106472386;1940.5914618868796;2119.6987031084027
488.0;2.0;2030.0;2.0;1942.0;2.0;2120.0;2.0;178.0;4.0;279.6101379394531;2030.1303268984448;1941.3534204515306;2119.9511950145306
