y-position;y-error;x-position;x-error;left-position;left-error;right-position;right-error;width;width-error;threshold;fitted-x-position;fitted-left-position;fitted-right-position
40.0;1.0;2101.0;1.0;1781.0;1.0;2422.0;1.0;641.0;2.0;2108.143798828125;2101.5332211910913;1784.3924475622791;2419.269424251325
56.0;1.0;2102.0;1.0;1786.0;1.0;2418.0;1.0;632.0;2.0;2344.0849609375;2101.843632333183;1784.907919088417;2419.3718816702903
72.0;1.0;2102.0;1.0;1785.0;1.0;2419.0;1.0;634.0;2.0;2273.27978515625;2102.1516586260796;1785.420223643969;2419.4727961321646
88.0;1.0;2102.0;1.0;1786.0;1.0;2419.0;1.0;633.0;2.0;2253.681396484375;2102.4573252425143;1785.9293860451903;2419.572192696398
104.0;1.0;2103.0;1.0;1786.0;1.0;2420.0;1.0;634.0;2.0;2240.9375;2102.760657355221;1786.435431108336;2419.670096422439
120.0;1.0;2103.0;1.0;1787.0;1.0;2419.0;1.0;632.0;2.0;2207.5888671875;2103.061680136934;1786.938383649661;2419.7665323697383
136.0;1.0;2103.0;1.0;1788.0;1.0;2419.0;1.0;631.0;2.0;2220.502685546875;2103.3604187603855;1787.4382684854208;2419.861525597745
152.0;1.0;2104.0;1.0;1789.0;1.0;2420.0;1.0;631.0;2.0;2179.205810546875;2103.65689839831;1787.93511043187;2419.955101165909
168.0;1.0;2104.0;1.0;1789.0;1.0;2419.0;1.0;630.0;2.0;2180.238037109375;2103.951144223442;1788.4289343052642;2420.0472841336796
184.0;1.0;2104.0;1.0;1789.0;1.0;2420.0;1.0;631.0;2.0;2121.715576171875;2104.243181408514;1788.919764921858;2420.1380995605064
200.0;1.0;2105.0;1.0;1790.0;1.0;2421.0;1.0;631.0;2.0;2115.74462890625;2104.5330351262596;1789.4076270979067;2420.2275725058394
216.0;1.0;2104.0;1.0;1790.0;1.0;2419.0;1.0;629.0;2.0;2106.80517578125;2104.8207305494125;1789.8925456496654;2420.3157280291275
232.0;1.0;2105.0;1.0;1791.0;1.0;2420.0;1.0;629.0;2.0;2090.694091796875;2105.106292850707;1790.3745453933893;2420.4025911898207
248.0;1.0;2105.0;1.0;1790.0;1.0;2420.0;1.0;630.0;2.0;2060.54345703125;2105.389747202876;1790.853651145333;2420.488187047369
264.0;1.0;2106.0;1.0;1792.0;1.0;2421.0;1.0;629.0;2.0;2068.513916015625;2105.671118778654;1791.3298877217524;2420.5725406612214
280.0;1.0;2106.0;1.0;1792.0;1.0;2421.0;1.0;629.0;2.0;2053.518310546875;2105.950432750774;1791.8032799389018;2420.655677090828
296.0;1.0;2107.0;1.0;1793.0;1.0;2421.0;1.0;628.0;2.0;2031.2752685546875;2106.2277142919693;1792.2738526130368;2420.7376213956377
312.0;1.0;2106.0;1.0;1793.0;1.0;2420.0;1.0;627.0;2.0;2003.772216796875;2106.502988574974;1792.7416305604122;2420.8183986351005
328.0;1.0;2107.0;1.0;1793.0;1.0;2421.0;1.0;628.0;2.0;2007.7679443359375;2106.776280772522;1793.2066385972832;2420.898033868666
344.0;1.0;2107.0;1.0;1793.0;1.0;2421.0;1.0;628.0;2.0;1973.1141357421875;2107.047616057346;1793.668901539905;2420.9765521557842
360.0;1.0;2107.0;1.0;1794.0;1.0;2421.0;1.0;627.0;2.0;1964.422119140625;2107.317019602181;1794.1284442045323;2421.053978555904
376.0;1.0;2107.0;1.0;1794.0;1.0;2421.0;1.0;627.0;2.0;1940.947265625;2107.58451657976;1794.5852914074208;2421.1303381284756
392.0;1.0;2108.0;1.0;1795.0;1.0;2421.0;1.0;626.0;2.0;1936.4608154296875;2107.850132162816;1795.039467964825;2421.2056559329485
408.0;1.0;2109.0;1.0;1796.0;1.0;2422.0;1.0;626.0;2.0;1896.4371337890625;2108.1138915240836;1795.4909986930002;2421.279957028772
424.0;1.0;2109.0;1.0;1797.0;1.0;2422.0;1.0;625.0;2.0;1899.481689453125;2108.3758198362957;1795.9399084082015;2421.3532664753957
440.0;1.0;2109.0;1.0;1797.0;1.0;2421.0;1.0;624.0;2.0;1876.4097900390625;2108.6359422721866;1796.3862219266841;2421.4256093322692
456.0;1.0;2109.0;1.0;1797.0;1.0;2422.0;1.0;625.0;2.0;1853.620361328125;2108.8942840044892;1796.829964064703;2421.497010658843
472.0;1.0;2109.0;1.0;1797.0;1.0;2422.0;1.0;625.0;2.0;1833.86669921875;2109.150870205938;1797.2711596385134;2421.5674955145655
488.0;1.0;2110.0;1.0;1798.0;1.0;2423.0;1.0;625.0;2.0;1828.9195556640625;2109.405726049266;1797.7098334643701;2421.6370889588866
504.0;1.0;2110.0;1.0;1798.0;1.0;2422.0;1.0;624.0;2.0;1802.4691162109375;2109.658876707207;1798.1460103585284;2421.705816051256
520.0;1.0;2110.0;1.0;1799.0;1.0;2422.0;1.0;623.0;2.0;1809.909912109375;2109.9103473524947;1798.5797151372433;2421.773701851124
536.0;1.0;2110.0;1.0;1798.0;1.0;2422.0;1.0;624.0;2.0;1763.397216796875;2110.1601631578624;1799.0109726167698;2421.8407714179393
552.0;1.0;2111.0;1.0;1800.0;1.0;2422.0;1.0;622.0;2.0;1765.073486328125;2110.4083492960444;1799.4398076133632;2421.9070498111514
568.0;1.0;2110.0;1.0;1800.0;1.0;2421.0;1.0;621.0;2.0;1752.626220703125;2110.6549309397737;1799.8662449432786;2421.972562090211
584.0;1.0;2111.0;1.0;1800.0;1.0;2422.0;1.0;622.0;2.0;1741.812744140625;2110.8999332617846;1800.2903094227709;2422.0373333145662
600.0;1.0;2112.0;1.0;1801.0;1.0;2423.0;1.0;622.0;2.0;1721.9698486328125;2111.1433814348097;1800.7120258680952;2422.1013885436682
616.0;1.0;2111.0;1.0;1801.0;1.0;2422.0;1.0;621.0;2.0;1700.920654296875;2111.385300631584;1801.1314190955068;2422.1647528369654
632.0;1.0;2111.0;1.0;1801.0;1.0;2422.0;1.0;621.0;2.0;1686.6104736328125;2111.6257160248397;1801.5485139212606;2422.227451253908
648.0;1.0;2112.0;1.0;1802.0;1.0;2422.0;1.0;620.0;2.0;1677.4625244140625;2111.8646527873116;1801.9633351616117;2422.289508853945
664.0;1.0;2112.0;1.0;1802.0;1.0;2423.0;1.0;621.0;2.0;1654.9793701171875;2112.102136091733;1802.3759076328154;2422.3509506965265
680.0;1.0;2112.0;1.0;1802.0;1.0;2423.0;1.0;621.0;2.0;1625.4927978515625;2112.338191110837;1802.7862561511263;2422.4118018411023
696.0;1.0;2113.0;1.0;1803.0;1.0;2423.0;1.0;620.0;2.0;1621.3414306640625;2112.572843017358;1803.1944055328;2422.472087347122
712.0;1.0;2113.0;1.0;1804.0;1.0;2423.0;1.0;619.0;2.0;1616.4871826171875;2112.8061169840294;1803.6003805940913;2422.5318322740345
728.0;1.0;2113.0;1.0;1804.0;1.0;2423.0;1.0;619.0;2.0;1591.5601806640625;2113.0380381835844;1804.0042061512554;2422.59106168129
744.0;1.0;2113.0;1.0;1804.0;1.0;2422.0;1.0;618.0;2.0;1595.59716796875;2113.2686317887574;1804.4059070205474;2422.6498006283377
760.0;1.0;2113.0;1.0;1804.0;1.0;2423.0;1.0;619.0;2.0;1564.1885986328125;2113.4979229722812;1804.805508018222;2422.7080741746277
776.0;1.0;2114.0;1.0;1805.0;1.0;2423.0;1.0;618.0;2.0;1552.47314453125;2113.72593690689;1805.203033960535;2422.765907379609
792.0;1.0;2114.0;1.0;1806.0;1.0;2423.0;1.0;617.0;2.0;1528.07373046875;2113.9526987653176;1805.5985096637412;2422.823325302732
808.0;1.0;2114.0;1.0;1806.0;1.0;2423.0;1.0;617.0;2.0;1513.7027587890625;2114.1782337202967;1805.9919599440952;2422.8803530034456
