y-position;y-error;x-position;x-error;left-position;left-error;right-position;right-error;width;width-error;threshold;fitted-x-position;fitted-left-position;fitted-right-position
2088.0;2.0;1792.0;2.0;1746.0;2.0;1840.0;2.0;94.0;4.0;110.1587905883789;1792.0583739764786;1746.2996014848188;1839.0040556935226
2120.0;2.0;1792.0;2.0;1746.0;2.0;1840.0;2.0;94.0;4.0;51.94712448120117;1792.710852452013;1747.2025845163332;1839.404996125421
2152.0;2.0;1794.0;2.0;1748.0;2.0;1840.0;2.0;92.0;4.0;44.58268356323242;1793.3642556778482;1748.1033782578465;1839.8092836512553
2184.0;2.0;1794.0;2.0;1748.0;2.0;1840.0;2.0;92.0;4.0;32.28458023071289;1794.018762144353;1749.0022707512758;1840.2170132491965
2216.0;2.0;1796.0;2.0;1752.0;2.0;1840.0;2.0;88.0;4.0;29.174047470092773;1794.6745503418965;1749.8995500385379;1840.628279897415
2248.0;2.0;1794.0;2.0;1750.0;2.0;1840.0;2.0;90.0;4.0;25.38035774230957;1795.3317987608475;1750.79550416155;1841.0431785740818
2280.0;2.0;1796.0;2.0;1752.0;2.0;1842.0;2.0;90.0;4.0;18.54721450805664;1795.990685891575;1751.690421162229;1841.4618042573675
2312.0;2.0;1796.0;2.0;1754.0;2.0;1840.0;2.0;86.0;4.0;19.19007110595703;1796.6513902244478;1752.5845890824921;1841.8842519254424
2344.0;2.0;1798.0;2.0;1754.0;2.0;1842.0;2.0;88.0;4.0;19.3574161529541;1797.3140902498346;1753.478295964256;1842.3106165564777
2376.0;2.0;1798.0;2.0;1754.0;2.0;1844.0;2.0;90.0;4.0;17.24054527282715;1797.9789644581049;1754.3718298494377;1842.7409931286436
2408.0;2.0;1798.0;2.0;1754.0;2.0;1844.0;2.0;90.0;4.0;18.11640167236328;1798.6461913396272;1755.2654787799545;1843.175476620111
2440.0;2.0;1798.0;2.0;1756.0;2.0;1842.0;2.0;86.0;4.0;23.30867576599121;1799.3159493847704;1756.1595307977232;1843.6141620090507
2472.0;2.0;1802.0;2.0;1758.0;2.0;1846.0;2.0;88.0;4.0;22.1312313079834;1799.9884170839034;1757.054273944661;1844.0571442736332
2504.0;2.0;1800.0;2.0;1758.0;2.0;1844.0;2.0;86.0;4.0;29.529376983642578;1800.6637729273955;1757.9499962626844;1844.504518392029
2536.0;2.0;1802.0;2.0;1760.0;2.0;1844.0;2.0;84.0;4.0;35.460731506347656;1801.3421954056153;1758.8469857937107;1844.9563793424093
2568.0;2.0;1802.0;2.0;1760.0;2.0;1844.0;2.0;84.0;4.0;36.78556823730469;1802.0238630089316;1759.745530579657;1845.4128221029441
2600.0;2.0;1804.0;2.0;1760.0;2.0;1848.0;2.0;88.0;4.0;33.34844207763672;1802.7089542277135;1760.6459186624404;1845.8739416518047
2632.0;2.0;1804.0;2.0;1762.0;2.0;1846.0;2.0;84.0;4.0;40.70425796508789;1803.39764755233;1761.5484380839775;1846.3398329671613
2664.0;2.0;1804.0;2.0;1762.0;2.0;1848.0;2.0;86.0;4.0;43.467002868652344;1804.09012147315;1762.4533768861857;1846.8105910271847
2696.0;2.0;1804.0;2.0;1764.0;2.0;1846.0;2.0;82.0;4.0;59.870018005371094;1804.7865544805422;1763.3610231109815;1847.2863108100457
2728.0;2.0;1806.0;2.0;1764.0;2.0;1848.0;2.0;84.0;4.0;54.96686935424805;1805.4871250648757;1764.2716648002825;1847.767087293915
2760.0;2.0;1806.0;2.0;1766.0;2.0;1848.0;2.0;82.0;4.0;67.21269226074219;1806.1920117165193;1765.185589996005;1848.253015456963
2792.0;2.0;1806.0;2.0;1766.0;2.0;1848.0;2.0;82.0;4.0;73.74356079101562;1806.901392925842;1766.1030867400668;1848.7441902773608
2824.0;2.0;1808.0;2.0;1768.0;2.0;1850.0;2.0;82.0;4.0;69.28400421142578;1807.6154471832126;1767.0244430743844;1849.2407067332786
2856.0;2.0;1808.0;2.0;1768.0;2.0;1850.0;2.0;82.0;4.0;62.17811965942383;1808.3343529790002;1767.9499470408748;1849.7426598028874
2888.0;2.0;1808.0;2.0;1768.0;2.0;1850.0;2.0;82.0;4.0;67.92633056640625;1809.0582888035738;1768.879886681455;1850.2501444643576
2920.0;2.0;1810.0;2.0;1770.0;2.0;1850.0;2.0;80.0;4.0;65.4963150024414;1809.787433147302;1769.8145500380424;1850.7632556958602
2952.0;2.0;1810.0;2.0;1770.0;2.0;1850.0;2.0;80.0;4.0;57.860774993896484;1810.5219645005538;1770.7542251525533;1851.2820884755654
2984.0;2.0;1812.0;2.0;1772.0;2.0;1852.0;2.0;80.0;4.0;57.43381118774414;1811.2620613536983;1771.6992000669054;1851.8067377816444
3016.0;2.0;1812.0;2.0;1772.0;2.0;1852.0;2.0;80.0;4.0;60.268245697021484;1812.0079021971042;1772.6497628230152;1852.3372985922676
3048.0;2.0;1814.0;2.0;1774.0;2.0;1854.0;2.0;80.0;4.0;45.52910614013672;1812.7596655211405;1773.6062014628;1852.873865885606
3080.0;2.0;1814.0;2.0;1774.0;2.0;1854.0;2.0;80.0;4.0;38.060386657714844;1813.5175298161762;1774.5688040281766;1853.4165346398297
3112.0;2.0;1814.0;2.0;1774.0;2.0;1856.0;2.0;82.0;4.0;38.02012634277344;1814.28167357258;1775.5378585610622;1853.9653998331096
3144.0;2.0;1814.0;2.0;1776.0;2.0;1854.0;2.0;78.0;4.0;46.75835418701172;1815.0522752807212;1776.5136531033736;1854.5205564436164
3176.0;2.0;1816.0;2.0;1776.0;2.0;1856.0;2.0;80.0;4.0;34.5325813293457;1815.8295134309683;1777.4964756970278;1855.0820994495211
3208.0;2.0;1816.0;2.0;1778.0;2.0;1856.0;2.0;78.0;4.0;31.934473037719727;1816.6135665136906;1778.486614383942;1855.6501238289939
3240.0;2.0;1816.0;2.0;1778.0;2.0;1856.0;2.0;78.0;4.0;27.72797203063965;1817.4046130192567;1779.4843572060329;1856.2247245602057
3272.0;2.0;1818.0;2.0;1780.0;2.0;1858.0;2.0;78.0;4.0;29.72209930419922;1818.2028314380354;1780.4899922052177;1856.805996621327
3304.0;2.0;1820.0;2.0;1782.0;2.0;1858.0;2.0;76.0;4.0;25.42691993713379;1819.0084002603962;1781.5038074234135;1857.3940349905288
3336.0;2.0;1820.0;2.0;1784.0;2.0;1858.0;2.0;74.0;4.0;24.03981590270996;1819.8214979767076;1782.5260909025371;1857.9889346459813
3368.0;2.0;1820.0;2.0;1784.0;2.0;1858.0;2.0;74.0;4.0;25.815109252929688;1820.6423030773385;1783.5571306845056;1858.5907905658555
3400.0;2.0;1822.0;2.0;1786.0;2.0;1858.0;2.0;72.0;4.0;25.929576873779297;1821.4709940526577;1784.597214811236;1859.1996977283222
3432.0;2.0;1822.0;2.0;1786.0;2.0;1858.0;2.0;72.0;4.0;23.349519729614258;1822.3077493930346;1785.646631324645;1859.8157511115517
3464.0;2.0;1822.0;2.0;1786.0;2.0;1860.0;2.0;74.0;4.0;18.05671501159668;1823.1527475888377;1786.70566826665;1860.439045693715
3496.0;2.0;1824.0;2.0;1788.0;2.0;1860.0;2.0;72.0;4.0;24.102336883544922;1824.006167130436;1787.774613679168;1861.0696764529825
3528.0;2.0;1826.0;2.0;1788.0;2.0;1864.0;2.0;76.0;4.0;16.35725212097168;1824.8681865081987;1788.8537556041156;1861.707738367525
3560.0;2.0;1826.0;2.0;1790.0;2.0;1862.0;2.0;72.0;4.0;16.897022247314453;1825.7389842124942;1789.9433820834101;1862.3533264155133
3592.0;2.0;1828.0;2.0;1792.0;2.0;1864.0;2.0;72.0;4.0;15.001823425292969;1826.6187387336918;1791.0437811589686;1863.0065355751178
3624.0;2.0;1828.0;2.0;1794.0;2.0;1862.0;2.0;68.0;4.0;22.220813751220703;1827.5076285621603;1792.155240872708;1863.6674608245094
3656.0;2.0;1830.0;2.0;1794.0;2.0;1866.0;2.0;72.0;4.0;14.450201988220215;1828.4058321882687;1793.278049266545;1864.3361971418585
3688.0;2.0;1828.0;2.0;1796.0;2.0;1862.0;2.0;66.0;4.0;21.803796768188477;1829.3135281023858;1794.412494382397;1865.0128395053362
3720.0;2.0;1830.0;2.0;1794.0;2.0;1868.0;2.0;74.0;4.0;14.312396049499512;1830.2308947948807;1795.5588642621806;1865.6974828931127
3752.0;2.0;1832.0;2.0;1796.0;2.0;1868.0;2.0;72.0;4.0;14.740562438964844;1831.158110756122;1796.7174469478132;1866.390222283359
3784.0;2.0;1832.0;2.0;1798.0;2.0;1866.0;2.0;68.0;4.0;13.043371200561523;1832.0953544764789;1797.8885304812118;1867.0911526542457
