y-position;y-error;x-position;x-error;left-position;left-error;right-position;right-error;width;width-error;threshold;fitted-x-position;fitted-left-position;fitted-right-position
80.0;1.0;1533.0;1.0;1365.0;1.0;1702.0;1.0;337.0;2.0;2279.23681640625;1533.2554857084758;1365.1664612733396;1701.9747013655506
112.0;1.0;1535.0;1.0;1367.0;1.0;1703.0;1.0;336.0;2.0;2289.588134765625;1535.0737681706128;1367.3376889534363;1703.4340345028777
144.0;1.0;1537.0;1.0;1369.0;1.0;1705.0;1.0;336.0;2.0;2085.56494140625;1536.8743071704023;1369.4890597592191;1704.8778690122472
176.0;1.0;1539.0;1.0;1372.0;1.0;1706.0;1.0;334.0;2.0;1968.5726318359375;1538.6573306914286;1371.6207951611293;1706.3064383123178
208.0;1.0;1540.0;1.0;1374.0;1.0;1707.0;1.0;333.0;2.0;1853.090576171875;1540.423066717277;1373.733116629609;1707.719975821748
240.0;1.0;1542.0;1.0;1376.0;1.0;1709.0;1.0;333.0;2.0;1726.730224609375;1542.171743231532;1375.8262456350997;1709.1187149591956
272.0;1.0;1544.0;1.0;1378.0;1.0;1711.0;1.0;333.0;2.0;1631.7183837890625;1543.9035882177786;1377.9004036480435;1710.5028891433192
304.0;1.0;1546.0;1.0;1380.0;1.0;1712.0;1.0;332.0;2.0;1542.7158203125;1545.6188296596015;1379.955812138882;1711.8727317927774
336.0;1.0;1547.0;1.0;1382.0;1.0;1713.0;1.0;331.0;2.0;1452.2196044921875;1547.3176955405856;1381.9926925780571;1713.2284763262282
368.0;1.0;1549.0;1.0;1384.0;1.0;1715.0;1.0;331.0;2.0;1371.98291015625;1549.0004138443157;1384.0112664360106;1714.57035616233
400.0;1.0;1551.0;1.0;1386.0;1.0;1716.0;1.0;330.0;2.0;1290.100830078125;1550.6672125543766;1386.011755183184;1715.8986047197413
432.0;1.0;1552.0;1.0;1388.0;1.0;1717.0;1.0;329.0;2.0;1225.636962890625;1552.3183196543532;1387.9943802900195;1717.2134554171205
464.0;1.0;1554.0;1.0;1390.0;1.0;1719.0;1.0;329.0;2.0;1162.587158203125;1553.95396312783;1389.9593632269587;1718.5151416731258
496.0;1.0;1556.0;1.0;1392.0;1.0;1720.0;1.0;328.0;2.0;1121.9798583984375;1555.5743709583924;1391.9069254644432;1719.8038969064155
