y-position;y-error;x-position;x-error;left-position;left-error;right-position;right-error;width;width-error;threshold;fitted-x-position;fitted-left-position;fitted-right-position
80.0;2.0;1546.0;2.0;1294.0;2.0;1800.0;2.0;506.0;4.0;62.37577819824219;1547.0494891771248;1293.9964172165057;1800.5697315732998
144.0;2.0;1550.0;2.0;1296.0;2.0;1804.0;2.0;508.0;4.0;64.37950134277344;1549.4024633968115;1297.0897711572823;1802.27389424056
208.0;2.0;1552.0;2.0;1300.0;2.0;1804.0;2.0;504.0;4.0;63.12464904785156;1551.7144600946283;1300.125815427093;1803.9474523488027
272.0;2.0;1554.0;2.0;1304.0;2.0;1804.0;2.0;500.0;4.0;59.12034606933594;1553.9869119755356;1303.1063142105884;1805.5916742959894
336.0;2.0;1556.0;2.0;1306.0;2.0;1808.0;2.0;502.0;4.0;58.55160140991211;1556.2212517444939;1306.0330316924196;1807.2078284800812
400.0;2.0;1558.0;2.0;1308.0;2.0;1808.0;2.0;500.0;4.0;59.50135040283203;1558.4189121064637;1308.9077320572374;1808.7971832990395
464.0;2.0;1562.0;2.0;1312.0;2.0;1812.0;2.0;500.0;4.0;57.21204376220703;1560.5813257664056;1311.7321794896923;1810.3610071508253
528.0;2.0;1564.0;2.0;1316.0;2.0;1812.0;2.0;496.0;4.0;58.439029693603516;1562.7099254292802;1314.508138174435;1811.9005684334002
592.0;2.0;1564.0;2.0;1316.0;2.0;1814.0;2.0;498.0;4.0;57.95303726196289;1564.8061438000482;1317.2373722961165;1813.4171355447252
656.0;2.0;1566.0;2.0;1320.0;2.0;1814.0;2.0;494.0;4.0;55.36497497558594;1566.8714135836697;1319.9216460393875;1814.9119768827618
720.0;2.0;1568.0;2.0;1322.0;2.0;1816.0;2.0;494.0;4.0;54.62666320800781;1568.9071674851054;1322.5627235888985;1816.386360845471
784.0;2.0;1572.0;2.0;1326.0;2.0;1818.0;2.0;492.0;4.0;52.56591796875;1570.9148382093163;1325.1623691293005;1817.8415558308145
848.0;2.0;1572.0;2.0;1328.0;2.0;1818.0;2.0;490.0;4.0;52.8480110168457;1572.8958584612624;1327.7223468452441;1819.278830236753
912.0;2.0;1576.0;2.0;1330.0;2.0;1822.0;2.0;492.0;4.0;52.90122985839844;1574.8516609459043;1330.24442092138;1820.6994524612483
976.0;2.0;1576.0;2.0;1332.0;2.0;1822.0;2.0;490.0;4.0;54.78441619873047;1576.7836783682028;1332.7303555423591;1822.1046909022614
