 ,x-pos,y-pos,mean80,mean60,width50,width30,width10,pos20,pos40,int40,pos60,int60,pos80,int20,width80,mean10,int80,mean50,mean30,mean90,mean70,width60,width40,pos10,width20,pos30,pos50,int50,pos70,int70,width90,int10,pos90,width70,int30,mean40,int90,mean20
1,2061.788,2080.467,294.370,190.548,140.078,151.272,165.969,1882.319,1877.570,12670656.749,1874.259,10640565.057,1865.999,36925097.410,127.031,1042.145,15316683.806,164.595,349.393,302.031,266.063,136.333,148.169,1885.012,158.267,1879.540,1874.325,9443813.215,1868.247,14166520.083,122.595,70846088.398,1859.656,129.993,21648728.187,208.777,15166509.041,569.603
2,2064.495,2237.598,297.357,193.324,139.026,148.308,162.554,1798.458,1801.174,12377964.392,1803.709,10603833.831,1802.327,35944805.821,124.128,1038.742,15118528.390,164.774,346.128,306.676,266.895,133.911,145.085,1798.075,154.536,1799.676,1803.110,9383055.771,1803.948,13996762.261,118.909,69161541.191,1799.164,128.035,21026211.524,208.289,14936672.963,567.866
3,2074.554,2390.985,280.455,180.406,135.095,146.096,159.651,1718.744,1726.324,11559612.679,1738.235,9675913.506,1741.644,33241204.340,119.160,955.749,13688458.292,156.588,326.143,287.095,250.133,130.942,140.366,1715.027,151.946,1723.504,1733.065,8664804.999,1740.298,12714250.305,115.237,62499297.643,1741.216,124.097,19516730.363,201.058,13551167.009,534.107
4,2082.192,2549.528,292.777,189.708,127.485,136.736,150.950,1644.509,1659.335,10920293.392,1673.277,9409159.888,1682.930,31332548.929,111.260,959.843,13342414.625,158.729,329.222,305.251,259.052,121.089,132.769,1633.363,142.485,1648.678,1664.720,8288504.089,1679.931,12389917.111,105.371,59346156.997,1685.383,116.768,18438736.441,200.807,13174619.476,536.866
5,2094.113,2711.973,376.815,237.693,111.680,122.080,134.639,1568.685,1591.442,11716114.378,1612.998,10377656.493,1630.854,33964171.229,95.637,1180.479,14760988.499,196.383,397.300,386.927,334.383,106.592,117.812,1557.842,127.854,1582.805,1602.833,8983343.717,1623.033,13784271.577,91.592,65101062.448,1636.498,100.642,19866578.624,242.791,14515947.780,648.555
6,2104.740,2885.864,441.106,269.534,95.442,106.526,119.526,1499.286,1529.377,11297842.987,1558.990,9949567.238,1583.178,32874043.979,78.406,1278.371,14166132.365,220.256,437.914,457.193,384.941,90.122,101.487,1484.592,112.017,1511.765,1544.388,8610486.657,1571.852,13230040.234,74.277,62586501.321,1592.404,83.909,19107504.713,271.785,13909632.222,716.491
7,2117.142,3073.463,629.507,365.254,69.912,81.755,94.141,1439.541,1477.489,10111792.551,1514.545,9401281.034,1546.603,29792050.228,51.477,1497.146,13273158.788,276.360,513.755,685.409,539.060,62.839,76.360,1421.031,86.438,1458.504,1496.483,7913832.482,1531.506,12557933.615,45.938,57729935.295,1559.569,56.875,17204124.361,323.298,12896649.807,841.464
8,2129.367,3268.484,1339.638,1314.977,31.768,25.854,60.693,1391.892,1433.771,22460470.995,1483.426,16702841.836,1525.148,55727179.610,28.462,3550.135,15617500.925,1384.977,2956.155,1308.103,1310.173,31.011,25.757,1370.396,51.709,1409.122,1459.867,18021326.800,1505.548,16391571.508,25.603,88256363.194,1542.764,30.544,31305676.818,2128.955,13718073.785,2631.123
9,2038.683,1946.204,268.057,176.886,141.443,153.325,165.627,1953.960,1943.353,12132536.967,1933.256,10014383.568,1915.557,35475064.235,129.409,1015.435,14208647.276,155.892,330.966,277.151,240.655,138.220,148.340,1960.404,158.140,1950.409,1938.102,9031617.578,1926.187,13179737.022,124.058,68888151.322,1912.742,133.706,20785344.926,199.680,14083159.796,547.674
10,2029.073,1817.698,269.660,176.406,138.623,147.952,161.919,2021.943,2005.023,12027677.427,1994.837,9664603.791,1973.426,35117754.945,123.928,1019.405,13688232.656,155.522,340.351,279.712,239.149,133.755,144.905,2030.776,154.810,2016.270,2000.568,8830563.497,1983.179,12650266.556,118.882,67608963.359,1963.406,129.143,20625622.234,202.646,13620290.140,553.820
11,2018.191,1685.836,291.184,188.504,129.851,140.754,152.805,2086.527,2065.002,12042344.850,2045.380,9692896.443,2021.748,34744785.478,114.973,1068.864,13712718.686,167.558,356.977,303.842,258.515,125.537,134.866,2098.176,147.412,2076.001,2055.632,8911910.117,2034.187,12635683.535,109.856,66899135.435,2007.476,119.331,20580784.301,217.997,13671971.428,575.435
12,2010.425,1556.545,327.567,205.331,122.063,132.588,144.915,2145.633,2120.207,12294315.770,2093.513,9895309.698,2064.298,35626075.284,104.299,1161.576,13993994.830,182.257,387.380,327.682,279.986,117.656,127.568,2160.040,138.687,2132.329,2107.608,9112287.828,2077.981,12814106.735,103.020,68947646.864,2048.102,111.736,21037823.596,235.289,13827183.610,627.153
13,1999.595,1414.518,372.860,238.851,109.602,119.539,132.942,2208.611,2175.708,12860316.848,2144.774,10246000.342,2110.049,37275207.962,93.433,1335.734,14269358.098,211.311,451.442,393.140,325.154,104.729,114.927,2226.195,126.794,2192.203,2160.510,9486403.169,2127.792,13235399.834,87.883,72734737.827,2090.559,99.377,22103969.536,273.194,14151873.180,717.728
14,1989.392,1270.636,404.339,253.336,97.153,108.083,121.196,2263.725,2226.134,12698244.635,2189.986,9574075.426,2148.555,36647495.865,79.683,1412.314,13196825.382,230.346,490.975,427.443,343.093,92.266,101.504,2285.541,114.487,2245.240,2210.433,9166393.693,2170.053,12247717.583,75.081,70110113.224,2125.831,87.153,21735939.599,305.422,13145168.189,781.496
15,1978.753,1112.722,509.442,314.646,74.866,84.956,98.735,2312.358,2267.558,12264149.103,2223.594,9035371.594,2177.306,34606689.745,59.192,1608.216,12351424.785,287.417,599.766,547.183,435.464,70.107,80.754,2336.118,92.566,2289.635,2245.622,8813657.381,2199.612,11418302.227,55.200,65039461.567,2152.018,64.016,20870649.790,370.776,12371813.945,912.744
