y-position;y-error;x-position;x-error;left-position;left-error;right-position;right-error;width;width-error;threshold;fitted-x-position;fitted-left-position;fitted-right-position
40.0;1.0;1030.0;1.0;850.0;1.0;1211.0;1.0;361.0;2.0;1147.2772216796875;1029.9388460159103;848.5934624002844;1211.8635837727618
56.0;1.0;1031.0;1.0;852.0;1.0;1211.0;1.0;359.0;2.0;1187.4857177734375;1031.3810367074038;850.3016176092999;1213.0386231833795
72.0;1.0;1033.0;1.0;853.0;1.0;1213.0;1.0;360.0;2.0;1112.483154296875;1032.8166966587353;852.0007708197707;1214.209603385416
88.0;1.0;1034.0;1.0;854.0;1.0;1214.0;1.0;360.0;2.0;1077.9674072265625;1034.2458551851387;853.6909693320982;1215.3765358236235
104.0;1.0;1035.0;1.0;856.0;1.0;1215.0;1.0;359.0;2.0;1053.16552734375;1035.6685416018488;855.3722604466844;1216.5394319427553
120.0;1.0;1037.0;1.0;858.0;1.0;1217.0;1.0;359.0;2.0;1013.87841796875;1037.0847852241;857.0446914639309;1217.6983031875636
136.0;1.0;1038.0;1.0;859.0;1.0;1218.0;1.0;359.0;2.0;977.863037109375;1038.4946153671267;858.7083096842397;1218.8531610028017
152.0;1.0;1040.0;1.0;861.0;1.0;1219.0;1.0;358.0;2.0;947.3424682617188;1039.898061346163;860.3631624080123;1220.0040168332218
168.0;1.0;1041.0;1.0;863.0;1.0;1220.0;1.0;357.0;2.0;920.3129272460938;1041.2951524764437;862.0092969356506;1221.1508821235773
184.0;1.0;1043.0;1.0;864.0;1.0;1222.0;1.0;358.0;2.0;888.8948974609375;1042.6859180732029;863.6467605675562;1222.2937683186203
200.0;1.0;1044.0;1.0;866.0;1.0;1223.0;1.0;357.0;2.0;867.2317504882812;1044.0703874516753;865.275600604131;1223.432686863104
216.0;1.0;1046.0;1.0;868.0;1.0;1224.0;1.0;356.0;2.0;844.11865234375;1045.448589927095;866.8958643457768;1224.5676492017808
232.0;1.0;1047.0;1.0;869.0;1.0;1225.0;1.0;356.0;2.0;811.8684692382812;1046.8205548146966;868.5075990928952;1225.6986667794038
248.0;1.0;1048.0;1.0;871.0;1.0;1226.0;1.0;355.0;2.0;786.5326538085938;1048.1863114297146;870.1108521458882;1226.8257510407254
264.0;1.0;1049.0;1.0;872.0;1.0;1227.0;1.0;355.0;2.0;762.72119140625;1049.5458890873833;871.7056708051573;1227.9489134304986
280.0;1.0;1051.0;1.0;873.0;1.0;1229.0;1.0;356.0;2.0;737.6070556640625;1050.899317102937;873.2921023711043;1229.068165393476
296.0;1.0;1052.0;1.0;875.0;1.0;1230.0;1.0;355.0;2.0;720.0137939453125;1052.24662479161;874.8701941441311;1230.1835183744106
312.0;1.0;1054.0;1.0;877.0;1.0;1231.0;1.0;354.0;2.0;705.4663696289062;1053.5878414686372;876.4399934246393;1231.2949838180548
328.0;1.0;1055.0;1.0;878.0;1.0;1232.0;1.0;354.0;2.0;688.9871826171875;1054.9229964492524;878.0015475130308;1232.4025731691618
344.0;1.0;1056.0;1.0;880.0;1.0;1233.0;1.0;353.0;2.0;661.5523071289062;1056.2521190486905;879.5549037097073;1233.5062978724839
360.0;1.0;1058.0;1.0;881.0;1.0;1235.0;1.0;354.0;2.0;649.7590942382812;1057.5752385821856;881.1001093150705;1234.606169372774
376.0;1.0;1059.0;1.0;883.0;1.0;1236.0;1.0;353.0;2.0;623.6083374023438;1058.8923843649723;882.6372116295222;1235.702199114785
392.0;1.0;1060.0;1.0;884.0;1.0;1237.0;1.0;353.0;2.0;616.5275268554688;1060.2035857122848;884.1662579534642;1236.7943985432694
408.0;1.0;1062.0;1.0;886.0;1.0;1238.0;1.0;352.0;2.0;599.65771484375;1061.5088719393577;885.6872955872983;1237.88277910298
424.0;1.0;1063.0;1.0;887.0;1.0;1239.0;1.0;352.0;2.0;580.27783203125;1062.8082723614255;887.2003718314261;1238.9673522386697
440.0;1.0;1064.0;1.0;888.0;1.0;1240.0;1.0;352.0;2.0;570.5056762695312;1064.1018162937223;888.7055339862494;1240.0481293950913
456.0;1.0;1065.0;1.0;890.0;1.0;1241.0;1.0;351.0;2.0;556.6683959960938;1065.3895330514827;890.20282935217;1241.1251220169972
