y-position;y-error;x-position;x-error;left-position;left-error;right-position;right-error;width;width-error;threshold;fitted-x-position;fitted-left-position;fitted-right-position
40.0;1.0;1986.0;1.0;1938.0;1.0;2034.0;1.0;96.0;2.0;492.8165283203125;1985.8840103379255;1938.6919133929691;2033.4894646065827
56.0;1.0;1986.0;1.0;1939.0;1.0;2034.0;1.0;95.0;2.0;538.96923828125;1986.2994890794027;1939.2204808633246;2033.7942799634682
72.0;1.0;1987.0;1.0;1940.0;1.0;2034.0;1.0;94.0;2.0;493.57537841796875;1986.7116326488494;1939.7457232052457;2034.0957047560667
88.0;1.0;1987.0;1.0;1940.0;1.0;2034.0;1.0;94.0;2.0;490.2498474121094;1987.1204724259344;1940.2676709535538;2034.3937715785555
104.0;1.0;1988.0;1.0;1941.0;1.0;2035.0;1.0;94.0;2.0;487.87469482421875;1987.5260397903273;1940.7863546430704;2034.6885130251112
120.0;1.0;1988.0;1.0;1942.0;1.0;2035.0;1.0;93.0;2.0;481.2969665527344;1987.928366121697;1941.3018048086171;2034.9799616899115
136.0;1.0;1988.0;1.0;1942.0;1.0;2035.0;1.0;93.0;2.0;445.0546875;1988.327482799713;1941.814051985015;2035.268150167133
152.0;1.0;1989.0;1.0;1942.0;1.0;2036.0;1.0;94.0;2.0;429.9881286621094;1988.723421204044;1942.3231267070864;2035.553111050953
168.0;1.0;1989.0;1.0;1943.0;1.0;2036.0;1.0;93.0;2.0;417.34844970703125;1989.1162127143593;1942.829059509652;2035.8348769355487
184.0;1.0;1990.0;1.0;1944.0;1.0;2036.0;1.0;92.0;2.0;400.7451171875;1989.5058887103287;1943.3318809275336;2036.113480415097
200.0;1.0;1990.0;1.0;1944.0;1.0;2036.0;1.0;92.0;2.0;391.0526123046875;1989.8924805716206;1943.8316214955528;2036.3889540837752
216.0;1.0;1990.0;1.0;1944.0;1.0;2036.0;1.0;92.0;2.0;378.56549072265625;1990.2760196779045;1944.328311748531;2036.6613305357603
232.0;1.0;1991.0;1.0;1945.0;1.0;2037.0;1.0;92.0;2.0;360.9482421875;1990.6565374088495;1944.8219822212893;2036.9306423652292
248.0;1.0;1991.0;1.0;1945.0;1.0;2037.0;1.0;92.0;2.0;355.5498046875;1991.0340651441252;1945.3126634486498;2037.1969221663594
264.0;1.0;1992.0;1.0;1946.0;1.0;2038.0;1.0;92.0;2.0;352.1357421875;1991.4086342634;1945.8003859654336;2037.4602025333277
280.0;1.0;1992.0;1.0;1946.0;1.0;2038.0;1.0;92.0;2.0;329.79638671875;1991.7802761463438;1946.2851803064625;2037.7205160603112
