y-position;y-error;x-position;x-error;left-position;left-error;right-position;right-error;width;width-error;threshold;fitted-x-position;fitted-left-position;fitted-right-position
40.0;1.0;2058.0;1.0;1774.0;1.0;2342.0;1.0;568.0;2.0;271.03509521484375;2055.1797128440826;1775.505698306134;2335.4544382072436
56.0;1.0;2058.0;1.0;1776.0;1.0;2340.0;1.0;564.0;2.0;293.17706298828125;2055.639117058434;1776.0923952697046;2335.781762866761
72.0;1.0;2058.0;1.0;1775.0;1.0;2342.0;1.0;567.0;2.0;276.27593994140625;2056.0974109749905;1776.6769033998828;2336.1091464543483
88.0;1.0;2058.0;1.0;1776.0;1.0;2340.0;1.0;564.0;2.0;272.9682312011719;2056.5545700648076;1777.2592369924027;2336.436524927577
104.0;1.0;2059.0;1.0;1777.0;1.0;2341.0;1.0;564.0;2.0;262.4927978515625;2057.0105697989416;1777.8394103429973;2336.763834244016
120.0;1.0;2060.0;1.0;1778.0;1.0;2342.0;1.0;564.0;2.0;258.3968505859375;2057.4653856484483;1778.4174377474003;2337.091010361236
136.0;1.0;2060.0;1.0;1779.0;1.0;2342.0;1.0;563.0;2.0;251.23321533203125;2057.918993084384;1778.9933335013457;2337.417989236807
152.0;1.0;2060.0;1.0;1779.0;1.0;2342.0;1.0;563.0;2.0;246.06021118164062;2058.3713675778044;1779.5671119005663;2337.744706828299
168.0;1.0;2061.0;1.0;1780.0;1.0;2342.0;1.0;562.0;2.0;238.22862243652344;2058.822484599766;1780.1387872407963;2338.0710990932826
184.0;1.0;2060.0;1.0;1780.0;1.0;2341.0;1.0;561.0;2.0;232.88421630859375;2059.2723196213246;1780.7083738177691;2338.397101989327
200.0;1.0;2061.0;1.0;1781.0;1.0;2342.0;1.0;561.0;2.0;230.82078552246094;2059.720848113536;1781.275885927218;2338.722651474003
216.0;1.0;2062.0;1.0;1782.0;1.0;2342.0;1.0;560.0;2.0;221.53636169433594;2060.1680455474566;1781.841337864877;2339.047683504881
232.0;1.0;2062.0;1.0;1782.0;1.0;2343.0;1.0;561.0;2.0;213.8079833984375;2060.6138873941422;1782.4047439264793;2339.372134039531
248.0;1.0;2062.0;1.0;1783.0;1.0;2342.0;1.0;559.0;2.0;210.06442260742188;2061.0583491246493;1782.9661184077588;2339.6959390355223
264.0;1.0;2062.0;1.0;1783.0;1.0;2342.0;1.0;559.0;2.0;208.26345825195312;2061.501406210033;1783.5254756044487;2340.019034450426
280.0;1.0;2064.0;1.0;1784.0;1.0;2344.0;1.0;560.0;2.0;202.81956481933594;2061.9430341213506;1784.0828298122829;2340.3413562418114
296.0;1.0;2064.0;1.0;1785.0;1.0;2344.0;1.0;559.0;2.0;199.39524841308594;2062.383208329657;1784.6381953269947;2340.6628403672494
312.0;1.0;2065.0;1.0;1786.0;1.0;2344.0;1.0;558.0;2.0;196.78028869628906;2062.8219043060085;1785.191586444318;2340.9834227843094
328.0;1.0;2065.0;1.0;1786.0;1.0;2344.0;1.0;558.0;2.0;188.21861267089844;2063.2590975214616;1785.743017459986;2341.303039450562
344.0;1.0;2064.0;1.0;1786.0;1.0;2343.0;1.0;557.0;2.0;186.35986328125;2063.694763447072;1786.2925026697326;2341.6216263235774
360.0;1.0;2065.0;1.0;1787.0;1.0;2343.0;1.0;556.0;2.0;179.8640594482422;2064.128877553896;1786.840056369291;2341.939119360926
376.0;1.0;2066.0;1.0;1789.0;1.0;2344.0;1.0;555.0;2.0;177.04273986816406;2064.5614153129895;1787.385692854395;2342.255454520177
