y-position;y-error;x-position;x-error;left-position;left-error;right-position;right-error;width;width-error;threshold;fitted-x-position;fitted-left-position;fitted-right-position
2088.0;1.0;1376.0;1.0;1280.0;1.0;1472.0;1.0;192.0;2.0;122.17543029785156;1375.638742920648;1280.3037309977672;1471.3670190065766
2104.0;1.0;1375.0;1.0;1280.0;1.0;1471.0;1.0;191.0;2.0;75.55557250976562;1375.6410627458263;1280.436773624281;1471.2529880559582
2120.0;1.0;1376.0;1.0;1281.0;1.0;1471.0;1.0;190.0;2.0;49.36591720581055;1375.644981413088;1280.5703233682214;1471.1410794540484
2136.0;1.0;1376.0;1.0;1280.0;1.0;1472.0;1.0;192.0;2.0;34.46717071533203;1375.6504915956477;1280.7043890221264;1471.0312787996124
2152.0;1.0;1376.0;1.0;1281.0;1.0;1471.0;1.0;190.0;2.0;29.355161666870117;1375.65758596672;1280.8389793785332;1470.9235716914152
2168.0;1.0;1375.0;1.0;1281.0;1.0;1470.0;1.0;189.0;2.0;27.737266540527344;1375.66625719952;1280.9741032299796;1470.8179437282222
2184.0;1.0;1375.0;1.0;1280.0;1.0;1471.0;1.0;191.0;2.0;22.558734893798828;1375.6764979672623;1281.109769369003;1470.7143805087985
2200.0;1.0;1376.0;1.0;1281.0;1.0;1471.0;1.0;190.0;2.0;22.127931594848633;1375.6883009431617;1281.2459865881408;1470.6128676319095
2216.0;1.0;1376.0;1.0;1282.0;1.0;1471.0;1.0;189.0;2.0;20.114559173583984;1375.701658800433;1281.3827636799308;1470.5133906963204
2232.0;1.0;1376.0;1.0;1282.0;1.0;1471.0;1.0;189.0;2.0;21.577123641967773;1375.716564212291;1281.5201094369104;1470.415935300796
2248.0;1.0;1376.0;1.0;1282.0;1.0;1470.0;1.0;188.0;2.0;22.08611297607422;1375.7330098519503;1281.6580326516173;1470.320487044102
2264.0;1.0;1376.0;1.0;1283.0;1.0;1470.0;1.0;187.0;2.0;21.862998962402344;1375.750988392626;1281.7965421165889;1470.2270315250034
2280.0;1.0;1376.0;1.0;1282.0;1.0;1470.0;1.0;188.0;2.0;19.21443748474121;1375.7704925075325;1281.9356466243626;1470.1355543422653
2296.0;1.0;1375.0;1.0;1282.0;1.0;1469.0;1.0;187.0;2.0;20.48114013671875;1375.7915148698848;1282.0753549674762;1470.0460410946532
2312.0;1.0;1376.0;1.0;1283.0;1.0;1469.0;1.0;186.0;2.0;20.37484359741211;1375.8140481528978;1282.2156759384673;1469.9584773809322
2328.0;1.0;1376.0;1.0;1282.0;1.0;1471.0;1.0;189.0;2.0;18.89399528503418;1375.838085029786;1282.356618329873;1469.8728487998671
2344.0;1.0;1376.0;1.0;1283.0;1.0;1470.0;1.0;187.0;2.0;18.2954044342041;1375.8636181737643;1282.4981909342312;1469.7891409502238
2360.0;1.0;1376.0;1.0;1283.0;1.0;1469.0;1.0;186.0;2.0;17.928016662597656;1375.8906402580476;1282.6404025440793;1469.707339430767
2376.0;1.0;1376.0;1.0;1283.0;1.0;1470.0;1.0;187.0;2.0;17.06947135925293;1375.9191439558504;1282.7832619519552;1469.6274298402623
2392.0;1.0;1376.0;1.0;1283.0;1.0;1469.0;1.0;186.0;2.0;16.383045196533203;1375.9491219403878;1282.9267779503957;1469.5493977774745
2408.0;1.0;1377.0;1.0;1284.0;1.0;1470.0;1.0;186.0;2.0;14.711899757385254;1375.9805668848744;1283.070959331939;1469.473228841169
2424.0;1.0;1376.0;1.0;1282.0;1.0;1470.0;1.0;188.0;2.0;13.529577255249023;1376.0134714625249;1283.2158148891226;1469.3989086301108
2440.0;1.0;1376.0;1.0;1283.0;1.0;1470.0;1.0;187.0;2.0;13.191539764404297;1376.0478283465543;1283.3613534144838;1469.3264227430657
2456.0;1.0;1375.0;1.0;1282.0;1.0;1469.0;1.0;187.0;2.0;13.785234451293945;1376.0836302101773;1283.5075837005602;1469.2557567787983
2472.0;1.0;1376.0;1.0;1284.0;1.0;1469.0;1.0;185.0;2.0;14.188762664794922;1376.1208697266084;1283.654514539889;1469.186896336074
2488.0;1.0;1376.0;1.0;1285.0;1.0;1467.0;1.0;182.0;2.0;13.471341133117676;1376.1595395690629;1283.8021547250084;1469.119827013658
2504.0;1.0;1377.0;1.0;1284.0;1.0;1470.0;1.0;186.0;2.0;13.118342399597168;1376.1996324107552;1283.9505130484558;1469.054534410316
2520.0;1.0;1376.0;1.0;1284.0;1.0;1469.0;1.0;185.0;2.0;13.596555709838867;1376.2411409249;1284.0995983027683;1468.9910041248122
2536.0;1.0;1375.0;1.0;1284.0;1.0;1467.0;1.0;183.0;2.0;15.538301467895508;1376.2840577847123;1284.2494192804838;1468.9292217559125
2552.0;1.0;1376.0;1.0;1284.0;1.0;1469.0;1.0;185.0;2.0;13.592988014221191;1376.328375663407;1284.3999847741397;1468.8691729023822
2568.0;1.0;1376.0;1.0;1284.0;1.0;1468.0;1.0;184.0;2.0;14.468829154968262;1376.3740872341987;1284.5513035762738;1468.8108431629862
2584.0;1.0;1376.0;1.0;1284.0;1.0;1468.0;1.0;184.0;2.0;15.186389923095703;1376.4211851703021;1284.7033844794232;1468.7542181364897
2600.0;1.0;1376.0;1.0;1285.0;1.0;1468.0;1.0;183.0;2.0;15.793892860412598;1376.469662144932;1284.8562362761259;1468.699283421658
2616.0;1.0;1376.0;1.0;1284.0;1.0;1469.0;1.0;185.0;2.0;16.001243591308594;1376.5195108313035;1285.009867758919;1468.6460246172562
2632.0;1.0;1377.0;1.0;1286.0;1.0;1469.0;1.0;183.0;2.0;15.868486404418945;1376.570723902631;1285.1642877203403;1468.5944273220498
2648.0;1.0;1377.0;1.0;1286.0;1.0;1469.0;1.0;183.0;2.0;16.193500518798828;1376.6232940321293;1285.3195049529274;1468.5444771348039
2664.0;1.0;1377.0;1.0;1286.0;1.0;1469.0;1.0;183.0;2.0;17.6463565826416;1376.6772138930132;1285.4755282492179;1468.4961596542835
2680.0;1.0;1377.0;1.0;1285.0;1.0;1469.0;1.0;184.0;2.0;17.640783309936523;1376.7324761584978;1285.6323664017489;1468.449460479254
2696.0;1.0;1377.0;1.0;1285.0;1.0;1469.0;1.0;184.0;2.0;18.473575592041016;1376.7890735017977;1285.7900282030582;1468.4043652084806
2712.0;1.0;1376.0;1.0;1285.0;1.0;1468.0;1.0;183.0;2.0;18.536224365234375;1376.8469985961274;1285.9485224456835;1468.3608594407283
2728.0;1.0;1377.0;1.0;1287.0;1.0;1468.0;1.0;181.0;2.0;21.90737533569336;1376.906244114702;1286.1078579221623;1468.3189287747625
2744.0;1.0;1377.0;1.0;1285.0;1.0;1469.0;1.0;184.0;2.0;20.400833129882812;1376.9668027307362;1286.268043425032;1468.2785588093486
2760.0;1.0;1376.0;1.0;1286.0;1.0;1467.0;1.0;181.0;2.0;24.548837661743164;1377.0286671174447;1286.42908774683;1468.2397351432514
2776.0;1.0;1377.0;1.0;1288.0;1.0;1467.0;1.0;179.0;2.0;24.409740447998047;1377.0918299480425;1286.5909996800942;1468.2024433752363
2792.0;1.0;1377.0;1.0;1287.0;1.0;1468.0;1.0;181.0;2.0;24.1018009185791;1377.1562838957439;1286.753788017362;1468.1666691040687
2808.0;1.0;1377.0;1.0;1286.0;1.0;1469.0;1.0;183.0;2.0;23.669015884399414;1377.2220216337641;1286.9174615511708;1468.1323979285132
2824.0;1.0;1378.0;1.0;1288.0;1.0;1469.0;1.0;181.0;2.0;25.580835342407227;1377.289035835318;1287.0820290740583;1468.0996154473357
2840.0;1.0;1377.0;1.0;1287.0;1.0;1468.0;1.0;181.0;2.0;28.29064178466797;1377.35731917362;1287.247499378562;1468.0683072593013
2856.0;1.0;1378.0;1.0;1288.0;1.0;1468.0;1.0;180.0;2.0;28.88810157775879;1377.426864321885;1287.4138812572194;1468.038458963175
2872.0;1.0;1378.0;1.0;1288.0;1.0;1469.0;1.0;181.0;2.0;28.774093627929688;1377.4976639533277;1287.5811835025681;1468.0100561577217
2888.0;1.0;1378.0;1.0;1288.0;1.0;1468.0;1.0;180.0;2.0;33.3944206237793;1377.5697107411631;1287.7494149071458;1467.9830844417072
2904.0;1.0;1378.0;1.0;1288.0;1.0;1469.0;1.0;181.0;2.0;30.626502990722656;1377.642997358606;1287.9185842634897;1467.9575294138965
2920.0;1.0;1378.0;1.0;1289.0;1.0;1467.0;1.0;178.0;2.0;36.5871696472168;1377.717516478871;1288.0887003641374;1467.9333766730547
2936.0;1.0;1377.0;1.0;1287.0;1.0;1468.0;1.0;181.0;2.0;35.06040954589844;1377.7932607751727;1288.2597720016267;1467.910611817947
2952.0;1.0;1378.0;1.0;1288.0;1.0;1469.0;1.0;181.0;2.0;35.49214553833008;1377.8702229207263;1288.431807968495;1467.8892204473389
