y-position;y-error;x-position;x-error;left-position;left-error;right-position;right-error;width;width-error;threshold;fitted-x-position;fitted-left-position;fitted-right-position
80.0;1.0;3107.0;1.0;2786.0;1.0;3428.0;1.0;642.0;2.0;868.7272338867188;3107.5392942163908;2787.316953120497;3428.245534516133
112.0;1.0;3107.0;1.0;2787.0;1.0;3427.0;1.0;640.0;2.0;828.2302856445312;3107.0668916376712;2787.24194673709;3427.381469497849
144.0;1.0;3106.0;1.0;2787.0;1.0;3426.0;1.0;639.0;2.0;757.5211791992188;3106.6007000711397;2787.1706990975767;3426.5256272179918
176.0;1.0;3106.0;1.0;2787.0;1.0;3426.0;1.0;639.0;2.0;704.1240234375;3106.140937343357;2787.1033890714707;3425.678274362211
208.0;1.0;3106.0;1.0;2787.0;1.0;3425.0;1.0;638.0;2.0;653.645751953125;3105.687821280884;2787.040195528285;3424.839677616156
240.0;1.0;3105.0;1.0;2787.0;1.0;3424.0;1.0;637.0;2.0;606.09716796875;3105.24156971028;2786.9812973375333;3424.010103665477
272.0;1.0;3105.0;1.0;2787.0;1.0;3423.0;1.0;636.0;2.0;562.7507934570312;3104.8024004581066;2786.9268733687295;3423.189819195823
304.0;1.0;3105.0;1.0;2787.0;1.0;3423.0;1.0;636.0;2.0;526.494384765625;3104.370531350924;2786.8771024913863;3422.3790908928436
336.0;1.0;3104.0;1.0;2787.0;1.0;3422.0;1.0;635.0;2.0;492.45819091796875;3103.9461802152928;2786.832163575017;3421.5781854421894
368.0;1.0;3103.0;1.0;2786.0;1.0;3421.0;1.0;635.0;2.0;462.67425537109375;3103.529564877773;2786.792235489136;3420.7873695295093
400.0;1.0;3104.0;1.0;2787.0;1.0;3421.0;1.0;634.0;2.0;432.0081787109375;3103.1209031649255;2786.757497103256;3420.006909840453
432.0;1.0;3102.0;1.0;2786.0;1.0;3419.0;1.0;633.0;2.0;407.6969909667969;3102.720412903311;2786.7281272868904;3419.2370730606704
464.0;1.0;3102.0;1.0;2787.0;1.0;3418.0;1.0;631.0;2.0;384.06695556640625;3102.32831191949;2786.704304909553;3418.478125875811
496.0;1.0;3102.0;1.0;2787.0;1.0;3418.0;1.0;631.0;2.0;361.255859375;3101.9448180400227;2786.6862088407565;3417.730334971525
528.0;1.0;3102.0;1.0;2787.0;1.0;3417.0;1.0;630.0;2.0;342.4704895019531;3101.5701490914694;2786.674017950015;3416.993967033461
560.0;1.0;3101.0;1.0;2786.0;1.0;3416.0;1.0;630.0;2.0;324.0062255859375;3101.204522900391;2786.6679111068415;3416.2692887472695
592.0;1.0;3101.0;1.0;2787.0;1.0;3416.0;1.0;629.0;2.0;306.642578125;3100.8481572933483;2786.66806718075;3415.5565667986
624.0;1.0;3101.0;1.0;2787.0;1.0;3415.0;1.0;628.0;2.0;291.3497009277344;3100.5012700969014;2786.6746650412533;3414.8560678731023
656.0;1.0;3100.0;1.0;2787.0;1.0;3414.0;1.0;627.0;2.0;278.55517578125;3100.1640791376108;2786.6878835578655;3414.1680586564257
688.0;1.0;3100.0;1.0;2787.0;1.0;3414.0;1.0;627.0;2.0;268.3817443847656;3099.8368022420373;2786.707901600099;3413.49280583422
720.0;1.0;3100.0;1.0;2787.0;1.0;3413.0;1.0;626.0;2.0;255.0475311279297;3099.519657236741;2786.734898037468;3412.830576092135
752.0;1.0;3099.0;1.0;2787.0;1.0;3412.0;1.0;625.0;2.0;241.44007873535156;3099.2128619482824;2786.769051739486;3412.1816361158203
784.0;1.0;3099.0;1.0;2787.0;1.0;3412.0;1.0;625.0;2.0;230.16262817382812;3098.9166342032227;2786.8105415756654;3411.546252590925
816.0;1.0;3099.0;1.0;2787.0;1.0;3411.0;1.0;624.0;2.0;220.61672973632812;3098.6311918281212;2786.859546415521;3410.9246922031
848.0;1.0;3098.0;1.0;2787.0;1.0;3410.0;1.0;623.0;2.0;211.6038055419922;3098.35675264954;2786.916245128565;3410.317221637994
880.0;1.0;3098.0;1.0;2787.0;1.0;3410.0;1.0;623.0;2.0;201.376220703125;3098.0935344940385;2786.9808165843115;3409.724107581257
912.0;1.0;3098.0;1.0;2787.0;1.0;3409.0;1.0;622.0;2.0;193.56105041503906;3097.841755188177;2787.053439652274;3409.145616718539
944.0;1.0;3098.0;1.0;2788.0;1.0;3408.0;1.0;620.0;2.0;184.9740447998047;3097.6016325585174;2787.1342932019656;3408.5820157354883
976.0;1.0;3097.0;1.0;2788.0;1.0;3407.0;1.0;619.0;2.0;179.54006958007812;3097.3733844316184;2787.2235561028997;3408.0335713177565
1008.0;1.0;3097.0;1.0;2787.0;1.0;3407.0;1.0;620.0;2.0;170.65115356445312;3097.157228634042;2787.32140722459;3407.500550150992
1040.0;1.0;3097.0;1.0;2788.0;1.0;3406.0;1.0;618.0;2.0;165.64097595214844;3096.953382992348;2787.42802543655;3406.9832189208446
