X,Y
450,4147.466
455,3972.307
460,3790.646
465,3641.385
470,3493.531
475,3367.781
480,3216.138
485,3086.434
490,2974.905
495,2871.753
500,2748.762
505,2653.116
510,2552.940
515,2512.870
520,2513.803
525,2594.320
530,2638.570
535,2597.392
540,2540.782
545,2426.094
550,2378.788
555,2343.701
560,2327.002
565,2325.134
570,2292.179
575,2264.017
580,2203.941
585,2107.321
590,2041.453
595,1979.612
600,1933.845
605,1882.507
610,1826.734
615,1778.707
620,1729.086
625,1670.581
630,1630.447
635,1578.227
640,1531.008
645,1492.614
650,1446.741
655,1401.667
660,1366.497
665,1327.315
670,1284.930
675,1248.505
680,1215.393
685,1188.651
690,1215.743
695,2228.824
700,2620.602
705,3038.675
710,3525.145
715,2895.567
720,2900.501
725,2842.615
730,2723.712
735,2713.836
740,2704.055
745,2670.860
750,2654.699
