X,Y
450,9997.549
455,9573.436
460,9157.170
465,8748.330
470,8374.784
475,8023.751
480,7676.425
485,7349.493
490,7036.029
495,6754.951
500,6467.006
505,6205.249
510,5949.921
515,5705.974
520,5611.068
525,6085.673
530,6293.665
535,6439.308
540,6542.222
545,6318.462
550,6406.936
555,6534.314
560,6555.061
565,6432.880
570,6304.635
575,6203.598
580,6112.437
585,5995.592
590,5869.648
595,5740.916
600,5623.196
605,5506.698
610,5377.519
615,5243.944
620,5111.861
625,4979.115
630,4849.596
635,4722.671
640,4588.071
645,4462.793
650,4336.349
655,4208.934
660,4097.600
665,3978.948
670,3862.124
675,3747.684
680,3642.705
685,3543.194
690,3443.151
695,3353.431
700,3265.246
705,3179.270
710,3095.512
715,3009.332
720,2931.343
725,2853.126
730,2780.759
735,2708.688
740,2643.210
745,2570.437
750,2503.039
