X,Y
535.262,240733
535.311,240733
535.359,240733
535.408,240733
535.457,240733
535.506,240733
535.554,240733
535.603,240733
535.652,240733
535.701,241037
535.749,240699
535.798,237257
535.847,235708
535.896,236660
535.944,235920
535.993,235669
536.042,236581
536.091,238015
536.139,237633
536.188,236508
536.237,236213
536.286,235844
536.334,236504
536.383,236290
536.432,237486
536.481,237197
536.529,238723
536.578,239644
536.627,239236
536.676,239066
536.724,241168
536.773,239136
536.822,238187
536.871,236618
536.919,239408
536.968,241063
537.017,241799
537.066,240904
537.114,240092
537.163,240735
537.212,241623
537.260,240779
537.309,241302
537.358,241681
537.407,241748
537.456,242484
537.504,242896
537.553,243801
537.602,244036
537.651,243754
537.699,243615
537.748,244697
537.797,245129
537.846,244861
537.894,246272
537.943,248022
537.992,248473
538.041,249011
538.089,249124
538.138,250193
538.187,251849
538.235,251861
538.284,251350
538.333,253735
538.382,254096
538.430,253298
538.479,253450
538.528,255063
538.577,255354
538.625,256539
538.674,258501
538.723,258431
538.772,257761
538.820,257187
538.869,257793
538.918,259170
538.967,259573
539.016,262820
539.064,262984
539.113,261486
539.162,262068
539.210,261823
539.259,261949
539.308,262725
539.357,263303
539.405,261511
539.454,263230
539.503,263165
539.552,263839
539.600,266175
539.649,266182
539.698,266537
539.747,265311
539.795,265315
539.844,265150
539.893,266133
539.942,264380
539.990,265061
540.039,266022
540.088,265252
540.137,264541
540.185,265602
540.234,265862
540.283,265888
540.332,266120
540.380,264992
540.429,265069
540.478,266117
540.527,265676
540.575,265061
540.624,265094
540.673,264626
540.722,266883
540.770,265326
540.819,265716
540.868,266550
540.917,264933
540.965,266728
541.014,265263
541.063,264694
541.112,263990
541.160,265169
541.209,264821
541.258,264195
541.307,263218
541.355,264115
541.404,263614
541.453,264180
541.502,262541
541.550,263641
541.599,262825
541.648,260584
541.697,261564
541.745,262257
541.794,261990
541.843,259677
541.892,261002
541.940,261765
541.989,262779
542.038,262039
542.087,261899
542.135,262631
542.184,262352
542.233,263071
542.282,263211
542.330,263018
542.379,261851
542.428,260886
542.477,261423
542.525,261039
542.574,263059
542.623,262127
542.672,261460
542.720,261351
542.769,260405
542.818,261216
542.867,261707
542.915,261878
542.964,261629
543.013,261424
543.062,260593
543.110,260026
543.159,260090
543.208,260018
543.257,259558
543.305,258680
543.354,258567
543.403,257892
543.452,258270
543.500,258597
543.549,257318
543.598,257541
543.647,256936
543.695,256334
543.744,258913
543.793,258576
543.842,257493
543.890,256042
543.939,256445
543.988,255673
544.037,253268
544.085,253617
544.134,252827
544.183,253424
544.232,254422
544.280,255003
544.329,254695
544.378,254753
544.427,255034
544.475,254860
544.524,254626
544.573,254158
544.622,252492
544.670,250737
544.719,250664
544.768,251724
544.817,251628
