X,Y
450,2487.340
455,2385.545
460,2291.639
465,2193.750
470,2108.672
475,2018.054
480,1935.891
485,1858.591
490,1771.910
495,1712.736
500,1647.367
505,1589.022
510,1525.800
515,1560.527
520,1715.177
525,1936.685
530,2156.087
535,2190.296
540,2115.560
545,2012.780
550,1924.079
555,1947.076
560,2967.042
565,4717.339
570,6356.883
575,7623.910
580,7495.171
585,6431.563
590,5511.618
595,4949.331
600,4821.917
605,4712.873
610,4619.980
615,4533.948
620,4429.754
625,4340.819
630,4257.601
635,4141.771
640,4020.431
645,3886.936
650,3781.256
655,3708.676
660,3616.906
665,3542.639
670,3437.199
675,3351.440
680,3313.819
685,3289.245
690,3289.483
695,3370.190
700,3370.675
705,3311.368
710,3234.600
715,3094.484
720,2994.955
725,2908.249
730,2845.248
735,2795.861
740,2743.535
745,2707.441
750,2651.057
