X,Y
450,5589.553
455,5357.027
460,5134.335
465,4914.296
470,4706.300
475,4530.490
480,4351.635
485,4150.808
490,3981.613
495,3842.833
500,3688.673
505,3554.264
510,3418.146
515,3278.754
520,3173.580
525,3096.265
530,3021.831
535,2932.195
540,2831.628
545,2731.305
550,2629.531
555,2584.272
560,3211.805
565,4128.021
570,5220.194
575,6141.055
580,6173.944
585,6035.608
590,5752.271
595,5753.717
600,5844.607
605,5774.195
610,5707.982
615,5625.762
620,5667.537
625,5734.550
630,5784.272
635,5789.731
640,5749.049
645,5676.750
650,5601.670
655,5542.922
660,5459.722
665,5359.877
670,5260.361
675,5197.878
680,5164.910
685,5158.600
690,5101.093
695,5055.439
700,4992.806
705,4910.630
710,4858.515
715,4749.511
720,4667.843
725,4598.108
730,4500.320
735,4424.280
740,4375.951
745,4302.211
750,4245.963
