X,Y
450,2814.034
455,2695.631
460,2583.838
465,2483.593
470,2381.169
475,2285.184
480,2194.563
485,2112.573
490,2025.881
495,1947.226
500,1874.085
505,1797.901
510,1741.178
515,1722.629
520,1765.142
525,1857.657
530,1953.247
535,1932.993
540,1881.256
545,1808.429
550,1744.814
555,1745.226
560,2770.160
565,4316.623
570,5931.818
575,7196.232
580,7039.389
585,6363.727
590,5534.368
595,5118.138
600,4990.857
605,4887.499
610,4756.377
615,4643.333
620,4591.297
625,4552.225
630,4518.685
635,4444.021
640,4329.061
645,4209.803
650,4099.354
655,4005.844
660,3921.280
665,3822.971
670,3711.325
675,3646.341
680,3610.310
685,3601.380
690,3579.109
695,3606.106
700,3561.337
705,3500.314
710,3437.437
715,3324.838
720,3226.413
725,3149.601
730,3079.073
735,3024.437
740,2979.393
745,2934.616
750,2885.676
