X,Y
0.000,0.00000
1.063,0.00000
2.126,0.00000
3.189,0.00000
4.252,0.00000
5.315,0.00000
6.378,0.00000
7.441,0.00000
8.504,0.00000
9.567,0.00000
10.630,0.00000
11.693,0.00002
12.756,0.00115
13.819,0.00590
14.882,0.01409
15.945,0.02181
17.008,0.02911
18.071,0.03756
19.134,0.05462
20.197,0.10747
21.260,0.21997
22.323,0.36475
23.386,0.49495
24.449,0.61025
25.512,0.72986
26.575,0.85003
27.638,0.94211
28.701,0.99219
29.764,1.01540
30.827,1.03115
31.890,1.04365
32.953,1.05167
34.016,1.05697
35.079,1.06135
36.142,1.06515
37.205,1.06807
38.268,1.06898
39.331,1.06816
40.394,1.06705
41.457,1.06578
42.520,1.06433
43.583,1.06249
44.646,1.05914
45.709,1.05421
46.772,1.04713
47.835,1.03550
48.898,1.01698
49.961,0.99138
51.024,0.95427
52.087,0.90544
53.150,0.85363
54.213,0.79518
55.276,0.70980
56.339,0.58305
57.402,0.42251
58.465,0.27516
59.528,0.16685
60.591,0.08629
61.654,0.02915
62.717,0.00493
63.780,0.00016
64.843,0.00020
65.906,0.00241
66.969,0.00971
68.032,0.02447
69.095,0.04523
70.158,0.06734
71.221,0.08474
72.284,0.09975
73.347,0.11136
74.410,0.13738
75.473,0.19841
76.536,0.27672
77.599,0.37929
78.662,0.52076
79.725,0.65866
80.788,0.76221
81.851,0.84512
82.914,0.91420
83.977,0.96397
85.040,0.99215
86.103,1.00559
87.166,1.01209
88.229,1.01568
89.292,1.01784
90.355,1.01916
91.418,1.01929
92.481,1.01836
93.544,1.01724
94.607,1.01567
95.670,1.01306
96.733,1.00993
97.796,1.00664
98.859,1.00315
99.922,0.99923
100.985,0.99494
102.048,0.99036
103.111,0.98614
104.174,0.98241
105.237,0.97946
106.300,0.97658
107.363,0.97261
108.426,0.96638
109.489,0.95481
110.552,0.93047
111.615,0.88872
112.678,0.82848
113.741,0.75425
114.804,0.67110
115.867,0.57348
116.930,0.44472
117.993,0.28232
119.056,0.12369
120.119,0.02949
121.182,0.00255
122.245,4.257E-6
123.308,0.00000
124.371,0.00000
125.434,0.00000
126.497,0.00000
127.560,0.00000
128.623,0.00000
129.686,0.00000
130.749,0.00027
131.812,0.00529
132.875,0.03008
133.938,0.08778
135.001,0.16972
136.064,0.28529
137.127,0.44968
138.190,0.62632
139.253,0.75388
140.316,0.82147
141.379,0.85598
142.442,0.87997
143.505,0.89689
144.568,0.90629
145.631,0.91196
146.694,0.91581
147.757,0.91786
148.820,0.91892
149.883,0.91978
150.946,0.92052
152.009,0.92044
153.072,0.91952
154.135,0.91849
155.198,0.91735
156.261,0.91619
157.324,0.91481
158.387,0.91301
159.450,0.91098
160.513,0.90797
161.576,0.90322
162.639,0.89696
163.702,0.88877
164.765,0.87918
165.828,0.86975
166.891,0.85946
167.954,0.84553
169.017,0.82713
170.080,0.80310
171.143,0.76716
172.206,0.70763
173.269,0.62485
174.332,0.53285
175.395,0.42400
176.458,0.28008
177.521,0.13956
178.584,0.05373
179.647,0.01896
180.710,0.00561
181.773,0.00081
182.836,3.587E-6
183.899,0.00000
184.962,0.00000
186.025,0.00000
187.088,0.00000
188.151,0.00000
189.214,0.00075
190.277,0.00756
191.340,0.04305
192.403,0.14095
193.466,0.30093
194.529,0.46716
195.592,0.59019
196.655,0.67199
197.718,0.72819
198.781,0.76290
199.844,0.78613
200.907,0.80728
201.970,0.82643
203.033,0.84054
204.096,0.84891
205.159,0.85308
206.222,0.85461
207.285,0.85460
208.348,0.85366
209.411,0.85223
210.474,0.85025
211.537,0.84777
212.600,0.84523
213.663,0.84259
214.726,0.83995
215.789,0.83702
216.852,0.83396
217.915,0.83120
218.978,0.82846
220.041,0.82500
221.104,0.82033
222.167,0.81441
223.230,0.80614
224.293,0.79335
225.356,0.77426
226.419,0.74937
227.482,0.72405
228.545,0.70154
229.608,0.67258
230.671,0.62484
231.734,0.56439
232.797,0.51036
233.860,0.46949
234.923,0.43382
235.986,0.39409
237.049,0.35441
238.112,0.31667
239.175,0.26377
240.238,0.20081
241.301,0.15189
242.364,0.11021
243.427,0.06062
244.490,0.01971
245.553,0.00293
246.616,0.00012
247.679,0.00000
248.742,0.00007
249.805,0.00567
250.868,0.03701
251.931,0.10626
252.994,0.21652
254.057,0.36909
255.120,0.52700
256.183,0.63617
257.246,0.69298
258.309,0.71745
259.372,0.72748
260.435,0.73331
261.498,0.73596
262.561,0.73636
263.624,0.73577
264.687,0.73353
265.750,0.72896
266.813,0.72202
267.876,0.71484
268.939,0.70995
270.002,0.70648
271.065,0.70200
272.128,0.69717
273.191,0.69305
274.254,0.68972
275.317,0.68718
276.380,0.68575
277.443,0.68479
278.506,0.68409
279.569,0.68429
280.632,0.68519
281.695,0.68658
282.758,0.68839
283.821,0.68983
284.884,0.69109
285.947,0.69263
287.010,0.69320
288.073,0.69157
289.136,0.68714
290.199,0.67876
291.262,0.66658
292.325,0.65412
293.388,0.64317
294.451,0.63320
295.514,0.62538
296.577,0.62066
297.640,0.61893
298.703,0.61990
299.766,0.62120
300.829,0.62242
301.892,0.62389
302.955,0.62546
304.018,0.62662
305.081,0.62235
306.144,0.60370
307.207,0.55721
308.270,0.48531
309.333,0.40443
310.396,0.32163
311.459,0.22106
312.522,0.11599
313.585,0.03893
314.648,0.00627
315.711,0.00015
316.774,0.00000
