X,Y
450,5156.816
455,4938.818
460,4736.616
465,4525.702
470,4343.417
475,4175.319
480,3992.297
485,3834.773
490,3670.225
495,3533.816
500,3383.439
505,3265.591
510,3140.515
515,3028.241
520,2973.763
525,3075.888
530,3107.926
535,3095.665
540,3065.557
545,2947.334
550,2916.464
555,2910.321
560,3034.312
565,3222.846
570,3403.339
575,3551.277
580,3488.175
585,3341.945
590,3190.285
595,3097.439
600,3044.261
605,2985.911
610,2919.569
615,2849.490
620,2789.975
625,2743.288
630,2694.914
635,2642.238
640,2574.378
645,2513.629
650,2450.078
655,2392.528
660,2339.958
665,2278.916
670,2216.734
675,2161.586
680,2118.906
685,2081.937
690,2045.867
695,2134.309
700,2140.078
705,2149.909
710,2164.274
715,2040.182
720,1999.883
725,1953.073
730,1907.170
735,1871.890
740,1841.791
745,1805.391
750,1769.791
