X,Y
0.0000,1.697943
0.2057,1.726628
0.4115,1.747893
0.6172,1.752277
0.8230,1.743661
1.0287,1.762551
1.2344,1.777138
1.4402,1.779397
1.6459,1.760768
1.8517,1.737218
2.0574,1.719014
2.2632,1.705518
2.4689,1.685451
2.6746,1.660728
2.8804,1.644871
3.0861,1.623277
3.2919,1.598915
3.4976,1.581707
3.7033,1.528192
3.9091,1.467528
4.1148,1.428221
4.3206,1.385480
4.5263,1.355952
4.7321,1.306352
4.9378,1.268003
5.1435,1.249005
5.3493,1.235785
5.5550,1.206417
5.7608,1.163748
5.9665,1.117868
6.1722,1.088843
6.3780,1.059329
6.5837,1.031426
6.7895,1.018274
6.9952,1.008591
7.2010,1.001868
7.4067,0.996547
7.6124,0.989154
7.8182,0.980405
8.0239,0.981963
8.2297,0.983100
8.4354,0.975441
8.6411,0.975128
8.8469,0.977743
9.0526,0.983436
9.2584,0.987442
9.4641,0.988849
9.6699,1.003649
9.8756,1.019576
10.0813,1.043567
10.2871,1.064232
10.4928,1.078395
10.6986,1.101568
10.9043,1.144243
11.1100,1.194635
11.3158,1.232473
11.5215,1.264756
11.7273,1.297471
11.9330,1.345500
12.1388,1.387777
12.3445,1.433565
12.5502,1.458210
12.7560,1.485261
12.9617,1.530208
13.1675,1.567066
13.3732,1.592992
13.5789,1.607972
13.7847,1.631606
13.9904,1.662916
14.1962,1.688068
14.4019,1.701518
14.6077,1.705932
14.8134,1.706884
15.0191,1.718104
15.2249,1.718308
15.4306,1.722320
15.6364,1.729010
15.8421,1.733969
16.0478,1.733816
16.2536,1.726646
16.4593,1.711272
16.6651,1.708613
16.8708,1.710021
17.0766,1.701030
17.2823,1.688102
17.4880,1.685967
17.6938,1.664435
17.8995,1.638394
18.1053,1.611090
18.3110,1.585463
18.5167,1.569975
18.7225,1.542194
18.9282,1.514321
19.1340,1.446823
19.3397,1.387821
19.5455,1.345482
19.7512,1.303835
19.9569,1.277678
20.1627,1.252315
20.3684,1.211484
20.5742,1.183433
20.7799,1.164798
20.9856,1.142629
21.1914,1.114011
21.3971,1.099070
21.6029,1.098544
21.8086,1.092040
22.0144,1.089943
22.2201,1.083824
22.4258,1.083230
22.6316,1.097549
22.8373,1.123442
23.0431,1.149005
23.2488,1.167012
23.4545,1.179276
23.6603,1.206102
23.8660,1.254915
24.0718,1.303585
24.2775,1.339617
24.4833,1.378312
24.6890,1.413458
24.8947,1.448208
25.1005,1.483360
25.3062,1.501795
25.5120,1.534459
25.7177,1.551080
25.9234,1.558546
26.1292,1.577478
26.3349,1.600554
26.5407,1.625020
26.7464,1.643017
26.9522,1.642827
27.1579,1.649265
27.3636,1.660404
27.5694,1.669890
27.7751,1.679163
27.9809,1.675968
28.1866,1.646883
28.3923,1.627277
28.5981,1.612866
28.8038,1.603454
29.0096,1.594651
29.2153,1.571261
29.4211,1.556498
29.6268,1.533772
29.8325,1.495252
30.0383,1.454052
30.2440,1.421075
30.4498,1.396864
30.6555,1.381909
30.8612,1.376064
31.0670,1.358878
31.2727,1.339296
31.4785,1.325003
31.6842,1.307010
31.8900,1.293722
32.0957,1.311326
32.3014,1.335408
32.5072,1.352843
32.7129,1.353809
32.9187,1.377165
33.1244,1.393707
33.3301,1.398676
33.5359,1.398992
33.7416,1.393054
33.9474,1.400206
34.1531,1.418127
34.3589,1.422269
34.5646,1.412395
34.7703,1.411184
34.9761,1.412886
35.1818,1.389548
35.3876,1.355634
35.5933,1.333221
35.7990,1.320905
36.0048,1.312882
36.2105,1.293536
36.4163,1.282461
36.6220,1.282149
36.8278,1.274648
37.0335,1.273392
37.2392,1.282109
37.4450,1.310816
37.6507,1.329864
37.8565,1.343445
38.0622,1.367247
38.2679,1.377570
38.4737,1.388107
38.6794,1.390927
38.8852,1.400050
39.0909,1.403065
39.2966,1.408629
39.5024,1.403124
39.7081,1.394438
39.9139,1.383702
40.1196,1.353972
40.3254,1.332075
40.5311,1.321384
40.7368,1.303280
40.9426,1.281405
41.1483,1.264490
41.3541,1.249313
41.5598,1.223334
41.7656,1.188459
41.9713,1.179060
42.1770,1.171935
42.3828,1.154469
42.5885,1.144132
42.7943,1.140822
43.0000,1.132889
43.2057,1.130674
43.4115,1.128724
43.6172,1.134378
43.8230,1.149215
44.0287,1.145543
44.2345,1.160832
44.4402,1.191107
44.6459,1.224395
44.8517,1.279922
45.0574,1.316685
45.2632,1.330934
45.4689,1.344979
45.6746,1.362869
45.8804,1.394008
46.0861,1.433641
46.2919,1.467150
46.4976,1.494195
46.7034,1.518889
46.9091,1.540392
47.1148,1.581093
47.3206,1.604856
47.5263,1.623984
