X,Y
0.0000,0.697331
0.2057,0.689592
0.4115,0.683592
0.6172,0.689387
0.8230,0.692865
1.0287,0.691368
1.2344,0.685094
1.4402,0.686085
1.6459,0.695276
1.8517,0.696879
2.0574,0.691014
2.2632,0.686817
2.4689,0.692666
2.6746,0.696368
2.8804,0.694304
3.0861,0.701851
3.2919,0.701934
3.4976,0.708321
3.7033,0.727516
3.9091,0.732444
4.1148,0.743364
4.3206,0.757203
4.5263,0.764246
4.7321,0.781621
4.9378,0.793935
5.1435,0.789654
5.3493,0.791686
5.5550,0.807067
5.7608,0.831001
5.9665,0.853242
6.1722,0.870651
6.3780,0.889508
6.5837,0.899652
6.7895,0.893399
6.9952,0.894143
7.2010,0.903047
7.4067,0.908815
7.6124,0.915028
7.8182,0.914250
8.0239,0.909355
8.2297,0.909678
8.4354,0.919155
8.6411,0.920676
8.8469,0.920271
9.0526,0.907672
9.2584,0.906363
9.4641,0.908464
9.6699,0.925340
9.8756,0.923179
10.0813,0.902429
10.2871,0.886958
10.4928,0.874914
10.6986,0.867254
10.9043,0.863489
11.1100,0.849114
11.3158,0.834726
11.5215,0.816941
11.7273,0.791790
11.9330,0.774057
12.1388,0.760709
12.3445,0.750590
12.5502,0.744169
12.7560,0.733090
12.9617,0.725652
13.1675,0.721771
13.3732,0.719962
13.5789,0.715514
13.7847,0.706547
13.9904,0.694875
14.1962,0.689637
14.4019,0.693339
14.6077,0.691996
14.8134,0.694217
15.0191,0.696709
15.2249,0.697488
15.4306,0.692990
15.6364,0.691725
15.8421,0.686904
16.0478,0.683352
16.2536,0.689323
16.4593,0.686126
16.6651,0.681119
16.8708,0.681581
17.0766,0.687804
17.2823,0.691226
17.4880,0.693529
17.6938,0.692256
17.8995,0.689372
18.1053,0.695094
18.3110,0.704251
18.5167,0.708701
18.7225,0.713339
18.9282,0.723971
19.1340,0.737265
19.3397,0.755737
19.5455,0.780463
19.7512,0.785074
19.9569,0.785339
20.1627,0.797743
20.3684,0.814913
20.5742,0.818273
20.7799,0.814502
20.9856,0.818791
21.1914,0.837104
21.3971,0.857194
21.6029,0.861442
21.8086,0.857405
22.0144,0.855910
22.2201,0.865515
22.4258,0.880054
22.6316,0.876832
22.8373,0.859232
23.0431,0.849516
23.2488,0.846378
23.4545,0.846390
23.6603,0.834134
23.8660,0.812309
24.0718,0.797792
24.2775,0.782855
24.4833,0.769200
24.6890,0.760117
24.8947,0.749537
25.1005,0.747071
25.3062,0.740494
25.5120,0.729933
25.7177,0.719905
25.9234,0.717622
26.1292,0.713328
26.3349,0.715669
26.5407,0.713349
26.7464,0.708547
26.9522,0.699844
27.1579,0.689869
27.3636,0.687790
27.5694,0.690852
27.7751,0.687150
27.9809,0.684118
28.1866,0.691258
28.3923,0.698210
28.5981,0.696626
28.8038,0.698006
29.0096,0.704172
29.2153,0.704617
29.4211,0.700706
29.6268,0.709274
29.8325,0.721986
30.0383,0.724041
30.2440,0.730206
30.4498,0.741929
30.6555,0.742520
30.8612,0.744896
31.0670,0.759459
31.2727,0.764086
31.4785,0.770361
31.6842,0.788905
31.8900,0.787510
32.0957,0.771770
32.3014,0.758955
32.5072,0.755169
32.7129,0.751582
32.9187,0.737727
33.1244,0.728943
33.3301,0.727895
33.5359,0.720343
33.7416,0.713046
33.9474,0.709347
34.1531,0.708857
34.3589,0.718894
34.5646,0.728359
34.7703,0.726989
34.9761,0.725249
35.1818,0.736840
35.3876,0.745740
35.5933,0.750209
35.7990,0.758919
36.0048,0.776033
36.2105,0.784946
36.4163,0.781704
36.6220,0.777429
36.8278,0.768544
37.0335,0.769986
37.2392,0.772323
37.4450,0.764314
37.6507,0.763156
37.8565,0.753501
38.0622,0.740773
38.2679,0.731404
38.4737,0.730903
38.6794,0.729847
38.8852,0.732123
39.0909,0.739871
39.2966,0.744045
39.5024,0.748346
39.7081,0.748018
39.9139,0.746398
40.1196,0.751009
40.3254,0.750575
40.5311,0.750315
40.7368,0.760009
40.9426,0.775557
41.1483,0.779227
41.3541,0.788051
41.5598,0.797880
41.7656,0.801769
41.9713,0.800466
42.1770,0.805713
42.3828,0.813415
42.5885,0.822275
42.7943,0.830641
43.0000,0.835606
43.2057,0.835926
43.4115,0.834616
43.6172,0.828152
43.8230,0.830512
44.0287,0.832624
44.2345,0.820985
44.4402,0.807961
44.6459,0.795243
44.8517,0.784329
45.0574,0.774771
45.2632,0.767077
45.4689,0.753050
45.6746,0.735802
45.8804,0.730312
46.0861,0.720361
46.2919,0.711409
46.4976,0.699131
46.7034,0.696753
46.9091,0.696296
47.1148,0.693439
47.3206,0.685501
47.5263,0.677244
