y-position;y-error;x-position;x-error;left-position;left-error;right-position;right-error;width;width-error;threshold;fitted-x-position;fitted-left-position;fitted-right-position
2088.0;2.0;2054.0;2.0;1858.0;2.0;2250.0;2.0;392.0;4.0;21.47432518005371;1664.3878482085202;1498.146117995384;1831.6896720333825
2120.0;2.0;2056.0;2.0;1858.0;2.0;2254.0;2.0;396.0;4.0;11.18821907043457;1769.8112547647324;1597.0233670658272;1943.6653806959366
2152.0;2.0;2056.0;2.0;1862.0;2.0;2252.0;2.0;390.0;4.0;6.635955333709717;1864.373972514055;1686.0600363120102;2043.7577815901168
2184.0;2.0;1864.0;2.0;1864.0;2.0;1866.0;2.0;2.0;4.0;6.488959789276123;1948.4031094206584;1765.545709384678;2132.331649653519
2216.0;2.0;2060.0;2.0;1866.0;2.0;2256.0;2.0;390.0;4.0;7.79147481918335;2022.225773448772;1835.7699699345903;2209.7517598237027
2248.0;2.0;2060.0;2.0;1866.0;2.0;2256.0;2.0;390.0;4.0;9.926981925964355;2086.1690725625813;1897.0224016124557;2276.3828870382713
2280.0;2.0;2062.0;2.0;1868.0;2.0;2256.0;2.0;388.0;4.0;12.46837043762207;2140.560114726308;1949.5925880690265;2332.589806234784
2312.0;2.0;2060.0;2.0;1866.0;2.0;2254.0;2.0;388.0;4.0;14.978222846984863;2185.726007904137;1993.7701129550333;2378.7372923508083
2344.0;2.0;2062.0;2.0;1868.0;2.0;2258.0;2.0;390.0;4.0;17.27984619140625;2221.993860060269;2029.8445599212064;2415.190120323932
2376.0;2.0;2062.0;2.0;1868.0;2.0;2258.0;2.0;390.0;4.0;16.91288185119629;2249.6907791589183;2058.105512618291;2442.313065091723
2408.0;2.0;2064.0;2.0;1870.0;2.0;2258.0;2.0;388.0;4.0;16.511398315429688;2269.1438731642775;2078.8425546970175;2460.470901591776
2440.0;2.0;2064.0;2.0;1870.0;2.0;2260.0;2.0;390.0;4.0;12.58905029296875;2280.680250040554;2092.3452698081383;2470.0284047616587
2472.0;2.0;2064.0;2.0;1870.0;2.0;2258.0;2.0;388.0;4.0;10.391170501708984;2284.6270177519473;2098.9032416023692;2471.350349538945
2504.0;2.0;2064.0;2.0;1874.0;2.0;2256.0;2.0;382.0;4.0;8.628609657287598;2281.311284262658;2098.8060537304627;2464.8015108612017
2536.0;2.0;2066.0;2.0;1872.0;2.0;2262.0;2.0;390.0;4.0;6.764948844909668;2271.060157536893;2092.3432898431347;2450.7466636660174
2568.0;2.0;2066.0;2.0;1872.0;2.0;2260.0;2.0;388.0;4.0;5.9355149269104;2254.200745538852;2079.8045335911374;2429.550582890981
2600.0;2.0;2066.0;2.0;1870.0;2.0;2262.0;2.0;392.0;4.0;4.800642013549805;2231.0601562327356;2061.4793686252087;2401.5780434736516
2632.0;2.0;2068.0;2.0;1874.0;2.0;2262.0;2.0;388.0;4.0;4.220458984375;2201.965497582758;2037.657378596079;2367.1938203516256
2664.0;2.0;2068.0;2.0;1874.0;2.0;2264.0;2.0;390.0;4.0;3.2620086669921875;2167.2438775530973;2008.6281471544862;2326.7626884624406
2696.0;2.0;2064.0;2.0;1876.0;2.0;2254.0;2.0;378.0;4.0;3.640502691268921;2127.2224041079753;1974.681257951168;2280.6494227437142
2728.0;2.0;2068.0;2.0;1876.0;2.0;2260.0;2.0;384.0;4.0;2.3801474571228027;2082.228185211592;1936.106294636862;2229.218798132999
2760.0;2.0;2072.0;2.0;1884.0;2.0;2260.0;2.0;376.0;4.0;2.72294020652771;2032.5883288281475;1893.1928408622844;2172.8355895678906
2792.0;2.0;2068.0;2.0;1880.0;2.0;2256.0;2.0;376.0;4.0;1.9212161302566528;1978.6299429218416;1846.2304802782091;2111.864571985934
2824.0;2.0;2070.0;2.0;1876.0;2.0;2264.0;2.0;388.0;4.0;1.8191925287246704;1920.6801354568743;1795.5087965353523;2046.670520324762
2856.0;2.0;2070.0;2.0;1880.0;2.0;2262.0;2.0;382.0;4.0;1.4624953269958496;1859.06601439746;1741.3173732844589;1977.61820952189
2888.0;2.0;1898.0;2.0;1886.0;2.0;1910.0;2.0;24.0;4.0;1.6426993608474731;1794.1146877077917;1683.9457941762448;1905.072414514936
2920.0;2.0;2064.0;2.0;1880.0;2.0;2248.0;2.0;368.0;4.0;1.5308516025543213;1726.1532633520692;1623.6836428614697;1829.3979102414378
2952.0;2.0;1786.0;2.0;1784.0;2.0;1788.0;2.0;4.0;4.0;1.326058268547058;1655.5088492944924;1560.8205029908568;1750.959471639013
2984.0;2.0;1660.0;2.0;1656.0;2.0;1664.0;2.0;8.0;4.0;1.0187408924102783;1582.5085534992759;1495.6459582151438;1670.1218736452283
3016.0;2.0;1724.0;2.0;1722.0;2.0;1728.0;2.0;6.0;4.0;1.2124786376953125;1507.4794839305978;1428.4495921850685;1587.2498911976363
3048.0;2.0;1484.0;2.0;1482.0;2.0;1486.0;2.0;4.0;4.0;0.8779463768005371;1430.7487485527163;1359.520988551376;1502.708299233862
