y-position;y-error;x-position;x-error;left-position;left-error;right-position;right-error;width;width-error;threshold;fitted-x-position;fitted-left-position;fitted-right-position
40.0;2.0;1528.0;2.0;1358.0;2.0;1700.0;2.0;342.0;4.0;2490.630859375;1541.7759953280872;1361.4377136374928;1723.467738358975
72.0;2.0;1530.0;2.0;1360.0;2.0;1700.0;2.0;340.0;4.0;2287.623046875;1541.477509865916;1362.7815201524747;1721.5158283457974
104.0;2.0;1532.0;2.0;1362.0;2.0;1702.0;2.0;340.0;4.0;1983.3511962890625;1541.2405751582273;1364.1214518839686;1719.6910383662405
136.0;2.0;1532.0;2.0;1364.0;2.0;1702.0;2.0;338.0;4.0;1772.5003662109375;1541.0638412395663;1365.4573803106302;1717.9907970452214
168.0;2.0;1534.0;2.0;1366.0;2.0;1704.0;2.0;338.0;4.0;1572.8006591796875;1540.9459581444787;1366.7891769111156;1716.4125330076579
200.0;2.0;1534.0;2.0;1366.0;2.0;1704.0;2.0;338.0;4.0;1413.287109375;1540.8855759075095;1368.1167131640807;1714.9536748784674
232.0;2.0;1536.0;2.0;1368.0;2.0;1704.0;2.0;336.0;4.0;1271.200439453125;1540.8813445632043;1369.439860548181;1713.6116512825672
264.0;2.0;1538.0;2.0;1370.0;2.0;1706.0;2.0;336.0;4.0;1131.93994140625;1540.9319141461085;1370.758490542073;1712.383890844875
296.0;2.0;1538.0;2.0;1372.0;2.0;1706.0;2.0;334.0;4.0;1034.3927001953125;1541.0359346907676;1372.0724746244123;1711.267822190308
328.0;2.0;1540.0;2.0;1374.0;2.0;1708.0;2.0;334.0;4.0;925.5816650390625;1541.1920562317268;1373.3816842738547;1710.2608739437837
360.0;2.0;1540.0;2.0;1374.0;2.0;1708.0;2.0;334.0;4.0;834.7900390625;1541.3989288035316;1374.685990969056;1709.36047473022
392.0;2.0;1542.0;2.0;1376.0;2.0;1710.0;2.0;334.0;4.0;766.6964111328125;1541.6552024407274;1375.9852661886723;1708.564053174534
424.0;2.0;1544.0;2.0;1378.0;2.0;1710.0;2.0;332.0;4.0;697.1785888671875;1541.9595271778596;1377.2793814113593;1707.869037901643
456.0;2.0;1544.0;2.0;1380.0;2.0;1710.0;2.0;330.0;4.0;649.9219360351562;1542.3105530494736;1378.5682081157731;1707.2728575364647
488.0;2.0;1546.0;2.0;1380.0;2.0;1712.0;2.0;332.0;4.0;593.149658203125;1542.7069300901148;1379.8516177805693;1706.7729407039167
520.0;2.0;1546.0;2.0;1382.0;2.0;1712.0;2.0;330.0;4.0;546.8286743164062;1543.1473083343287;1381.1294818844042;1706.3667160289162
552.0;2.0;1548.0;2.0;1384.0;2.0;1714.0;2.0;330.0;4.0;505.61053466796875;1543.6303378166606;1382.4016719059332;1706.051612136381
584.0;2.0;1548.0;2.0;1384.0;2.0;1714.0;2.0;330.0;4.0;470.6539611816406;1544.154668571656;1383.6680593238125;1705.8250576512282
616.0;2.0;1550.0;2.0;1386.0;2.0;1714.0;2.0;328.0;4.0;439.8579406738281;1544.71895063386;1384.9285156166977;1705.6844811983756
648.0;2.0;1552.0;2.0;1388.0;2.0;1716.0;2.0;328.0;4.0;404.72698974609375;1545.3218340378182;1386.182912263245;1705.6273114027404
680.0;2.0;1552.0;2.0;1388.0;2.0;1716.0;2.0;328.0;4.0;382.7476806640625;1545.961968818076;1387.4311207421101;1705.6509768892402
712.0;2.0;1552.0;2.0;1390.0;2.0;1716.0;2.0;326.0;4.0;356.5787353515625;1546.638005009179;1388.673012531949;1705.7529062827923
744.0;2.0;1554.0;2.0;1392.0;2.0;1718.0;2.0;326.0;4.0;332.234375;1547.3485926456724;1389.9084591114174;1705.9305282083144
776.0;2.0;1554.0;2.0;1392.0;2.0;1718.0;2.0;326.0;4.0;307.5705261230469;1548.0923817621015;1391.1373319591714;1706.181271290724
808.0;2.0;1556.0;2.0;1394.0;2.0;1720.0;2.0;326.0;4.0;291.83441162109375;1548.8680223930119;1392.3595025538666;1706.5025641549382
840.0;2.0;1556.0;2.0;1394.0;2.0;1718.0;2.0;324.0;4.0;269.69891357421875;1549.674164572949;1393.574842374159;1706.891835425875
872.0;2.0;1558.0;2.0;1396.0;2.0;1720.0;2.0;324.0;4.0;259.8653869628906;1550.5094583364578;1394.7832228987047;1707.3465137284513
904.0;2.0;1558.0;2.0;1398.0;2.0;1720.0;2.0;322.0;4.0;241.54383850097656;1551.3725537180842;1395.9845156061594;1707.864027687585
