y-position;y-error;x-position;x-error;left-position;left-error;right-position;right-error;width;width-error;threshold;fitted-x-position;fitted-left-position;fitted-right-position
40.0;2.0;3294.0;2.0;3048.0;2.0;3542.0;2.0;494.0;4.0;2141.083251953125;3294.9032032418045;3049.0408523496462;3541.843201602487
72.0;2.0;3292.0;2.0;3048.0;2.0;3538.0;2.0;490.0;4.0;2336.5322265625;3293.6918107641395;3048.2193269825098;3540.236396751532
104.0;2.0;3292.0;2.0;3046.0;2.0;3538.0;2.0;492.0;4.0;2158.729248046875;3292.4865987087996;3047.4010637037013;3538.639128460085
136.0;2.0;3292.0;2.0;3046.0;2.0;3538.0;2.0;492.0;4.0;2133.7841796875;3291.287824459391;3046.586312740401;3537.0516516150306
168.0;2.0;3290.0;2.0;3046.0;2.0;3536.0;2.0;490.0;4.0;2069.603759765625;3290.0957453995193;3045.775324319788;3535.4742211032517
200.0;2.0;3290.0;2.0;3046.0;2.0;3534.0;2.0;488.0;4.0;1981.3902587890625;3288.9106189127906;3044.9683486690424;3533.907091811632
232.0;2.0;3288.0;2.0;3044.0;2.0;3532.0;2.0;488.0;4.0;1949.56201171875;3287.7327023828116;3044.1656360153434;3532.350518627056
264.0;2.0;3286.0;2.0;3044.0;2.0;3530.0;2.0;486.0;4.0;1881.8345947265625;3286.5622531931876;3043.367436585871;3530.804756436406
296.0;2.0;3286.0;2.0;3044.0;2.0;3530.0;2.0;486.0;4.0;1814.9666748046875;3285.3995287275256;3042.5740006078045;3529.2700601265665
328.0;2.0;3284.0;2.0;3042.0;2.0;3528.0;2.0;486.0;4.0;1737.109130859375;3284.244786369431;3041.7855783083237;3527.7466845844215
360.0;2.0;3284.0;2.0;3042.0;2.0;3526.0;2.0;484.0;4.0;1712.0399169921875;3283.09828350251;3041.0024199146083;3526.234884696854
392.0;2.0;3282.0;2.0;3040.0;2.0;3526.0;2.0;486.0;4.0;1626.489990234375;3281.9602775103695;3040.2247756538377;3524.7349153507475
424.0;2.0;3282.0;2.0;3040.0;2.0;3524.0;2.0;484.0;4.0;1613.783935546875;3280.8310257766143;3039.4528957531916;3523.247031432986
456.0;2.0;3280.0;2.0;3038.0;2.0;3522.0;2.0;484.0;4.0;1545.4366455078125;3279.7107856848515;3038.68703043985;3521.7714878304537
