y-position;y-error;x-position;x-error;left-position;left-error;right-position;right-error;width;width-error;threshold;fitted-x-position;fitted-left-position;fitted-right-position
40.0;1.0;2176.0;1.0;1879.0;1.0;2474.0;1.0;595.0;2.0;1023.0402221679688;2176.1774244414028;1879.1794887468366;2473.7609798689277
56.0;1.0;2177.0;1.0;1880.0;1.0;2474.0;1.0;594.0;2.0;1078.7645263671875;2176.5380605847536;1879.7578553251135;2473.9003654520297
72.0;1.0;2177.0;1.0;1880.0;1.0;2474.0;1.0;594.0;2.0;1083.4481201171875;2176.8965657518975;1880.332925613354;2474.0388612421525
88.0;1.0;2177.0;1.0;1881.0;1.0;2474.0;1.0;593.0;2.0;1108.0728759765625;2177.2529684080405;1880.904728483455;2474.176494741903
104.0;1.0;2178.0;1.0;1882.0;1.0;2474.0;1.0;592.0;2.0;1115.392333984375;2177.6072970183886;1881.473292807314;2474.3132934538858
120.0;1.0;2178.0;1.0;1882.0;1.0;2475.0;1.0;593.0;2.0;1115.3037109375;2177.959580048148;1882.038647456828;2474.4492848807063
136.0;1.0;2178.0;1.0;1883.0;1.0;2474.0;1.0;591.0;2.0;1112.6680908203125;2178.309845962525;1882.6008213038933;2474.5844965249703
152.0;1.0;2179.0;1.0;1883.0;1.0;2475.0;1.0;592.0;2.0;1113.75732421875;2178.6581232267254;1883.159843220408;2474.7189558892833
168.0;1.0;2179.0;1.0;1884.0;1.0;2475.0;1.0;591.0;2.0;1114.2259521484375;2179.004440305956;1883.7157420782685;2474.8526904762507
184.0;1.0;2179.0;1.0;1884.0;1.0;2475.0;1.0;591.0;2.0;1116.7789306640625;2179.3488256654223;1884.2685467493718;2474.985727788478
200.0;1.0;2180.0;1.0;1885.0;1.0;2475.0;1.0;590.0;2.0;1119.8748779296875;2179.6913077703307;1884.8182861056155;2475.1180953285707
216.0;1.0;2180.0;1.0;1885.0;1.0;2475.0;1.0;590.0;2.0;1121.180419921875;2180.0319150858872;1885.3649890188963;2475.249820599134
232.0;1.0;2180.0;1.0;1886.0;1.0;2475.0;1.0;589.0;2.0;1123.4024658203125;2180.3706760772984;1885.908684361111;2475.3809311027744
248.0;1.0;2181.0;1.0;1886.0;1.0;2476.0;1.0;590.0;2.0;1119.8587646484375;2180.70761920977;1886.4494010041574;2475.511454342096
264.0;1.0;2181.0;1.0;1887.0;1.0;2476.0;1.0;589.0;2.0;1122.2567138671875;2181.042772948509;1886.9871678199318;2475.6414178197047
280.0;1.0;2181.0;1.0;1887.0;1.0;2476.0;1.0;589.0;2.0;1124.62548828125;2181.3761657587206;1887.5220136803316;2475.7708490382065
296.0;1.0;2182.0;1.0;1888.0;1.0;2476.0;1.0;588.0;2.0;1126.90576171875;2181.7078261056113;1888.0539674572537;2475.899775500206
312.0;1.0;2182.0;1.0;1889.0;1.0;2476.0;1.0;587.0;2.0;1131.1903076171875;2182.0377824543875;1888.5830580225957;2476.0282247083096
328.0;1.0;2182.0;1.0;1889.0;1.0;2476.0;1.0;587.0;2.0;1132.9544677734375;2182.366063270255;1889.109314248254;2476.1562241651222
344.0;1.0;2183.0;1.0;1890.0;1.0;2476.0;1.0;586.0;2.0;1136.800537109375;2182.69269701842;1889.6327650061257;2476.2838013732494
360.0;1.0;2183.0;1.0;1890.0;1.0;2476.0;1.0;586.0;2.0;1141.31005859375;2183.017712164089;1890.1534391681082;2476.410983835297
376.0;1.0;2183.0;1.0;1891.0;1.0;2476.0;1.0;585.0;2.0;1145.47998046875;2183.341137172468;1890.6713656060983;2476.53779905387
392.0;1.0;2184.0;1.0;1891.0;1.0;2477.0;1.0;586.0;2.0;1145.645751953125;2183.6630005087627;1891.1865731919934;2476.664274531574
408.0;1.0;2184.0;1.0;1892.0;1.0;2477.0;1.0;585.0;2.0;1142.5054931640625;2183.9833306381797;1891.6990907976901;2476.7904377710147
424.0;1.0;2184.0;1.0;1892.0;1.0;2477.0;1.0;585.0;2.0;1140.8365478515625;2184.3021560259253;1892.2089472950859;2476.9163162747973
440.0;1.0;2185.0;1.0;1893.0;1.0;2477.0;1.0;584.0;2.0;1139.166748046875;2184.6195051372056;1892.7161715560774;2477.0419375455276
456.0;1.0;2185.0;1.0;1893.0;1.0;2477.0;1.0;584.0;2.0;1132.0301513671875;2184.935406437227;1893.220792452562;2477.1673290858107
472.0;1.0;2185.0;1.0;1894.0;1.0;2477.0;1.0;583.0;2.0;1124.263916015625;2185.249888391195;1893.7228388564365;2477.292518398252
488.0;1.0;2185.0;1.0;1894.0;1.0;2477.0;1.0;583.0;2.0;1109.4228515625;2185.5629794643155;1894.2223396395982;2477.417532985458
504.0;1.0;2186.0;1.0;1895.0;1.0;2477.0;1.0;582.0;2.0;1092.73779296875;2185.874708121796;1894.719323673944;2477.5424003500325
520.0;1.0;2186.0;1.0;1895.0;1.0;2478.0;1.0;583.0;2.0;1089.6014404296875;2186.1851028288415;1895.213819831371;2477.667147994582
536.0;1.0;2187.0;1.0;1896.0;1.0;2478.0;1.0;582.0;2.0;1081.989990234375;2186.494192050659;1895.7058569837764;2477.7918034217123
552.0;1.0;2187.0;1.0;1896.0;1.0;2478.0;1.0;582.0;2.0;1079.42431640625;2186.802004252454;1896.195464003057;2477.9163941340285
568.0;1.0;2187.0;1.0;1897.0;1.0;2478.0;1.0;581.0;2.0;1074.7032470703125;2187.108567899433;1896.68266976111;2478.0409476341356
584.0;1.0;2187.0;1.0;1897.0;1.0;2478.0;1.0;581.0;2.0;1075.6522216796875;2187.413911456802;1897.1675031298325;2478.1654914246396
600.0;1.0;2188.0;1.0;1898.0;1.0;2478.0;1.0;580.0;2.0;1070.814208984375;2187.7180633897674;1897.6499929811214;2478.290053008146
616.0;1.0;2188.0;1.0;1898.0;1.0;2479.0;1.0;581.0;2.0;1074.123046875;2188.0210521635354;1898.1301681868738;2478.41465988726
632.0;1.0;2189.0;1.0;1899.0;1.0;2479.0;1.0;580.0;2.0;1072.5250244140625;2188.3229062433115;1898.608057618987;2478.5393395645874
648.0;1.0;2189.0;1.0;1899.0;1.0;2479.0;1.0;580.0;2.0;1073.095458984375;2188.6236540943028;1899.0836901493576;2478.6641195427333
664.0;1.0;2189.0;1.0;1899.0;1.0;2479.0;1.0;580.0;2.0;1070.2091064453125;2188.9233241817146;1899.557094649883;2478.7890273243033
680.0;1.0;2189.0;1.0;1900.0;1.0;2479.0;1.0;579.0;2.0;1069.839111328125;2189.2219449707536;1900.0282999924602;2478.914090411903
696.0;1.0;2189.0;1.0;1900.0;1.0;2479.0;1.0;579.0;2.0;1067.4659423828125;2189.5195449266257;1900.4973350489863;2479.0393363081375
712.0;1.0;2190.0;1.0;1901.0;1.0;2479.0;1.0;578.0;2.0;1060.5208740234375;2189.8161525145374;1900.9642286913584;2479.164792515613
728.0;1.0;2190.0;1.0;1901.0;1.0;2479.0;1.0;578.0;2.0;1059.771728515625;2190.1117961996947;1901.4290097914732;2479.2904865369346
744.0;1.0;2191.0;1.0;1902.0;1.0;2480.0;1.0;578.0;2.0;1052.546630859375;2190.4065044473036;1901.891707221228;2479.4164458747077
760.0;1.0;2191.0;1.0;1902.0;1.0;2480.0;1.0;578.0;2.0;1045.9290771484375;2190.70030572257;1902.3523498525199;2479.542698031538
776.0;1.0;2191.0;1.0;1903.0;1.0;2480.0;1.0;577.0;2.0;1038.6292724609375;2190.993228490701;1902.8109665572458;2479.6692705100304
792.0;1.0;2191.0;1.0;1903.0;1.0;2480.0;1.0;577.0;2.0;1027.1268310546875;2191.285301216902;1903.267586207303;2479.796190812791
808.0;1.0;2192.0;1.0;1904.0;1.0;2480.0;1.0;576.0;2.0;1012.8671264648438;2191.5765523663795;1903.7222376745885;2479.9234864424247
824.0;1.0;2192.0;1.0;1904.0;1.0;2480.0;1.0;576.0;2.0;996.9760131835938;2191.8670104043395;1904.1749498309991;2480.0511849015375
840.0;1.0;2192.0;1.0;1905.0;1.0;2480.0;1.0;575.0;2.0;980.8594360351562;2192.156703795988;1904.6257515484322;2480.179313692735
856.0;1.0;2192.0;1.0;1905.0;1.0;2480.0;1.0;575.0;2.0;972.0545043945312;2192.4456610065317;1905.0746716987844;2480.3079003186217
872.0;1.0;2192.0;1.0;1905.0;1.0;2480.0;1.0;575.0;2.0;953.3954467773438;2192.7339105011765;1905.5217391539534;2480.436972281804
888.0;1.0;2193.0;1.0;1906.0;1.0;2481.0;1.0;575.0;2.0;944.2413940429688;2193.0214807451284;1905.9669827858356;2480.566557084888
904.0;1.0;2194.0;1.0;1907.0;1.0;2481.0;1.0;574.0;2.0;932.249267578125;2193.3084002035935;1906.4104314663286;2480.696682230477
920.0;1.0;2194.0;1.0;1907.0;1.0;2481.0;1.0;574.0;2.0;922.4693603515625;2193.594697341778;1906.852114067329;2480.8273752211785
936.0;1.0;2194.0;1.0;1907.0;1.0;2481.0;1.0;574.0;2.0;914.3248901367188;2193.8804006248884;1907.2920594607342;2480.9586635595974
952.0;1.0;2194.0;1.0;1907.0;1.0;2481.0;1.0;574.0;2.0;908.7647094726562;2194.1655385181307;1907.7302965184413;2481.0905747483384
968.0;1.0;2194.0;1.0;1908.0;1.0;2481.0;1.0;573.0;2.0;901.2242431640625;2194.450139486711;1908.1668541123468;2481.2231362900084
984.0;1.0;2194.0;1.0;1908.0;1.0;2481.0;1.0;573.0;2.0;899.1474609375;2194.7342319958357;1908.6017611143484;2481.3563756872113
1000.0;1.0;2195.0;1.0;1909.0;1.0;2481.0;1.0;572.0;2.0;892.450927734375;2195.0178445107103;1909.0350463963428;2481.4903204425536
1016.0;1.0;2195.0;1.0;1909.0;1.0;2482.0;1.0;573.0;2.0;880.2113037109375;2195.3010054965416;1909.466738830227;2481.624998058641
1032.0;1.0;2195.0;1.0;1910.0;1.0;2481.0;1.0;571.0;2.0;876.7448120117188;2195.5837434185355;1909.8968672878984;2481.760436038078
1048.0;1.0;2196.0;1.0;1911.0;1.0;2482.0;1.0;571.0;2.0;865.0560913085938;2195.8660867418985;1910.325460641254;2481.8966618834706
1064.0;1.0;2196.0;1.0;1911.0;1.0;2482.0;1.0;571.0;2.0;856.0292358398438;2196.1480639318365;1910.7525477621905;2482.0337030974247
1080.0;1.0;2196.0;1.0;1911.0;1.0;2482.0;1.0;571.0;2.0;845.8327026367188;2196.4297034535552;1911.1781575226053;2482.171587182545
1096.0;1.0;2197.0;1.0;1912.0;1.0;2482.0;1.0;570.0;2.0;838.3560180664062;2196.711033772262;1911.6023187943952;2482.3103416414374
1112.0;1.0;2197.0;1.0;1912.0;1.0;2483.0;1.0;571.0;2.0;827.134521484375;2196.9920833531614;1912.0250604494574;2482.449993976707
1128.0;1.0;2197.0;1.0;1912.0;1.0;2483.0;1.0;571.0;2.0;822.8721923828125;2197.2728806614614;1912.4464113596891;2482.5905716909597
1144.0;1.0;2198.0;1.0;1913.0;1.0;2483.0;1.0;570.0;2.0;809.623291015625;2197.5534541623665;1912.866400396987;2482.732102286801
1160.0;1.0;2198.0;1.0;1914.0;1.0;2483.0;1.0;569.0;2.0;801.2349853515625;2197.8338323210837;1913.2850564332484;2482.874613266836
1176.0;1.0;2198.0;1.0;1914.0;1.0;2483.0;1.0;569.0;2.0;788.2035522460938;2198.1140436028195;1913.7024083403705;2483.018132133671
1192.0;1.0;2198.0;1.0;1914.0;1.0;2483.0;1.0;569.0;2.0;778.6035766601562;2198.3941164727794;1914.11848499025;2483.16268638991
1208.0;1.0;2199.0;1.0;1915.0;1.0;2484.0;1.0;569.0;2.0;766.9844360351562;2198.6740793961694;1914.5333152547842;2483.30830353816
1224.0;1.0;2199.0;1.0;1915.0;1.0;2484.0;1.0;569.0;2.0;755.2260131835938;2198.9539608381965;1914.94692800587;2483.4550110810255
1240.0;1.0;2199.0;1.0;1916.0;1.0;2483.0;1.0;567.0;2.0;748.1680908203125;2199.233789264066;1915.3593521154046;2483.6028365211123
1256.0;1.0;2200.0;1.0;1916.0;1.0;2484.0;1.0;568.0;2.0;737.8956909179688;2199.513593138985;1915.770616455285;2483.751807361026
1272.0;1.0;2200.0;1.0;1916.0;1.0;2484.0;1.0;568.0;2.0;729.462646484375;2199.793400928159;1916.1807498974083;2483.901951103372
1288.0;1.0;2200.0;1.0;1916.0;1.0;2484.0;1.0;568.0;2.0;721.6519165039062;2200.0732410967944;1916.5897813136714;2484.0532952507556
1304.0;1.0;2200.0;1.0;1917.0;1.0;2484.0;1.0;567.0;2.0;715.3544311523438;2200.353142110097;1916.9977395759715;2484.2058673057822
1320.0;1.0;2200.0;1.0;1917.0;1.0;2484.0;1.0;567.0;2.0;704.9200439453125;2200.633132433273;1917.4046535562056;2484.359694771058
1336.0;1.0;2201.0;1.0;1918.0;1.0;2484.0;1.0;566.0;2.0;696.7054443359375;2200.9132405315295;1917.8105521262707;2484.5148051491874
1352.0;1.0;2201.0;1.0;1918.0;1.0;2485.0;1.0;567.0;2.0;688.4385375976562;2201.1934948700714;1918.2154641580642;2484.671225942777
1368.0;1.0;2202.0;1.0;1919.0;1.0;2485.0;1.0;566.0;2.0;682.38916015625;2201.473923914106;1918.6194185234826;2484.828984654431
1384.0;1.0;2202.0;1.0;1919.0;1.0;2485.0;1.0;566.0;2.0;673.2162475585938;2201.7545561288384;1919.0224440944235;2484.988108786756
