y-position;y-error;x-position;x-error;left-position;left-error;right-position;right-error;width;width-error;threshold;fitted-x-position;fitted-left-position;fitted-right-position
40.0;1.0;2113.0;1.0;2062.0;1.0;2165.0;1.0;103.0;2.0;224.0204620361328;2113.04830035812;2061.9766131687384;2164.5605282431234
56.0;1.0;2113.0;1.0;2063.0;1.0;2164.0;1.0;101.0;2.0;249.53182983398438;2113.3143999731215;2062.360611712883;2164.7106076649006
72.0;1.0;2114.0;1.0;2063.0;1.0;2165.0;1.0;102.0;2.0;233.46363830566406;2113.5778294087017;2062.7418818344427;2164.858044019864
88.0;1.0;2114.0;1.0;2063.0;1.0;2165.0;1.0;102.0;2.0;217.50607299804688;2113.8386176751214;2063.1204521895;2165.002866919992
104.0;1.0;2114.0;1.0;2063.0;1.0;2165.0;1.0;102.0;2.0;216.41122436523438;2114.0967937826413;2063.496351434137;2165.145105977265
120.0;1.0;2114.0;1.0;2064.0;1.0;2165.0;1.0;101.0;2.0;213.60765075683594;2114.352386741522;2063.869608224436;2165.2847908036624
136.0;1.0;2115.0;1.0;2064.0;1.0;2166.0;1.0;102.0;2.0;201.16690063476562;2114.605425562024;2064.240251216479;2165.4219510111643
152.0;1.0;2115.0;1.0;2064.0;1.0;2166.0;1.0;102.0;2.0;191.9961700439453;2114.855939254408;2064.608309066348;2165.5566162117498
168.0;1.0;2115.0;1.0;2065.0;1.0;2166.0;1.0;101.0;2.0;188.49557495117188;2115.1039568289357;2064.9738104301246;2165.688816017399
184.0;1.0;2115.0;1.0;2065.0;1.0;2166.0;1.0;101.0;2.0;184.84703063964844;2115.3495072958667;2065.336783963892;2165.818580040091
200.0;1.0;2116.0;1.0;2066.0;1.0;2166.0;1.0;100.0;2.0;172.88636779785156;2115.5926196654623;2065.697258323731;2165.945937891806
216.0;1.0;2116.0;1.0;2066.0;1.0;2166.0;1.0;100.0;2.0;172.6968231201172;2115.833322947983;2066.0552621657243;2166.070919184523
232.0;1.0;2116.0;1.0;2066.0;1.0;2167.0;1.0;101.0;2.0;164.13784790039062;2116.07164615369;2066.4108241459544;2166.1935535302227
248.0;1.0;2117.0;1.0;2067.0;1.0;2167.0;1.0;100.0;2.0;169.76454162597656;2116.307618292844;2066.763972920503;2166.3138705408837
264.0;1.0;2116.0;1.0;2067.0;1.0;2166.0;1.0;99.0;2.0;165.4754638671875;2116.541268375705;2067.114737145452;2166.431899828486
280.0;1.0;2117.0;1.0;2067.0;1.0;2167.0;1.0;100.0;2.0;156.99566650390625;2116.772625412534;2067.463145476884;2166.5476710050093
296.0;1.0;2117.0;1.0;2068.0;1.0;2167.0;1.0;99.0;2.0;159.78916931152344;2117.0017184135922;2067.809226570881;2166.6612136824333
312.0;1.0;2117.0;1.0;2069.0;1.0;2166.0;1.0;97.0;2.0;160.80551147460938;2117.2285763891405;2068.1530090835245;2166.7725574727374
328.0;1.0;2117.0;1.0;2068.0;1.0;2167.0;1.0;99.0;2.0;146.79380798339844;2117.4532283494386;2068.494521670897;2166.8817319879017
344.0;1.0;2118.0;1.0;2069.0;1.0;2167.0;1.0;98.0;2.0;146.6289825439453;2117.6757033047484;2068.8337929890804;2166.9887668399056
360.0;1.0;2118.0;1.0;2069.0;1.0;2167.0;1.0;98.0;2.0;143.68557739257812;2117.89603026533;2069.170851694157;2167.093691640728
376.0;1.0;2118.0;1.0;2070.0;1.0;2167.0;1.0;97.0;2.0;141.43154907226562;2118.1142382414437;2069.5057264422094;2167.19653600235
392.0;1.0;2118.0;1.0;2070.0;1.0;2167.0;1.0;97.0;2.0;135.4718780517578;2118.3303562433516;2069.838445889319;2167.29732953675
408.0;1.0;2119.0;1.0;2070.0;1.0;2168.0;1.0;98.0;2.0;137.12094116210938;2118.544413281313;2070.1690386915675;2167.3961018559085
424.0;1.0;2119.0;1.0;2070.0;1.0;2168.0;1.0;98.0;2.0;122.9417724609375;2118.7564383655895;2070.4975335050376;2167.492882571805
440.0;1.0;2119.0;1.0;2071.0;1.0;2167.0;1.0;96.0;2.0;126.50540924072266;2118.9664605064418;2070.8239589858113;2167.5877012964183
456.0;1.0;2119.0;1.0;2071.0;1.0;2168.0;1.0;97.0;2.0;118.37053680419922;2119.1745087141303;2071.148343789971;2167.680587641729
472.0;1.0;2119.0;1.0;2071.0;1.0;2168.0;1.0;97.0;2.0;114.4715805053711;2119.380611998916;2071.4707165735986;2167.771571219716
488.0;1.0;2120.0;1.0;2072.0;1.0;2168.0;1.0;96.0;2.0;113.46575927734375;2119.5847993710595;2071.7911059927756;2167.86068164236
504.0;1.0;2120.0;1.0;2072.0;1.0;2168.0;1.0;96.0;2.0;112.9942626953125;2119.7870998408216;2072.1095407035846;2167.9479485216393
520.0;1.0;2120.0;1.0;2072.0;1.0;2168.0;1.0;96.0;2.0;108.24079132080078;2119.987542418463;2072.426049362108;2168.0334014695345
536.0;1.0;2120.0;1.0;2073.0;1.0;2168.0;1.0;95.0;2.0;106.18461608886719;2120.1861561142446;2072.7406606244276;2168.117070098025
552.0;1.0;2120.0;1.0;2073.0;1.0;2168.0;1.0;95.0;2.0;108.56942749023438;2120.382969938427;2073.053403146625;2168.198984019091
568.0;1.0;2121.0;1.0;2074.0;1.0;2168.0;1.0;94.0;2.0;104.12012481689453;2120.5780129012705;2073.364305584783;2168.279172844711
584.0;1.0;2121.0;1.0;2074.0;1.0;2168.0;1.0;94.0;2.0;98.8338394165039;2120.7713140130368;2073.6733965949834;2168.357666186865
600.0;1.0;2121.0;1.0;2074.0;1.0;2168.0;1.0;94.0;2.0;95.91004180908203;2120.962902283986;2073.980704833308;2168.4344936575335
616.0;1.0;2121.0;1.0;2074.0;1.0;2168.0;1.0;94.0;2.0;96.91410064697266;2121.1528067243785;2074.28625895584;2168.509684868695
632.0;1.0;2121.0;1.0;2074.0;1.0;2168.0;1.0;94.0;2.0;91.42850494384766;2121.341056344476;2074.59008761866;2168.58326943233
648.0;1.0;2122.0;1.0;2075.0;1.0;2169.0;1.0;94.0;2.0;86.68795776367188;2121.5276801545388;2074.892219477851;2168.6552769604173
664.0;1.0;2121.0;1.0;2075.0;1.0;2168.0;1.0;93.0;2.0;92.14093780517578;2121.7127071648274;2075.192683189495;2168.7257370649377
680.0;1.0;2122.0;1.0;2075.0;1.0;2169.0;1.0;94.0;2.0;90.01725769042969;2121.8961663856026;2075.4915074096734;2168.7946793578694
696.0;1.0;2122.0;1.0;2076.0;1.0;2169.0;1.0;93.0;2.0;83.89309692382812;2122.0780868271254;2075.7887207944696;2168.8621334511936
712.0;1.0;2122.0;1.0;2076.0;1.0;2169.0;1.0;93.0;2.0;84.60836791992188;2122.2584974996566;2076.0843519999644;2168.928128956889
728.0;1.0;2122.0;1.0;2076.0;1.0;2169.0;1.0;93.0;2.0;83.46968841552734;2122.4374274134566;2076.378429682241;2168.992695486935
744.0;1.0;2123.0;1.0;2077.0;1.0;2169.0;1.0;92.0;2.0;78.09081268310547;2122.6149055787864;2076.6709824973805;2169.055862653312
760.0;1.0;2122.0;1.0;2077.0;1.0;2168.0;1.0;91.0;2.0;87.62676239013672;2122.7909610059064;2076.9620391014655;2169.117660067999
776.0;1.0;2123.0;1.0;2077.0;1.0;2169.0;1.0;92.0;2.0;79.47774505615234;2122.9656227050777;2077.2516281505777;2169.1781173429763
792.0;1.0;2123.0;1.0;2078.0;1.0;2169.0;1.0;91.0;2.0;79.56138610839844;2123.138919686561;2077.5397783007998;2169.237264090223
808.0;1.0;2123.0;1.0;2078.0;1.0;2169.0;1.0;91.0;2.0;76.23804473876953;2123.310880960617;2077.8265182082137;2169.2951299217193
824.0;1.0;2123.0;1.0;2078.0;1.0;2168.0;1.0;90.0;2.0;75.26992797851562;2123.4815355375063;2078.111876528901;2169.351744449444
840.0;1.0;2124.0;1.0;2079.0;1.0;2169.0;1.0;90.0;2.0;71.66725158691406;2123.65091242749;2078.3958819189447;2169.4071372853773
856.0;1.0;2124.0;1.0;2079.0;1.0;2169.0;1.0;90.0;2.0;71.9474868774414;2123.819040640828;2078.678563034426;2169.461338041499
872.0;1.0;2124.0;1.0;2079.0;1.0;2170.0;1.0;91.0;2.0;65.73191833496094;2123.9859491877824;2078.9599485314275;2169.5143763297883
888.0;1.0;2124.0;1.0;2079.0;1.0;2170.0;1.0;91.0;2.0;66.875;2124.1516670786123;2079.240067066031;2169.566281762225
904.0;1.0;2124.0;1.0;2079.0;1.0;2169.0;1.0;90.0;2.0;67.304443359375;2124.31622332358;2079.518947294319;2169.6170839507895
920.0;1.0;2124.0;1.0;2080.0;1.0;2169.0;1.0;89.0;2.0;68.99430084228516;2124.4796469329453;2079.7966178723727;2169.6668125074602
936.0;1.0;2125.0;1.0;2081.0;1.0;2170.0;1.0;89.0;2.0;63.771697998046875;2124.641966916969;2080.0731074562755;2169.715497044217
952.0;1.0;2125.0;1.0;2081.0;1.0;2169.0;1.0;88.0;2.0;67.27269744873047;2124.803212285912;2080.3484447021083;2169.7631671730405
968.0;1.0;2125.0;1.0;2081.0;1.0;2170.0;1.0;89.0;2.0;64.8003921508789;2124.9634120500355;2080.622658265954;2169.809852505909
984.0;1.0;2125.0;1.0;2081.0;1.0;2170.0;1.0;89.0;2.0;60.726966857910156;2125.1225952195996;2080.8957768038945;2169.8555826548036
1000.0;1.0;2125.0;1.0;2080.0;1.0;2171.0;1.0;91.0;2.0;57.466835021972656;2125.2807908048653;2081.1678289720116;2169.9003872317026
1016.0;1.0;2126.0;1.0;2081.0;1.0;2171.0;1.0;90.0;2.0;56.44759750366211;2125.438027816093;2081.4388434263874;2169.944295848586
1032.0;1.0;2126.0;1.0;2082.0;1.0;2170.0;1.0;88.0;2.0;62.59291076660156;2125.594335263544;2081.7088488231043;2169.9873381174343
1048.0;1.0;2126.0;1.0;2082.0;1.0;2170.0;1.0;88.0;2.0;55.600948333740234;2125.749742157479;2081.9778738182445;2170.029543650226
1064.0;1.0;2126.0;1.0;2082.0;1.0;2170.0;1.0;88.0;2.0;52.14692306518555;2125.904277508158;2082.2459470678896;2170.070942058942
1080.0;1.0;2126.0;1.0;2082.0;1.0;2171.0;1.0;89.0;2.0;53.906742095947266;2126.0579703258422;2082.5130972281218;2170.11156295556
1096.0;1.0;2127.0;1.0;2083.0;1.0;2171.0;1.0;88.0;2.0;51.374507904052734;2126.210849620793;2082.779352955023;2170.151435952062
1112.0;1.0;2127.0;1.0;2083.0;1.0;2171.0;1.0;88.0;2.0;51.48207092285156;2126.36294440327;2083.0447429046762;2170.190590660426
1128.0;1.0;2126.0;1.0;2083.0;1.0;2170.0;1.0;87.0;2.0;56.62517166137695;2126.514283683535;2083.309295733163;2170.229056692632
1144.0;1.0;2127.0;1.0;2084.0;1.0;2170.0;1.0;86.0;2.0;52.21123123168945;2126.664896471848;2083.573040096565;2170.26686366066
1160.0;1.0;2127.0;1.0;2085.0;1.0;2170.0;1.0;85.0;2.0;50.57795715332031;2126.8148117784694;2083.8360046509647;2170.304041176489
