y-position;y-error;x-position;x-error;left-position;left-error;right-position;right-error;width;width-error;threshold;fitted-x-position;fitted-left-position;fitted-right-position
80.0;1.0;724.0;1.0;683.0;1.0;765.0;1.0;82.0;2.0;137.0526885986328;723.8629199344331;683.4514809969173;764.8136728887489
112.0;1.0;728.0;1.0;688.0;1.0;769.0;1.0;81.0;2.0;165.3494110107422;728.4655773416405;688.2792459218001;769.1933119951335
144.0;1.0;733.0;1.0;693.0;1.0;774.0;1.0;81.0;2.0;158.15980529785156;733.0405501663449;693.0794531943434;773.5450609882192
176.0;1.0;738.0;1.0;698.0;1.0;778.0;1.0;80.0;2.0;170.96385192871094;737.588098159192;697.852355741413;777.8691869294285
208.0;1.0;742.0;1.0;703.0;1.0;782.0;1.0;79.0;2.0;166.20736694335938;742.1084810708273;702.598206489875;782.165956880183
240.0;1.0;746.0;1.0;707.0;1.0;786.0;1.0;79.0;2.0;164.94158935546875;746.6019586518968;707.3172583665952;786.4356379019051
272.0;1.0;751.0;1.0;712.0;1.0;791.0;1.0;79.0;2.0;165.09950256347656;751.0687906530461;712.0097642984393;790.6784970560169
304.0;1.0;756.0;1.0;717.0;1.0;795.0;1.0;78.0;2.0;174.24111938476562;755.5092368249209;716.6759772122733;794.8948014039405
336.0;1.0;760.0;1.0;721.0;1.0;799.0;1.0;78.0;2.0;172.35565185546875;759.9235569181669;721.316150034963;799.084818007098
368.0;1.0;764.0;1.0;726.0;1.0;803.0;1.0;77.0;2.0;168.72256469726562;764.31201068343;725.9305356933744;803.2488139269113
400.0;1.0;769.0;1.0;731.0;1.0;807.0;1.0;76.0;2.0;169.64471435546875;768.6748578713557;730.5193871143733;807.3870562248028
432.0;1.0;773.0;1.0;735.0;1.0;811.0;1.0;76.0;2.0;183.7357177734375;773.0123582325898;735.0829572248255;811.4998119621945
464.0;1.0;778.0;1.0;740.0;1.0;816.0;1.0;76.0;2.0;169.9227294921875;777.3247715177781;739.621498951597;815.5873482005084
496.0;1.0;781.0;1.0;744.0;1.0;819.0;1.0;75.0;2.0;179.6426544189453;781.6123574775663;744.1352652215535;819.6499320011667
528.0;1.0;786.0;1.0;749.0;1.0;823.0;1.0;74.0;2.0;174.39698791503906;785.8753758626001;748.624508961561;823.6878304255915
560.0;1.0;790.0;1.0;753.0;1.0;828.0;1.0;75.0;2.0;179.0587158203125;790.1140864235252;753.0894830984853;827.7013105352049
592.0;1.0;794.0;1.0;757.0;1.0;832.0;1.0;75.0;2.0;166.71865844726562;794.3287489109874;757.5304405591922;831.6906393914289
624.0;1.0;799.0;1.0;762.0;1.0;836.0;1.0;74.0;2.0;173.44677734375;798.5196230756324;761.9476342705478;835.6560840556858
656.0;1.0;803.0;1.0;766.0;1.0;840.0;1.0;74.0;2.0;184.63265991210938;802.6869686681058;766.3413171594178;839.5979115893977
688.0;1.0;807.0;1.0;771.0;1.0;844.0;1.0;73.0;2.0;175.7762451171875;806.8310454390535;770.7117421526681;843.5163890539864
720.0;1.0;811.0;1.0;775.0;1.0;848.0;1.0;73.0;2.0;179.02468872070312;810.952113139121;775.0591621771645;847.4117835108742
752.0;1.0;815.0;1.0;779.0;1.0;851.0;1.0;72.0;2.0;181.2892608642578;815.0504315189544;779.383830159773;851.2843620214834
784.0;1.0;819.0;1.0;784.0;1.0;855.0;1.0;71.0;2.0;183.84364318847656;819.126260329199;783.6859990273593;855.1343916472358
816.0;1.0;823.0;1.0;788.0;1.0;859.0;1.0;71.0;2.0;173.61959838867188;823.1798593205008;787.9659217067895;858.9621394495535
848.0;1.0;827.0;1.0;792.0;1.0;863.0;1.0;71.0;2.0;186.88487243652344;827.2114882435055;792.2238511249292;862.767872489859
880.0;1.0;831.0;1.0;797.0;1.0;866.0;1.0;69.0;2.0;183.73944091796875;831.2214068488587;796.4600402086445;866.5518578295739
912.0;1.0;835.0;1.0;801.0;1.0;870.0;1.0;69.0;2.0;177.7056121826172;835.2098748872062;800.674741884801;870.3143625301205
944.0;1.0;839.0;1.0;805.0;1.0;874.0;1.0;69.0;2.0;181.8583221435547;839.1771521091938;804.8682090802649;874.0556536529211
976.0;1.0;843.0;1.0;809.0;1.0;878.0;1.0;69.0;2.0;179.47427368164062;843.1234982654671;809.0406947219019;877.7759982593976
1008.0;1.0;847.0;1.0;813.0;1.0;882.0;1.0;69.0;2.0;178.57015991210938;847.0491731066718;813.1924517365778;881.4756634109721
1040.0;1.0;851.0;1.0;817.0;1.0;885.0;1.0;68.0;2.0;185.1836700439453;850.9544363834539;817.3237330511587;885.1549161690667
1072.0;1.0;855.0;1.0;821.0;1.0;889.0;1.0;68.0;2.0;179.5482635498047;854.8395478464587;821.4347915925101;888.8140235951037
1104.0;1.0;859.0;1.0;826.0;1.0;893.0;1.0;67.0;2.0;181.48912048339844;858.7047672463323;825.5258802874982;892.4532527505048
1136.0;1.0;863.0;1.0;830.0;1.0;896.0;1.0;66.0;2.0;181.2650909423828;862.5503543337202;829.5972520629887;896.0728706966926
1168.0;1.0;867.0;1.0;834.0;1.0;900.0;1.0;66.0;2.0;181.1416015625;866.3765688592682;833.6491598458475;899.6731444950888
1200.0;1.0;870.0;1.0;838.0;1.0;903.0;1.0;65.0;2.0;182.70654296875;870.183670573622;837.6818565629405;903.2543412071157
1232.0;1.0;874.0;1.0;842.0;1.0;907.0;1.0;65.0;2.0;178.88153076171875;873.9719192274274;841.6955951411335;906.8167278941954
1264.0;1.0;878.0;1.0;846.0;1.0;910.0;1.0;64.0;2.0;193.57789611816406;877.74157457133;845.6906285072926;910.3605716177499
1296.0;1.0;882.0;1.0;850.0;1.0;914.0;1.0;64.0;2.0;186.3365020751953;881.4928963559756;849.6672095882832;913.8861394392014
1328.0;1.0;885.0;1.0;854.0;1.0;917.0;1.0;63.0;2.0;173.44207763671875;885.22614433201;853.6255913109716;917.393698419972
1360.0;1.0;889.0;1.0;857.0;1.0;921.0;1.0;64.0;2.0;178.1034393310547;888.9415782500788;857.5660266022235;920.8835156214839
1392.0;1.0;892.0;1.0;861.0;1.0;924.0;1.0;63.0;2.0;180.8583526611328;892.6394578608277;861.4887683889048;924.3558581051589
1424.0;1.0;896.0;1.0;865.0;1.0;927.0;1.0;62.0;2.0;184.22442626953125;896.3200429149026;865.3940695978813;927.8109929324193
1456.0;1.0;900.0;1.0;869.0;1.0;931.0;1.0;62.0;2.0;178.5796356201172;899.9835931629491;869.2821831560188;931.2491871646872
1488.0;1.0;904.0;1.0;873.0;1.0;935.0;1.0;62.0;2.0;176.9798583984375;903.630368355613;873.1533619901835;934.6707078633847
1520.0;1.0;907.0;1.0;877.0;1.0;938.0;1.0;61.0;2.0;188.0455780029297;907.2606282435398;877.007859027241;938.0758220899339
1552.0;1.0;911.0;1.0;881.0;1.0;942.0;1.0;61.0;2.0;171.3824005126953;910.8746325773756;880.8459271940573;941.4647969057569
1584.0;1.0;915.0;1.0;885.0;1.0;945.0;1.0;60.0;2.0;184.40060424804688;914.4726411077658;884.667819417498;944.8378993722758
1616.0;1.0;918.0;1.0;888.0;1.0;948.0;1.0;60.0;2.0;180.31671142578125;918.0549135853562;888.4737886244293;948.1953965509127
1648.0;1.0;921.0;1.0;892.0;1.0;951.0;1.0;59.0;2.0;182.7291259765625;921.6217097607927;892.2640877417168;951.5375555030897
1680.0;1.0;925.0;1.0;896.0;1.0;955.0;1.0;59.0;2.0;182.4986572265625;925.1732893847208;896.0389696962266;954.864643290229
1712.0;1.0;929.0;1.0;900.0;1.0;958.0;1.0;58.0;2.0;195.02174377441406;928.7099122077863;899.7986874148244;958.1769269737526
1744.0;1.0;932.0;1.0;903.0;1.0;962.0;1.0;59.0;2.0;178.9298095703125;932.231837980635;903.5434938243762;961.4746736150826
1776.0;1.0;936.0;1.0;907.0;1.0;965.0;1.0;58.0;2.0;175.3546600341797;935.7393264539124;907.2736418517477;964.758150275641
1808.0;1.0;939.0;1.0;911.0;1.0;968.0;1.0;57.0;2.0;184.0026397705078;939.2326373782646;910.989384423805;968.0276240168502
1840.0;1.0;943.0;1.0;915.0;1.0;972.0;1.0;57.0;2.0;190.5686492919922;942.712030504337;914.6909744674138;971.283361900132
1872.0;1.0;946.0;1.0;918.0;1.0;974.0;1.0;56.0;2.0;185.26869201660156;946.1777655827756;918.3786649094399;974.5256309869087
1904.0;1.0;949.0;1.0;922.0;1.0;977.0;1.0;55.0;2.0;192.50181579589844;949.6301023642258;922.0527086767493;977.7546983386023
1936.0;1.0;953.0;1.0;926.0;1.0;981.0;1.0;55.0;2.0;187.2688751220703;953.0693005993335;925.7133586962078;980.970831016635
1968.0;1.0;956.0;1.0;929.0;1.0;984.0;1.0;55.0;2.0;194.2220916748047;956.4956200387445;929.3608678946814;984.1742960824288
2000.0;1.0;960.0;1.0;933.0;1.0;988.0;1.0;55.0;2.0;177.2135467529297;959.9093204331044;932.9954891990358;987.3653605974059
2032.0;1.0;963.0;1.0;936.0;1.0;991.0;1.0;55.0;2.0;180.53150939941406;963.3106615330589;936.6174755361369;990.5442916229883
2064.0;1.0;967.0;1.0;940.0;1.0;994.0;1.0;54.0;2.0;181.99038696289062;966.6999030892539;940.2270798328507;993.7113562205982
2096.0;1.0;970.0;1.0;944.0;1.0;997.0;1.0;53.0;2.0;176.57090759277344;970.0773048523349;943.824555016043;996.8668214516576
2128.0;1.0;973.0;1.0;947.0;1.0;1000.0;1.0;53.0;2.0;186.62062072753906;973.4431265729479;947.4101540125796;1000.0109543775887
2160.0;1.0;977.0;1.0;951.0;1.0;1003.0;1.0;52.0;2.0;182.4416046142578;976.7976280017383;950.9841297493263;1003.1440220598136
2192.0;1.0;980.0;1.0;955.0;1.0;1006.0;1.0;51.0;2.0;195.11866760253906;980.1410688893521;954.5467351531493;1006.2662915597543
2224.0;1.0;983.0;1.0;958.0;1.0;1009.0;1.0;51.0;2.0;182.90948486328125;983.473708986435;958.098223150914;1009.378029938833
2256.0;1.0;987.0;1.0;962.0;1.0;1012.0;1.0;50.0;2.0;183.260986328125;986.7958080436324;961.6388466694866;1012.4795042584717
2288.0;1.0;990.0;1.0;965.0;1.0;1015.0;1.0;50.0;2.0;181.89492797851562;990.1076258115904;965.1688586357329;1015.5709815800927
2320.0;1.0;994.0;1.0;969.0;1.0;1019.0;1.0;50.0;2.0;186.30447387695312;993.4094220409545;968.6885119765187;1018.6527289651181
2352.0;1.0;997.0;1.0;972.0;1.0;1022.0;1.0;50.0;2.0;175.40151977539062;996.7014564823706;972.19805961871;1021.7250134749696
2384.0;1.0;1000.0;1.0;976.0;1.0;1024.0;1.0;48.0;2.0;192.20462036132812;999.9839888864843;975.6977544891724;1024.7881021710698
2416.0;1.0;1003.0;1.0;979.0;1.0;1028.0;1.0;49.0;2.0;187.1232147216797;1003.2572790039414;979.1878495147722;1027.8422621148404
2448.0;1.0;1007.0;1.0;983.0;1.0;1031.0;1.0;48.0;2.0;185.33526611328125;1006.5215865853876;982.6685976223749;1030.8877603677038
2480.0;1.0;1010.0;1.0;986.0;1.0;1034.0;1.0;48.0;2.0;181.57376098632812;1009.7771713814686;986.1402517388465;1033.924863991082
2512.0;1.0;1013.0;1.0;990.0;1.0;1037.0;1.0;47.0;2.0;188.21124267578125;1013.0242931428301;989.6030647910528;1036.9538400463973
2544.0;1.0;1016.0;1.0;993.0;1.0;1040.0;1.0;47.0;2.0;177.48118591308594;1016.2632116201179;993.0572897058598;1039.9749555950714
2576.0;1.0;1020.0;1.0;997.0;1.0;1043.0;1.0;46.0;2.0;186.015625;1019.4941865639776;996.5031794101333;1042.9884776985266
2608.0;1.0;1023.0;1.0;1000.0;1.0;1046.0;1.0;46.0;2.0;184.5015411376953;1022.717477725055;999.9409868307391;1045.9946734181851
2640.0;1.0;1026.0;1.0;1003.0;1.0;1049.0;1.0;46.0;2.0;188.2447967529297;1025.933344853996;1003.3709648945431;1048.993809815469
2672.0;1.0;1029.0;1.0;1007.0;1.0;1052.0;1.0;45.0;2.0;187.74415588378906;1029.142047701446;1006.7933665284113;1051.9861539518001
2704.0;1.0;1032.0;1.0;1010.0;1.0;1055.0;1.0;45.0;2.0;177.25924682617188;1032.343846018051;1010.2084446592094;1054.9719728886007
2736.0;1.0;1036.0;1.0;1014.0;1.0;1058.0;1.0;44.0;2.0;189.6116485595703;1035.5389995544565;1013.6164522138032;1057.9515336872932
2768.0;1.0;1039.0;1.0;1017.0;1.0;1062.0;1.0;45.0;2.0;173.86500549316406;1038.7277680613086;1017.0176421190588;1060.9251034092993
2800.0;1.0;1042.0;1.0;1020.0;1.0;1064.0;1.0;44.0;2.0;180.9537811279297;1041.9104112892524;1020.412267301842;1063.892949116041
2832.0;1.0;1045.0;1.0;1024.0;1.0;1067.0;1.0;43.0;2.0;181.14710998535156;1045.0871889889343;1023.8005806890186;1066.8553378689412
2864.0;1.0;1048.0;1.0;1027.0;1.0;1070.0;1.0;43.0;2.0;180.2382354736328;1048.2583609109995;1027.1828352074544;1069.812536729421
2896.0;1.0;1052.0;1.0;1031.0;1.0;1073.0;1.0;42.0;2.0;184.33551025390625;1051.424186806094;1030.5592837840154;1072.7648127589032
2928.0;1.0;1055.0;1.0;1034.0;1.0;1076.0;1.0;42.0;2.0;181.8578338623047;1054.5849264248634;1033.9301793455677;1075.7124330188094
2960.0;1.0;1057.0;1.0;1037.0;1.0;1078.0;1.0;41.0;2.0;192.1590576171875;1057.7408395179534;1037.2957748189765;1078.655664570562
2992.0;1.0;1061.0;1.0;1041.0;1.0;1082.0;1.0;41.0;2.0;175.18836975097656;1060.89218583601;1040.6563231311084;1081.594774475583
3024.0;1.0;1064.0;1.0;1044.0;1.0;1084.0;1.0;40.0;2.0;189.7505340576172;1064.0392251296787;1044.0120772088287;1084.530029795295
3056.0;1.0;1067.0;1.0;1047.0;1.0;1087.0;1.0;40.0;2.0;189.9384002685547;1067.182217149605;1047.3632899790036;1087.4616975911192
3088.0;1.0;1070.0;1.0;1051.0;1.0;1090.0;1.0;39.0;2.0;187.30686950683594;1070.3214216464353;1050.7102143684988;1090.3900449244784
3120.0;1.0;1073.0;1.0;1054.0;1.0;1093.0;1.0;39.0;2.0;196.30152893066406;1073.4570983708147;1054.0531033041805;1093.3153388567944
3152.0;1.0;1076.0;1.0;1057.0;1.0;1096.0;1.0;39.0;2.0;177.7468719482422;1076.589507073389;1057.392209712914;1096.2378464494893
3184.0;1.0;1080.0;1.0;1061.0;1.0;1100.0;1.0;39.0;2.0;181.6962432861328;1079.7189075048043;1060.7277865215656;1099.1578347639854
3216.0;1.0;1083.0;1.0;1064.0;1.0;1102.0;1.0;38.0;2.0;194.34182739257812;1082.845559415706;1064.0600866570012;1102.0755708617048
3248.0;1.0;1086.0;1.0;1067.0;1.0;1105.0;1.0;38.0;2.0;183.798583984375;1085.96972255674;1067.3893630460861;1104.9913218040692
3280.0;1.0;1089.0;1.0;1071.0;1.0;1107.0;1.0;36.0;2.0;200.63101196289062;1089.0916566785518;1070.715868615687;1107.905354652501
3312.0;1.0;1092.0;1.0;1074.0;1.0;1111.0;1.0;37.0;2.0;182.1935577392578;1092.2116215317872;1074.0398562926691;1110.8179364684224
3344.0;1.0;1095.0;1.0;1077.0;1.0;1114.0;1.0;37.0;2.0;192.50079345703125;1095.329876867092;1077.3615790038984;1113.7293343132555
3376.0;1.0;1099.0;1.0;1081.0;1.0;1117.0;1.0;36.0;2.0;194.07284545898438;1098.446682435112;1080.6812896762412;1116.6398152484223
3408.0;1.0;1102.0;1.0;1084.0;1.0;1120.0;1.0;36.0;2.0;183.916259765625;1101.562297986493;1083.999241236563;1119.5496463353447
3440.0;1.0;1105.0;1.0;1087.0;1.0;1123.0;1.0;36.0;2.0;187.30694580078125;1104.67698327188;1087.3156866117297;1122.4590946354451
3472.0;1.0;1108.0;1.0;1091.0;1.0;1125.0;1.0;34.0;2.0;201.1209259033203;1107.7909980419197;1090.630878728607;1125.3684272101457
3504.0;1.0;1111.0;1.0;1094.0;1.0;1128.0;1.0;34.0;2.0;188.0367431640625;1110.9046020472574;1093.945070514061;1128.277911120868
3536.0;1.0;1114.0;1.0;1097.0;1.0;1131.0;1.0;34.0;2.0;191.68450927734375;1114.0180550385387;1097.2585148949577;1131.187813429035
3568.0;1.0;1117.0;1.0;1101.0;1.0;1134.0;1.0;33.0;2.0;191.939453125;1117.1316167664095;1100.5714647981627;1134.098401196068
3600.0;1.0;1120.0;1.0;1104.0;1.0;1137.0;1.0;33.0;2.0;199.03587341308594;1120.2455469815156;1103.8841731505418;1137.0099414833894
3632.0;1.0;1123.0;1.0;1107.0;1.0;1140.0;1.0;33.0;2.0;194.90423583984375;1123.3601054345024;1107.196892878961;1139.9227013524217
3664.0;1.0;1126.0;1.0;1111.0;1.0;1142.0;1.0;31.0;2.0;199.90878295898438;1126.475551876016;1110.5098769102865;1142.8369478645864
3696.0;1.0;1130.0;1.0;1114.0;1.0;1146.0;1.0;32.0;2.0;198.61305236816406;1129.592146056702;1113.8233781713836;1145.7529480813057
3728.0;1.0;1133.0;1.0;1117.0;1.0;1149.0;1.0;32.0;2.0;178.14129638671875;1132.7101477272058;1117.1376495891186;1148.6709690640018
3760.0;1.0;1136.0;1.0;1120.0;1.0;1152.0;1.0;32.0;2.0;188.96478271484375;1135.8298166381735;1120.452944090357;1151.5912778740972
3792.0;1.0;1139.0;1.0;1124.0;1.0;1154.0;1.0;30.0;2.0;199.81466674804688;1138.9514125402509;1123.769514601965;1154.5141415730134
3824.0;1.0;1142.0;1.0;1127.0;1.0;1157.0;1.0;30.0;2.0;200.780029296875;1142.0751951840834;1127.0876140508083;1157.4398272221729
3856.0;1.0;1145.0;1.0;1130.0;1.0;1161.0;1.0;31.0;2.0;188.90745544433594;1145.2014243203168;1130.4074953637528;1160.3686018829974
3888.0;1.0;1149.0;1.0;1134.0;1.0;1164.0;1.0;30.0;2.0;189.448486328125;1148.330359699597;1133.7294114676642;1163.3007326169095
3920.0;1.0;1151.0;1.0;1137.0;1.0;1166.0;1.0;29.0;2.0;195.26234436035156;1151.4622610725696;1137.0536152894088;1166.236486485331
3952.0;1.0;1154.0;1.0;1140.0;1.0;1169.0;1.0;29.0;2.0;194.15574645996094;1154.5973881898806;1140.3803597558522;1169.1761305496839
3984.0;1.0;1158.0;1.0;1144.0;1.0;1172.0;1.0;28.0;2.0;194.7300262451172;1157.736000802175;1143.7098977938601;1172.1199318713907
4016.0;1.0;1161.0;1.0;1147.0;1.0;1175.0;1.0;28.0;2.0;191.0377655029297;1160.8783586600994;1147.0424823302988;1175.068157511873
