y-position;y-error;x-position;x-error;left-position;left-error;right-position;right-error;width;width-error;threshold;fitted-x-position;fitted-left-position;fitted-right-position
80.0;1.0;3427.0;1.0;3251.0;1.0;3603.0;1.0;352.0;2.0;1223.53564453125;3426.8409537958223;3251.1268766009944;3602.8813864643835
112.0;1.0;3425.0;1.0;3250.0;1.0;3600.0;1.0;350.0;2.0;1289.0269775390625;3424.92806924762;3249.5477661751142;3600.64718707838
144.0;1.0;3423.0;1.0;3248.0;1.0;3599.0;1.0;351.0;2.0;1148.066162109375;3423.022196702836;3247.973868094714;3598.421469097183
176.0;1.0;3421.0;1.0;3246.0;1.0;3596.0;1.0;350.0;2.0;1078.0997314453125;3421.1235985772983;3246.405445873687;3596.2044964968245
208.0;1.0;3419.0;1.0;3245.0;1.0;3594.0;1.0;349.0;2.0;1025.888427734375;3419.2325372868345;3244.8427630259275;3593.996533253336
240.0;1.0;3417.0;1.0;3243.0;1.0;3592.0;1.0;349.0;2.0;958.8048706054688;3417.349275247272;3243.2860830653294;3591.7978433427497
272.0;1.0;3416.0;1.0;3242.0;1.0;3590.0;1.0;348.0;2.0;903.8036499023438;3415.474074874439;3241.7356695057856;3589.6086907410972
304.0;1.0;3414.0;1.0;3240.0;1.0;3588.0;1.0;348.0;2.0;843.79296875;3413.6071985841627;3240.191785861191;3587.4293394244096
336.0;1.0;3412.0;1.0;3239.0;1.0;3585.0;1.0;346.0;2.0;809.5682373046875;3411.748908792271;3238.654695645439;3585.2600533687196
368.0;1.0;3410.0;1.0;3237.0;1.0;3583.0;1.0;346.0;2.0;757.807861328125;3409.8994679145912;3237.124662372423;3583.1010965500586
400.0;1.0;3408.0;1.0;3236.0;1.0;3581.0;1.0;345.0;2.0;720.4732666015625;3408.059138366951;3235.601949556037;3580.952732944458
432.0;1.0;3406.0;1.0;3234.0;1.0;3579.0;1.0;345.0;2.0;686.2362670898438;3406.228182565179;3234.0868207101753;3578.81522652795
464.0;1.0;3405.0;1.0;3233.0;1.0;3577.0;1.0;344.0;2.0;652.7061157226562;3404.406862925102;3232.579539348731;3576.6888412765666
496.0;1.0;3403.0;1.0;3231.0;1.0;3575.0;1.0;344.0;2.0;623.5502319335938;3402.5954418625474;3231.0803689855984;3574.5738411663388
528.0;1.0;3401.0;1.0;3230.0;1.0;3572.0;1.0;342.0;2.0;601.1569213867188;3400.794181793344;3229.589573134671;3572.4704901732985
