y-position;y-error;x-position;x-error;left-position;left-error;right-position;right-error;width;width-error;threshold;fitted-x-position;fitted-left-position;fitted-right-position
80.0;1.0;1934.0;1.0;1888.0;1.0;1980.0;1.0;92.0;2.0;444.16949462890625;1933.6376826090566;1888.0566644795858;1979.5448409067637
112.0;1.0;1935.0;1.0;1890.0;1.0;1980.0;1.0;90.0;2.0;481.5152893066406;1934.6838162973518;1889.3271636428917;1980.3734353928
144.0;1.0;1935.0;1.0;1890.0;1.0;1981.0;1.0;91.0;2.0;431.5992126464844;1935.7174441152652;1890.5851088943502;1981.1893526945405
176.0;1.0;1937.0;1.0;1892.0;1.0;1982.0;1.0;90.0;2.0;419.0147399902344;1936.7388027564311;1891.8307329765178;1981.9928374571048
208.0;1.0;1938.0;1.0;1893.0;1.0;1983.0;1.0;90.0;2.0;391.7679748535156;1937.7481289144844;1893.0642686319513;1982.7841343256136
240.0;1.0;1939.0;1.0;1894.0;1.0;1984.0;1.0;90.0;2.0;354.07666015625;1938.7456592830592;1894.2859486032075;1983.5634879451875
272.0;1.0;1940.0;1.0;1896.0;1.0;1984.0;1.0;88.0;2.0;351.9641418457031;1939.7316305557906;1895.496005632843;1984.3311429609462
304.0;1.0;1940.0;1.0;1896.0;1.0;1985.0;1.0;89.0;2.0;316.6640319824219;1940.706279426313;1896.6946724634147;1985.0873440180105
336.0;1.0;1942.0;1.0;1898.0;1.0;1986.0;1.0;88.0;2.0;315.4270324707031;1941.6698425882605;1897.882181837479;1985.8323357615006
368.0;1.0;1942.0;1.0;1899.0;1.0;1986.0;1.0;87.0;2.0;296.36865234375;1942.6225567352683;1899.0587664975928;1986.5663628365367
400.0;1.0;1943.0;1.0;1900.0;1.0;1987.0;1.0;87.0;2.0;272.306396484375;1943.5646585609704;1900.2246591863131;1987.2896698882394
432.0;1.0;1944.0;1.0;1901.0;1.0;1988.0;1.0;87.0;2.0;261.7071533203125;1944.4963847590018;1901.380092646196;1988.0025015617289
464.0;1.0;1946.0;1.0;1903.0;1.0;1989.0;1.0;86.0;2.0;254.2532958984375;1945.4179720229968;1902.525299619799;1988.7051025021253
496.0;1.0;1946.0;1.0;1904.0;1.0;1989.0;1.0;85.0;2.0;236.55587768554688;1946.32965704659;1903.660512849678;1989.3977173545493
528.0;1.0;1947.0;1.0;1905.0;1.0;1990.0;1.0;85.0;2.0;227.85398864746094;1947.2316765234161;1904.7859650783903;1990.0805907641209
560.0;1.0;1948.0;1.0;1906.0;1.0;1991.0;1.0;85.0;2.0;219.50772094726562;1948.1242671471093;1905.9018890484922;1990.7539673759607
592.0;1.0;1949.0;1.0;1907.0;1.0;1991.0;1.0;84.0;2.0;205.0113983154297;1949.0076656113044;1907.0085175025408;1991.4180918351888
624.0;1.0;1950.0;1.0;1908.0;1.0;1992.0;1.0;84.0;2.0;191.99957275390625;1949.8821086096361;1908.1060831830928;1992.0732087869255
656.0;1.0;1951.0;1.0;1909.0;1.0;1993.0;1.0;84.0;2.0;185.669189453125;1950.7478328357386;1909.1948188327046;1992.7195628762915
688.0;1.0;1951.0;1.0;1910.0;1.0;1993.0;1.0;83.0;2.0;177.63429260253906;1951.6050749832468;1910.274957193933;1993.357398748407
720.0;1.0;1953.0;1.0;1912.0;1.0;1994.0;1.0;82.0;2.0;176.52816772460938;1952.4540717457949;1911.346731009335;1993.986961048392
752.0;1.0;1954.0;1.0;1913.0;1.0;1995.0;1.0;82.0;2.0;167.58042907714844;1953.2950598170178;1912.4103730214672;1994.608494421367
784.0;1.0;1954.0;1.0;1913.0;1.0;1995.0;1.0;82.0;2.0;157.53489685058594;1954.1282758905497;1913.466115972886;1995.2222435124525
816.0;1.0;1955.0;1.0;1915.0;1.0;1996.0;1.0;81.0;2.0;156.363525390625;1954.9539566600256;1914.5141926061485;1995.8284529667685
848.0;1.0;1956.0;1.0;1916.0;1.0;1997.0;1.0;81.0;2.0;144.4691925048828;1955.7723388190796;1915.5548356638114;1996.4273674294357
880.0;1.0;1957.0;1.0;1917.0;1.0;1997.0;1.0;80.0;2.0;140.72146606445312;1956.5836590613465;1916.588277888431;1997.0192315455743
912.0;1.0;1958.0;1.0;1918.0;1.0;1998.0;1.0;80.0;2.0;135.33685302734375;1957.3881540804607;1917.6147520225647;1997.6042899603044
944.0;1.0;1958.0;1.0;1918.0;1.0;1998.0;1.0;80.0;2.0;130.1862335205078;1958.186060570057;1918.6344908087688;1998.1827873187467
976.0;1.0;1959.0;1.0;1919.0;1.0;1999.0;1.0;80.0;2.0;124.83689880371094;1958.9776152237698;1919.6477269895997;1998.7549682660213
1008.0;1.0;1959.0;1.0;1920.0;1.0;1999.0;1.0;79.0;2.0;119.9582748413086;1959.7630547352335;1920.654693307615;1999.3210774472484
1040.0;1.0;1961.0;1.0;1922.0;1.0;2000.0;1.0;78.0;2.0;120.609375;1960.542615798083;1921.6556225053705;1999.8813595075485
1072.0;1.0;1961.0;1.0;1922.0;1.0;2001.0;1.0;79.0;2.0;113.17982482910156;1961.3165351059527;1922.6507473254235;2000.436059092042
1104.0;1.0;1962.0;1.0;1924.0;1.0;2001.0;1.0;77.0;2.0;109.57615661621094;1962.085049352477;1923.6403005103305;2000.9854208458491
1136.0;1.0;1963.0;1.0;1924.0;1.0;2002.0;1.0;78.0;2.0;101.89611053466797;1962.8483952312906;1924.6245148026483;2001.5296894140902
1168.0;1.0;1964.0;1.0;1926.0;1.0;2002.0;1.0;76.0;2.0;103.6844482421875;1963.606809436028;1925.6036229449335;2002.0691094418855
1200.0;1.0;1964.0;1.0;1926.0;1.0;2003.0;1.0;77.0;2.0;97.88643646240234;1964.3605286603238;1926.577857679743;2002.6039255743556
1232.0;1.0;1965.0;1.0;1927.0;1.0;2003.0;1.0;76.0;2.0;90.86297607421875;1965.1097895978126;1927.5474517496334;2003.1343824566206
1264.0;1.0;1966.0;1.0;1929.0;1.0;2004.0;1.0;75.0;2.0;94.70040893554688;1965.854828942129;1928.5126378971615;2003.6607247338009
1296.0;1.0;1967.0;1.0;1930.0;1.0;2004.0;1.0;74.0;2.0;89.66731262207031;1966.5958833869072;1929.473648864884;2004.1831970510166
1328.0;1.0;1968.0;1.0;1931.0;1.0;2005.0;1.0;74.0;2.0;85.53105163574219;1967.333189625782;1930.4307173953573;2004.7020440533884
1360.0;1.0;1968.0;1.0;1931.0;1.0;2005.0;1.0;74.0;2.0;82.365234375;1968.066984352388;1931.3840762311386;2005.2175103860363
