y-position;y-error;x-position;x-error;left-position;left-error;right-position;right-error;width;width-error;threshold;fitted-x-position;fitted-left-position;fitted-right-position
80.0;1.0;2056.0;1.0;2008.0;1.0;2105.0;1.0;97.0;2.0;94.4596939086914;2056.181105802543;2008.1335309585204;2104.6832006445707
112.0;1.0;2057.0;1.0;2010.0;1.0;2105.0;1.0;95.0;2.0;113.052490234375;2057.0367927988173;2009.2078322848308;2105.327660795128
144.0;1.0;2058.0;1.0;2010.0;1.0;2106.0;1.0;96.0;2.0;103.67738342285156;2057.881624287381;2010.2711714837183;2105.961097345766
176.0;1.0;2059.0;1.0;2011.0;1.0;2107.0;1.0;96.0;2.0;109.07865905761719;2058.715842626883;2011.3237895080204;2106.583758377782
208.0;1.0;2060.0;1.0;2012.0;1.0;2108.0;1.0;96.0;2.0;106.29351806640625;2059.5396901759723;2012.365927310575;2107.195891972472
240.0;1.0;2060.0;1.0;2013.0;1.0;2108.0;1.0;95.0;2.0;102.59993743896484;2060.3534092932987;2013.3978258442203;2107.7977462111335
272.0;1.0;2061.0;1.0;2015.0;1.0;2108.0;1.0;93.0;2.0;119.2357177734375;2061.1572423375105;2014.419726061794;2108.389569175063
304.0;1.0;2062.0;1.0;2015.0;1.0;2109.0;1.0;94.0;2.0;100.23445129394531;2061.951431667258;2015.4318689161341;2108.9716089455574
336.0;1.0;2062.0;1.0;2016.0;1.0;2109.0;1.0;93.0;2.0;110.22251892089844;2062.7362196411896;2016.4344953600787;2109.544113603913
368.0;1.0;2064.0;1.0;2018.0;1.0;2110.0;1.0;92.0;2.0;109.12154388427734;2063.511848617955;2017.4278463464655;2110.107331231427
400.0;1.0;2064.0;1.0;2018.0;1.0;2110.0;1.0;92.0;2.0;108.60057830810547;2064.278560956203;2018.4121628281325;2110.661509909396
432.0;1.0;2065.0;1.0;2020.0;1.0;2111.0;1.0;91.0;2.0;112.36209869384766;2065.036599014583;2019.3876857579176;2111.2068977191166
464.0;1.0;2066.0;1.0;2020.0;1.0;2112.0;1.0;92.0;2.0;99.84968566894531;2065.786205151744;2020.3546560886587;2111.7437427418854
496.0;1.0;2066.0;1.0;2021.0;1.0;2112.0;1.0;91.0;2.0;109.16490173339844;2066.527621726336;2021.3133147731935;2112.272293059
528.0;1.0;2067.0;1.0;2022.0;1.0;2113.0;1.0;91.0;2.0;102.7763900756836;2067.261091097007;2022.2639027643604;2112.792796751756
560.0;1.0;2068.0;1.0;2023.0;1.0;2113.0;1.0;90.0;2.0;105.49903106689453;2067.9868556224073;2023.206661014997;2113.305501901451
592.0;1.0;2069.0;1.0;2024.0;1.0;2114.0;1.0;90.0;2.0;106.82479095458984;2068.7051576611852;2024.1418304779413;2113.8106565893813
624.0;1.0;2069.0;1.0;2025.0;1.0;2114.0;1.0;89.0;2.0;107.30570983886719;2069.4162395719904;2025.0696521060313;2114.308508896844
656.0;1.0;2070.0;1.0;2026.0;1.0;2115.0;1.0;89.0;2.0;102.87622833251953;2070.1203437134723;2025.9903668521047;2114.799306905136
688.0;1.0;2071.0;1.0;2027.0;1.0;2115.0;1.0;88.0;2.0;105.05208587646484;2070.8177124442796;2026.9042156689995;2115.283298695553
720.0;1.0;2072.0;1.0;2028.0;1.0;2116.0;1.0;88.0;2.0;102.54408264160156;2071.5085881230616;2027.8114395095538;2115.7607323493926
752.0;1.0;2072.0;1.0;2029.0;1.0;2116.0;1.0;87.0;2.0;104.63172912597656;2072.1932131084677;2028.7122793266055;2116.2318559479518
784.0;1.0;2073.0;1.0;2030.0;1.0;2117.0;1.0;87.0;2.0;101.32588958740234;2072.871829759147;2029.6069760729922;2116.6969175725267
816.0;1.0;2074.0;1.0;2031.0;1.0;2117.0;1.0;86.0;2.0;107.0775375366211;2073.5446804337494;2030.4957707015521;2117.1561653044146
848.0;1.0;2074.0;1.0;2032.0;1.0;2117.0;1.0;85.0;2.0;106.12907409667969;2074.2120074909226;2031.378904165123;2117.6098472249114
880.0;1.0;2075.0;1.0;2032.0;1.0;2118.0;1.0;86.0;2.0;98.69996643066406;2074.874053289317;2032.2566174165431;2118.058211415315
912.0;1.0;2076.0;1.0;2033.0;1.0;2119.0;1.0;86.0;2.0;102.07635498046875;2075.5310601875817;2033.12915140865;2118.501505956921
944.0;1.0;2076.0;1.0;2034.0;1.0;2119.0;1.0;85.0;2.0;104.66021728515625;2076.1832705443653;2033.9967470942815;2118.9399789310273
976.0;1.0;2077.0;1.0;2035.0;1.0;2120.0;1.0;85.0;2.0;97.02777099609375;2076.8309267183176;2034.8596454262758;2119.3738784189295
1008.0;1.0;2078.0;1.0;2036.0;1.0;2120.0;1.0;84.0;2.0;104.8193588256836;2077.474271068088;2035.7180873574707;2119.803452501925
1040.0;1.0;2078.0;1.0;2037.0;1.0;2120.0;1.0;83.0;2.0;104.0639877319336;2078.113545952325;2036.5723138407043;2120.228949261311
1072.0;1.0;2079.0;1.0;2038.0;1.0;2121.0;1.0;83.0;2.0;103.16503143310547;2078.7489937296777;2037.4225658288144;2120.650616778383
1104.0;1.0;2080.0;1.0;2039.0;1.0;2121.0;1.0;82.0;2.0;100.21037292480469;2079.3808567587957;2038.269084274639;2121.068703134439
1136.0;1.0;2080.0;1.0;2039.0;1.0;2121.0;1.0;82.0;2.0;101.99161529541016;2080.0093773983285;2039.1121101310157;2121.483456410775
1168.0;1.0;2081.0;1.0;2040.0;1.0;2122.0;1.0;82.0;2.0;99.27507019042969;2080.6347980069254;2039.9518843507828;2121.895124688688
1200.0;1.0;2081.0;1.0;2041.0;1.0;2122.0;1.0;81.0;2.0;103.21739196777344;2081.2573609432347;2040.7886478867779;2122.303956049475
1232.0;1.0;2082.0;1.0;2042.0;1.0;2123.0;1.0;81.0;2.0;95.98991394042969;2081.8773085659063;2041.6226416918394;2122.7101985744316
1264.0;1.0;2082.0;1.0;2042.0;1.0;2123.0;1.0;81.0;2.0;96.21443939208984;2082.494883233589;2042.4541067188045;2123.114100344856
1296.0;1.0;2083.0;1.0;2043.0;1.0;2124.0;1.0;81.0;2.0;95.8838882446289;2083.1103273049325;2043.2832839205118;2123.5159094420446
1328.0;1.0;2084.0;1.0;2044.0;1.0;2124.0;1.0;80.0;2.0;95.421875;2083.7238831385857;2044.1104142497989;2123.9158739472937
1360.0;1.0;2084.0;1.0;2045.0;1.0;2124.0;1.0;79.0;2.0;96.32355499267578;2084.335793093198;2044.9357386595036;2124.3142419419
1392.0;1.0;2085.0;1.0;2046.0;1.0;2125.0;1.0;79.0;2.0;96.69136047363281;2084.9462995274184;2045.7594981024642;2124.7112615071605
1424.0;1.0;2086.0;1.0;2047.0;1.0;2125.0;1.0;78.0;2.0;95.08265686035156;2085.555644799896;2046.5819335315184;2125.107180724372
1456.0;1.0;2086.0;1.0;2047.0;1.0;2126.0;1.0;79.0;2.0;91.436767578125;2086.16407126928;2047.403285899504;2125.5022476748313
1488.0;1.0;2087.0;1.0;2048.0;1.0;2126.0;1.0;78.0;2.0;94.12118530273438;2086.77182129422;2048.223796159259;2125.8967104398353
1520.0;1.0;2087.0;1.0;2049.0;1.0;2126.0;1.0;77.0;2.0;94.75837707519531;2087.3791372333653;2049.0437052636216;2126.29081710068
1552.0;1.0;2088.0;1.0;2050.0;1.0;2127.0;1.0;77.0;2.0;93.3541030883789;2087.9862614453646;2049.863254165429;2126.684815738663
1584.0;1.0;2088.0;1.0;2050.0;1.0;2127.0;1.0;77.0;2.0;90.49288940429688;2088.593436288867;2050.6826838175202;2127.078954435081
1616.0;1.0;2089.0;1.0;2051.0;1.0;2127.0;1.0;76.0;2.0;91.88749694824219;2089.2009041225224;2051.5022351727325;2127.47348127123
1648.0;1.0;2090.0;1.0;2052.0;1.0;2128.0;1.0;76.0;2.0;91.23572540283203;2089.808907304979;2052.3221491839035;2127.8686443284073
1680.0;1.0;2090.0;1.0;2053.0;1.0;2128.0;1.0;75.0;2.0;93.523681640625;2090.4176881948874;2053.1426668038716;2128.2646916879094
1712.0;1.0;2091.0;1.0;2054.0;1.0;2129.0;1.0;75.0;2.0;90.96295928955078;2091.0274891508957;2053.9640289854747;2128.6618714310334
1744.0;1.0;2091.0;1.0;2054.0;1.0;2129.0;1.0;75.0;2.0;90.63194274902344;2091.638552531653;2054.78647668155;2129.060431639076
1776.0;1.0;2092.0;1.0;2055.0;1.0;2129.0;1.0;74.0;2.0;94.13554382324219;2092.2511206958093;2055.6102508449367;2129.4606203933336
1808.0;1.0;2093.0;1.0;2056.0;1.0;2130.0;1.0;74.0;2.0;93.53330993652344;2092.8654360020137;2056.435592428472;2129.862685775103
1840.0;1.0;2093.0;1.0;2057.0;1.0;2130.0;1.0;73.0;2.0;99.59394836425781;2093.4817408089148;2057.2627423849935;2130.2668758656814
1872.0;1.0;2094.0;1.0;2058.0;1.0;2131.0;1.0;73.0;2.0;93.9842758178711;2094.1002774751623;2058.0919416673396;2130.673438746365
1904.0;1.0;2095.0;1.0;2059.0;1.0;2131.0;1.0;72.0;2.0;99.56575012207031;2094.721288359405;2058.9234312283484;2131.0826224984507
1936.0;1.0;2095.0;1.0;2060.0;1.0;2131.0;1.0;71.0;2.0;95.4358901977539;2095.3450158202927;2059.7574520208573;2131.4946752032356
