y-position;y-error;x-position;x-error;left-position;left-error;right-position;right-error;width;width-error;threshold;fitted-x-position;fitted-left-position;fitted-right-position
80.0;1.0;1702.0;1.0;1383.0;1.0;2022.0;1.0;639.0;2.0;2044.3194580078125;1702.284939937252;1385.9090869838165;2019.3142244439646
112.0;1.0;1703.0;1.0;1388.0;1.0;2019.0;1.0;631.0;2.0;2245.4892578125;1703.407144093543;1387.4546641852091;2020.001539641988
144.0;1.0;1705.0;1.0;1389.0;1.0;2021.0;1.0;632.0;2.0;2140.403076171875;1704.514648004011;1388.9819647660129;2020.6780901624848
176.0;1.0;1705.0;1.0;1390.0;1.0;2021.0;1.0;631.0;2.0;2116.85302734375;1705.6076778258694;1390.491220222023;2021.3440920699563
208.0;1.0;1707.0;1.0;1392.0;1.0;2022.0;1.0;630.0;2.0;2090.276611328125;1706.6864597163321;1391.9826620490346;2021.9997614289043
240.0;1.0;1708.0;1.0;1394.0;1.0;2022.0;1.0;628.0;2.0;2062.88330078125;1707.7512198326133;1393.4565217428428;2022.6453143038307
272.0;1.0;1709.0;1.0;1395.0;1.0;2023.0;1.0;628.0;2.0;2026.0140380859375;1708.802184331926;1394.9130307992427;2023.2809667592367
304.0;1.0;1710.0;1.0;1397.0;1.0;2024.0;1.0;627.0;2.0;1989.5482177734375;1709.8395793714844;1396.3524207140297;2023.9069348596242
336.0;1.0;1710.0;1.0;1397.0;1.0;2024.0;1.0;627.0;2.0;1961.4295654296875;1710.863631108502;1397.7749229829988;2024.523434669495
368.0;1.0;1712.0;1.0;1399.0;1.0;2025.0;1.0;626.0;2.0;1928.03857421875;1711.8745657001928;1399.180769101945;2025.1306822533502
400.0;1.0;1713.0;1.0;1401.0;1.0;2026.0;1.0;625.0;2.0;1888.3887939453125;1712.8726093037703;1400.5701905666635;2025.728893675692
432.0;1.0;1714.0;1.0;1403.0;1.0;2026.0;1.0;623.0;2.0;1871.503662109375;1713.8579880764485;1401.9434188729497;2026.3182850010219
464.0;1.0;1715.0;1.0;1404.0;1.0;2027.0;1.0;623.0;2.0;1827.3779296875;1714.830928175441;1403.3006855165984;2026.8990722938413
496.0;1.0;1716.0;1.0;1405.0;1.0;2027.0;1.0;622.0;2.0;1805.4722900390625;1715.7916557579613;1404.6422219934047;2027.4714716186522
528.0;1.0;1717.0;1.0;1406.0;1.0;2028.0;1.0;622.0;2.0;1762.05224609375;1716.7403969812235;1405.9682597991641;2028.0356990399562
