y-position;y-error;x-position;x-error;left-position;left-error;right-position;right-error;width;width-error;threshold;fitted-x-position;fitted-left-position;fitted-right-position
2128.0;2.0;2246.0;2.0;2004.0;2.0;2488.0;2.0;484.0;4.0;45.2880973815918;2267.2657047927214;2006.0948795197312;2528.343233636673
2192.0;2.0;2246.0;2.0;2002.0;2.0;2490.0;2.0;488.0;4.0;17.45551872253418;2255.432046483973;2004.6590632879438;2506.334432051184
2256.0;2.0;2246.0;2.0;2004.0;2.0;2488.0;2.0;484.0;4.0;12.05785846710205;2246.053272332536;2003.273004913895;2489.1658121065793
2320.0;2.0;2244.0;2.0;2002.0;2.0;2486.0;2.0;484.0;4.0;7.8125762939453125;2238.913685952418;2001.935964268879;2476.4073936612276
2384.0;2.0;2248.0;2.0;2012.0;2.0;2484.0;2.0;472.0;4.0;7.23461389541626;2233.7975909576235;2000.64720122419;2467.6291965734954
2448.0;2.0;2240.0;2.0;1996.0;2.0;2486.0;2.0;490.0;4.0;6.638345718383789;2230.4892909621594;1999.4059756511222;2462.4012407017526
2512.0;2.0;2240.0;2.0;1998.0;2.0;2484.0;2.0;486.0;4.0;7.542281627655029;2228.7730895800314;1998.2115474209697;2460.293545904373
2576.0;2.0;2240.0;2.0;1998.0;2.0;2484.0;2.0;486.0;4.0;10.950765609741211;2228.433290425248;1997.0631764050268;2460.876132039719
2640.0;2.0;2242.0;2.0;1996.0;2.0;2488.0;2.0;492.0;4.0;10.92119026184082;2229.2541971118103;1995.9601224745875;2463.7190189661624
2704.0;2.0;2238.0;2.0;1992.0;2.0;2486.0;2.0;494.0;4.0;14.068121910095215;2231.020113253729;1994.901645500946;2468.3922265420733
2768.0;2.0;2238.0;2.0;1992.0;2.0;2486.0;2.0;494.0;4.0;16.032299041748047;2233.515342465009;1993.8870053553965;2474.4657746258163
2832.0;2.0;2240.0;2.0;1992.0;2.0;2488.0;2.0;496.0;4.0;18.46733283996582;2236.5241883596545;1992.915461909233;2481.509683075764
2896.0;2.0;2238.0;2.0;1992.0;2.0;2486.0;2.0;494.0;4.0;19.381620407104492;2239.830954551673;1991.98627503375;2489.093971750286
2960.0;2.0;2238.0;2.0;1990.0;2.0;2488.0;2.0;498.0;4.0;18.44701385498047;2243.2199446550712;1991.0987046002415;2496.788660507752
3024.0;2.0;2238.0;2.0;1990.0;2.0;2486.0;2.0;496.0;4.0;17.92155647277832;2246.4754622838564;1990.2520104800017;2504.1637692065206
3088.0;2.0;2238.0;2.0;1988.0;2.0;2488.0;2.0;500.0;4.0;14.202486038208008;2249.38181105203;1989.4454525443248;2510.7893177049764
3152.0;2.0;2240.0;2.0;1992.0;2.0;2488.0;2.0;496.0;4.0;12.260519027709961;2251.7232945736014;1988.6782906645046;2516.2353258614767
3216.0;2.0;2236.0;2.0;1988.0;2.0;2486.0;2.0;498.0;4.0;13.68649959564209;2253.284216462578;1987.9497847118357;2520.071813534396
3280.0;2.0;2236.0;2.0;1986.0;2.0;2488.0;2.0;502.0;4.0;8.818338394165039;2253.848880332963;1987.2591945576123;2521.8688005820995
3344.0;2.0;2236.0;2.0;1988.0;2.0;2486.0;2.0;498.0;4.0;8.026202201843262;2253.201589798764;1986.6057800731282;2521.1963068629602
3408.0;2.0;2238.0;2.0;1986.0;2.0;2492.0;2.0;506.0;4.0;6.738374710083008;2251.1266484739886;1985.988801129678;2517.6243522353434
3472.0;2.0;2234.0;2.0;1984.0;2.0;2486.0;2.0;502.0;4.0;5.94963264465332;2247.40835997264;1985.4075175985556;2510.722956557617
3536.0;2.0;2236.0;2.0;1984.0;2.0;2490.0;2.0;506.0;4.0;5.3079962730407715;2241.831027908724;1984.8611893510551;2500.062139688155
3600.0;2.0;2230.0;2.0;1986.0;2.0;2476.0;2.0;490.0;4.0;5.7142744064331055;2234.1789558962505;1984.3490762584709;2485.211921485323
3664.0;2.0;2240.0;2.0;1986.0;2.0;2494.0;2.0;508.0;4.0;4.587789058685303;2224.236447549222;1983.870438192097;2465.742321807492
3728.0;2.0;2238.0;2.0;1982.0;2.0;2496.0;2.0;514.0;4.0;3.7714738845825195;2211.787806481647;1983.4245350232277;2441.223360513027
3792.0;2.0;2242.0;2.0;1986.0;2.0;2498.0;2.0;512.0;4.0;3.243966579437256;2196.6173363075295;1983.010626623157;2411.2250574602986
3856.0;2.0;2238.0;2.0;1982.0;2.0;2494.0;2.0;512.0;4.0;3.3373138904571533;2178.5093406408773;1982.6279728631791;2375.3174325076816
3920.0;2.0;2238.0;2.0;1980.0;2.0;2496.0;2.0;516.0;4.0;2.405993700027466;2157.2481230956955;1982.2758336145882;2333.070505513534
3984.0;2.0;1984.0;2.0;1982.0;2.0;1988.0;2.0;6.0;4.0;2.5782079696655273;2132.617987285991;1981.9534687486787;2284.054296336233
